locId,country,region,city,postcode
1,A1,,,
2,A2,,,
3,AD,,,
4,AD,7,Andorra La Vella,
5,AD,3,Encamp,
6,AD,6,Sant Julià De Lòria,
7,AD,8,Engordany,
8,AD,2,Canillo,
9,AD,4,La Massana,
10,AD,5,Ordino,
11,AD,8,Les Escaldes,
12,AD,2,Soldeu,
13,AD,2,Pas De La Casa,
14,AD,4,Llorts,
15,AD,7,Andorre,
16,AD,4,Arinsal,
17,AD,4,Erts,
18,AD,4,Sispony,
19,AD,5,Sornàs,
20,AD,5,Anyós,
21,AD,4,El Serrat,
22,AD,2,El Tarter,
23,AD,4,La Cortinada,
24,AD,6,Bixessarri,
25,AD,2,Meritxell,
26,AD,7,Santa Coloma,
27,AD,6,Mas D'alins,
28,AD,4,Pal,
29,AD,2,Ransol,
30,AD,6,Auvinya,
31,AD,6,Fontaneda,
32,AD,4,Arans,
33,AD,8,Escaldes,
34,AD,7,Andorre-la-vieille,
35,AD,5,L'aldosa,
36,AD,6,Sant Juliá,
37,AD,6,Certers,
38,AD,6,Aixirivall,
39,AD,4,Escàs,
40,AD,6,San Juliá,
