locId,country,region,city,postcode,latitude,longitude,metro_code,area_code
41,AE,,,,24,54,,
42,AE,6,Sharjah,,25.3573,55.4033,,
43,AE,3,Dubai,,25.2582,55.3047,,
44,AE,1,Abu Dhabi,,24.4667,54.3667,,
45,AE,5,Ras Al Khaimah,,25.7895,55.9432,,
46,AE,1,Al Ain,,24.1917,55.7606,,
47,AE,4,Fujairah,,25.1164,56.3414,,
48,AE,5,Khaimah,,25.7895,55.9432,,
49,AE,6,Kalba,,25.0731,56.3578,,
50,AE,3,Deira,,25.2731,55.3064,,
51,AE,7,Dhaid,,25.2822,55.8903,,
52,AE,6,Khorfakan,,25.3313,56.342,,
53,AE,1,Suwayhan,,24.4633,55.3414,,
54,AE,1,Al Khaznah,,24.1714,55.0878,,
55,AE,5,Ar Rafa`ah,,25.6153,55.7028,,
56,AE,5,Al Hamra',,25.7083,55.7972,,
57,AE,3,`urqub Juwayza,,24.9333,55.4667,,
58,AE,1,As Slabeikh,,24.1833,55.2167,,
59,AE,6,Shis,,25.2906,56.2456,,
60,AE,5,Al Khari,,25.0964,56.0264,,
61,AE,5,Maghribiyah,,25.2,56.05,,
62,AE,6,Khor Fakkan,,25.3313,56.342,,
63,AE,6,Hasat Al Bidiyah,,25.3206,55.9744,,
64,AE,7,Umm Al Qawain,,25.5653,55.5533,,
65,AE,5,Ras Al Khaima,,25.7895,55.9432,,
66,AE,3,Jumeira,,25.2048,55.2466,,
67,AE,6,Dibba,,25.6195,56.2729,,
68,AE,3,Jumairah,,25.2048,55.2466,,
69,AE,1,Musaffah,,24.3725,54.5111,,
70,AE,3,Al Satwa,,25.229,55.2723,,
71,AE,6,Hamriyah,,25.4782,55.5338,,
72,AE,6,Al Khan,,25.3319,55.3589,,
73,AE,7,Umm Al Qaiwain,,25.5647,55.5552,,
74,AE,2,Manama,,25.3303,56.0278,,
75,AE,3,Warisan,,25.1608,55.4275,,
76,AE,3,Al Barahah,,25.2667,55.3167,,
77,AE,7,Um Al Quweim,,25.5653,55.5533,,
78,AE,7,`awanat,,25.365,55.8608,,
79,AE,6,Khan,,25.3314,55.359,,
80,AE,3,Abu Hayl,,25.2792,55.3222,,
81,AE,1,Ruwais,,24.1103,52.7306,,
82,AE,3,Daira,,25.2731,55.3064,,
83,AE,7,Adh Dhaid,,25.2822,55.8903,,
84,AE,5,Hamra,,25.7091,55.8077,,
85,AE,5,Shariyah,,25.1,56.0333,,
86,AE,3,Dubayy,,25.2522,55.28,,
87,AE,1,Al Jimi,,24.2517,55.7406,,
88,AE,1,Al Odeid,,24.6167,51.4,,
89,AE,2,Al Ajman,,25.4069,55.4441,,
90,AE,5,Falaiya,,25.7403,55.98,,
91,AE,1,Hili,,24.2828,55.7647,,
92,AE,3,Rashidiyah,,25.215,55.3897,,
93,AE,6,Dhaid,,25.2881,55.8816,,
94,AE,5,Shauka,,25.1,56.0333,,
95,AE,3,Jumaira,,25.2048,55.2466,,
96,AE,4,Manama,,25.3299,56.0219,,
97,AE,4,Fujayrah,,25.1164,56.3414,,
98,AE,3,Rashdia,,25.2236,55.3889,,
99,AE,3,Jimeirah,,25.2048,55.2466,,
100,AE,6,Sharja,,25.3573,55.4033,,
101,AE,6,Shariqah,,25.3573,55.4033,,
102,AE,1,Abu Dabi,,24.4667,54.3667,,
103,AE,6,Al Sharjah,,25.3573,55.4033,,
