locId,country,region,city,postcode
157,AG,,,
158,AG,5,Old Road,
159,AG,4,Woods,
160,AG,4,Clare Hall,
161,AG,3,Cassada Gardens,
162,AG,7,Parham,
163,AG,4,Saint John's,
164,AG,4,Saint John,
165,AG,3,Carlisle,
166,AG,6,All Saints,
167,AG,1,Codrington,
168,AG,8,Saint Philips,
169,AG,6,Falmouth,
170,AG,4,Belmont,
171,AG,5,Jennings,
172,AG,4,Gambles,
173,AG,5,Bolans,
174,AG,6,Liberta,
175,AG,3,Fitches Creek,
176,AG,4,Potters Village,
177,AG,6,Swetes,
178,AG,4,Potters,
179,AG,4,Green Bay,
180,AG,8,Seatons,
181,AG,4,Fitzroy Town,
182,AG,3,Barnes Hill Village,
183,AG,4,Golden Grove,
184,AG,4,Bendals,
185,AG,8,Freetown,
186,AG,4,Renfrew,
187,AG,4,Crosbies,
188,AG,5,Sawcolts,
189,AG,6,English Harbour Town,
190,AG,4,Grays Hill,
191,AG,5,Boland Village,
192,AG,5,Bolands,
193,AG,7,Freeman,
194,AG,8,Seatons Village,
195,AG,5,Johnsons Point,
196,AG,3,New Winthorpes,
