locId,country,region,city,postcode
216,AL,,,
217,AL,50,Tirana,
218,AL,50,Tiranë,
219,AL,49,Shkodër,
220,AL,43,Servicë,
221,AL,43,Skënderbej,
222,AL,46,Korçë,
223,AL,51,Vlorë,
224,AL,44,Gora,
225,AL,44,Lushnjë,
226,AL,48,Rêja,
227,AL,42,Fushë-krujë,
228,AL,48,Mamurras,
229,AL,41,Burrel,
230,AL,44,Fier,
231,AL,48,Shëngjin,
232,AL,42,Shijak,
233,AL,42,Durrës,
234,AL,43,Peqin,
235,AL,48,Laç,
236,AL,48,Milot,
237,AL,50,Kërrabë,
238,AL,43,Elbasan,
239,AL,40,Berat,
240,AL,43,Cërrik,
241,AL,48,Lezhë,
242,AL,40,Poliçan,
243,AL,46,Kodra,
244,AL,45,Gjirokastër,
245,AL,42,Fushë Kruja,
246,AL,41,Skënderaj,
247,AL,42,Krujë,
248,AL,47,Bajram Curri,
249,AL,47,Kukës,
250,AL,51,Sarandë,
251,AL,41,Ulzë,
252,AL,50,Kavajë,
253,AL,45,Tepelenë,
254,AL,43,Gramsh,
255,AL,49,Koplik,
256,AL,48,Gjadri,
257,AL,41,Peshkopi,
258,AL,40,Nova,
259,AL,44,Divjakë,
260,AL,46,Kamenicë,
261,AL,48,Rubik,
262,AL,50,Vorë,
263,AL,40,Kuçovë,
264,AL,45,Kosovë,
265,AL,45,Kosova,
266,AL,47,Buçaj,
267,AL,43,Skënderbeu,
268,AL,49,Lumi,
269,AL,41,Dukagjini,
270,AL,41,Gërman,
271,AL,49,Berisha,
272,AL,45,Qendra,
273,AL,43,Librazhd,
274,AL,46,Pogradec,
275,AL,47,Krumë,
276,AL,47,Nongat,
277,AL,50,Bathorë,
278,AL,51,Peca,
279,AL,44,Sorava,
280,AL,42,Tilaj,
281,AL,44,Fier I Ri,
282,AL,40,Kuçova,
283,AL,50,Kamzë,
284,AL,48,Kurbnesh,
285,AL,43,Uruç,
286,AL,41,Përcall,
287,AL,42,Damarkaj,
288,AL,44,Misa,
289,AL,50,Rrogozhinë,
290,AL,40,Beran,
291,AL,49,Pukë,
292,AL,43,Vilëza,
293,AL,42,Këneta,
294,AL,47,Tropoja,
295,AL,44,Roskovec,
296,AL,50,Crap,
297,AL,50,Golem,
298,AL,42,Spaneshi,
299,AL,41,Muhur,
300,AL,42,Borizanë,
301,AL,42,Luzi,
302,AL,50,Kashar,
303,AL,41,Klos,
304,AL,43,Kosov E Male,
305,AL,50,Morina,
306,AL,40,Agim,
307,AL,51,Shala,
308,AL,49,Kryeziu,
309,AL,44,Mehmet,
310,AL,40,Qorraj,
311,AL,51,Arta,
312,AL,46,Shën,
313,AL,46,Maloku,
314,AL,47,Bajram,
315,AL,43,Shabani,
316,AL,51,Hoxha,
317,AL,44,Krasniqi,
318,AL,48,Fishta,
319,AL,43,Kosova E Madhe,
320,AL,43,Zalli,
321,AL,44,Kosov E Vogel,
322,AL,43,Kosova I Madhë,
323,AL,40,Vala,
324,AL,42,Hasani,
325,AL,51,Himarë,
326,AL,43,Shaban,
327,AL,42,Metaj,
328,AL,44,Divjaka,
329,AL,49,Zogaj,
330,AL,48,Planet,
331,AL,47,Shkëlzen,
332,AL,49,Shkodra,
333,AL,48,Lezha,
334,AL,50,Kamëz,
335,AL,51,Vlora,
336,AL,42,Manëz,
337,AL,49,Bushat,
338,AL,43,Papër,
339,AL,40,Qafa,
340,AL,46,Kamenica,
