locId,country,region,city,postcode
341,AM,,,
342,AM,11,Yerevan,
343,AM,5,Abovyan,
344,AM,8,Geghi,
345,AM,6,Tapan,
346,AM,2,Ararat,
347,AM,3,Metsamor,
348,AM,2,Vedi,
349,AM,6,Vanadzor,
350,AM,5,Hrazdan,
351,AM,7,Amasia,
352,AM,2,Masis,
353,AM,5,Davidashen,
354,AM,3,Armavir,
355,AM,6,Apaven,
356,AM,6,Vahagni,
357,AM,7,Shirak,
358,AM,2,Abovyan,
359,AM,11,Jrashen,
360,AM,8,Agarak,
361,AM,5,Argel,
362,AM,5,Buzhakan,
363,AM,1,Zovuni,
364,AM,5,Meghradzor,
365,AM,8,Kapan,
366,AM,8,Goris,
367,AM,5,Garni,
368,AM,5,Byureghavan,
369,AM,4,Vahan,
370,AM,4,Tsovagyugh,
371,AM,3,Merdzavan,
372,AM,4,Gavar,
373,AM,5,Solak,
374,AM,1,Ashtarak,
375,AM,5,Mrgashen,
376,AM,9,Ijevan,
377,AM,7,Gyumri,
378,AM,8,Last,
379,AM,2,Artashat,
380,AM,2,Norashen,
381,AM,1,Sipan,
382,AM,4,Chambarak,
383,AM,8,Meghri,
384,AM,1,Talin,
385,AM,7,Maralik,
386,AM,1,Aparan,
387,AM,6,Tashir,
388,AM,6,Alaverdi,
389,AM,6,Spitak,
390,AM,2,Aghk'ilisa,
391,AM,4,Sevan,
392,AM,4,Martuni,
393,AM,3,Echmiadzin,
394,AM,10,Gladzor,
395,AM,6,Tumanyan,
396,AM,3,Apaga,
397,AM,11,Erebuni,
398,AM,10,Yeghegnadzor,
399,AM,5,Lusavan,
400,AM,4,Azat,
401,AM,2,Baghramian,
402,AM,8,Sisian,
403,AM,10,Mikoyan,
404,AM,9,Noyemberyan,
405,AM,9,Dilijan,
406,AM,11,Nubarashen,
407,AM,11,Kanakeravan,
408,AM,10,Jermuk,
409,AM,9,Koghb,
410,AM,5,Getamej,
411,AM,9,Berd,
412,AM,5,Razdan,
413,AM,5,Arzni,
414,AM,3,Vagharshapat,
415,AM,5,Proshyan,
416,AM,3,Artimet,
417,AM,5,Karakala,
418,AM,4,Tsovazard,
419,AM,2,Avshar,
420,AM,4,Sarukhan,
421,AM,2,Geghanist,
422,AM,1,Aragatsotn,
423,AM,1,Norakert,
424,AM,1,Shenavan,
425,AM,4,Ddmashen,
426,AM,3,Nalbandyan,
427,AM,11,Arabkir,
428,AM,7,Ghukasyan,
429,AM,2,Darakert,
430,AM,5,Zar,
431,AM,2,Argavand,
432,AM,6,Chochkan,
433,AM,2,Monastyr' Gekhard,
434,AM,5,Fantan,
435,AM,5,Dzoraghbyur,
436,AM,3,Yeghegnut,
437,AM,7,Aghin,
438,AM,4,Noratus,
439,AM,5,Gyumush,
440,AM,8,Yegvard,
441,AM,1,Sasunik,
442,AM,7,Art'ik,
443,AM,5,Ch'arants'avan,
444,AM,3,Mrgashat,
445,AM,6,Dzhalalogly,
446,AM,11,Erevan,
447,AM,3,Ejmiatsin,
448,AM,11,Revan,
449,AM,11,Nor-norka,
450,AM,11,Erewan,
451,AM,11,Jrvezh,
452,AM,9,Bagratashen,
453,AM,5,Tsaghkadzor,
454,AM,2,Shahumyan,
455,AM,5,Davtashen,
456,AM,5,Davitashen,
457,AM,8,Zangezur,
458,AM,5,Elar,
459,AM,5,Nor Achin,
