locId,country,region,city,postcode
515,AO,,,
516,AO,10,Luanda,
517,AO,12,Mundo,
518,AO,1,Portugal,
519,AO,16,Soyo,
520,AO,6,Waku Kungo,
521,AO,6,Sumbe,
522,AO,17,Calonda,
523,AO,20,Luanda,
524,AO,9,Lubango,
525,AO,1,Lobito,
526,AO,3,Cabinda,
527,AO,6,Malange,
528,AO,2,Kuito,
529,AO,8,Huambo,
530,AO,1,Benguela,
531,AO,18,Saurimo,
532,AO,6,Gabela,
533,AO,13,Namibe,
534,AO,1,Chicala,
535,AO,10,Cacuaco,
536,AO,8,Viana,
537,AO,8,Benfica,
538,AO,7,Oncócua,
539,AO,15,Uíge,
540,AO,17,Lucapa,
541,AO,2,Kwanza,
542,AO,5,Catete,
543,AO,4,Goma,
544,AO,5,Colo,
545,AO,10,Viana,
546,AO,6,Porto Amboim,
547,AO,9,Caluquembe,
548,AO,14,Luena,
549,AO,10,Cazenga,
550,AO,12,Malanje,
551,AO,1,Soba,
552,AO,16,Cuemba,
553,AO,10,Talatona,
554,AO,1,Samba,
555,AO,20,Talatona,
556,AO,6,Cacuaco,
557,AO,6,Mundo,
558,AO,1,Dondo,
559,AO,1,Cassequel,
560,AO,19,Pita,
561,AO,8,Capulo,
