locId,country,region,city,postcode
567,AR,10,Jujuy,
568,AR,8,Victoria,
569,AR,5,Córdoba,
570,AR,1,San Isidro,
571,AR,7,Puerto Madero,
572,AR,21,Rosario,
573,AR,8,Federal,
574,AR,4,Puerto Madryn,
575,AR,21,Santa Fe,
576,AR,24,Tucumán,
577,AR,21,Alvear,
578,AR,1,Canning,
579,AR,21,San Guillermo,
580,AR,13,Mendoza,
581,AR,5,Río Ceballos,
582,AR,1,Mar Del Plata,
583,AR,22,Santa Cruz,
584,AR,18,San Juan,
585,AR,8,Paraná,
586,AR,6,Corrientes,
587,AR,9,Formosa,
588,AR,19,San Luis,
589,AR,17,Salta,
590,AR,16,Viedma,
591,AR,4,Madryn,
592,AR,13,Luján,
593,AR,24,Ciudad Universitaria,
594,AR,1,Quilmes,
595,AR,19,Hipólito Yrigoyen,
596,AR,1,La Plata,
597,AR,5,Justiniano Posse,
598,AR,11,Santa Rosa,
599,AR,1,Villa Gesell,
600,AR,1,Munro,
601,AR,1,Tres Arroyos,
602,AR,8,Concordia,
603,AR,1,Del Viso,
604,AR,21,Rafaela,
605,AR,13,San Martín,
606,AR,22,Lugones,
607,AR,1,Lomas De Zamora,
608,AR,1,Pujol,
609,AR,1,Villa Sarmiento,
610,AR,3,Roque Sáenz Peña,
611,AR,1,Necochea,
612,AR,13,Rivadavia,
613,AR,11,Realicó,
614,AR,16,General Roca,
615,AR,24,Famaillá,
616,AR,18,Villa Aberastain,
617,AR,22,Santiago Del Estero,
618,AR,1,Azul,
619,AR,4,Trelew,
620,AR,20,Río Gallegos,
621,AR,1,Hilario Ascasubi,
622,AR,1,Bordenave,
623,AR,5,Manfredi,
624,AR,21,Oliveros,
625,AR,21,Reconquista,
626,AR,19,Mercedes,
627,AR,1,Bariloche,
628,AR,1,Pergamino,
629,AR,5,Marcos Juárez,
630,AR,1,Balcarce,
631,AR,22,Concepción,
632,AR,1,Drabble,
633,AR,20,Los Antiguos,
634,AR,18,Hilario,
635,AR,17,Piquete Cabado,
636,AR,21,Capitán Bermúdez,
637,AR,1,Bragado,
638,AR,5,Colonia Caroya,
639,AR,22,Lavalle,
640,AR,15,Neuquén,
641,AR,1,General Villegas,
642,AR,21,San Antonio,
643,AR,1,Chacabuco,
644,AR,5,Río Tercero,
645,AR,8,Gualeguaychú,
646,AR,1,Olavarría,
647,AR,14,De Mayo,
648,AR,11,Cevallos,
649,AR,1,San Fernando,
650,AR,22,San Carlos,
651,AR,1,Pellegrini,
652,AR,1,Alem,
653,AR,21,Rodriguez,
654,AR,1,Isidro Casanova,
655,AR,1,San Nicolás,
656,AR,1,Campana,
657,AR,1,Vicente López,
658,AR,22,San Bernardo,
659,AR,21,Gobernador Gálvez,
660,AR,21,Pilar,
661,AR,5,La Cesira,
662,AR,1,General Pacheco,
663,AR,21,San Genaro,
664,AR,22,Herrera,
665,AR,1,Marcos Paz,
666,AR,5,Las Heras,
667,AR,21,Sarmiento,
668,AR,3,Resistencia,
669,AR,23,Ushuaia,
670,AR,1,Monte Grande,
671,AR,1,La Paz,
672,AR,20,Caleta Olivia,
673,AR,1,Tacuarí,
674,AR,23,Río Grande,
675,AR,11,Río Colorado,
676,AR,1,Suipacha,
677,AR,5,La Pampa,
678,AR,1,Luis Guillón,
679,AR,1,Libertad,
680,AR,1,San Antonio De Padua,
681,AR,1,Centenario,
682,AR,1,Médanos,
683,AR,1,Punta Alta,
684,AR,1,Trenque Lauquen,
685,AR,8,Chajarí,
686,AR,1,Villa Adelina,
687,AR,12,La Rioja,
688,AR,1,Grand Bourg,
689,AR,5,Villa Las Rosas,
690,AR,2,Catamarca,
691,AR,21,Venado Tuerto,
692,AR,5,Embalse,
693,AR,22,Santa Lucía,
694,AR,1,El Talar,
695,AR,6,Goya,
696,AR,14,Oberá,
697,AR,21,Funes,
698,AR,14,Posadas,
699,AR,1,Gobernador Castro,
700,AR,5,Adelia María,
701,AR,5,Los Surgentes,
702,AR,1,El Dorado,
703,AR,8,Crespo,
704,AR,22,Frías,
705,AR,14,Apóstoles,
706,AR,14,Puerto Iguazú,
707,AR,22,Termas De Río Hondo,
708,AR,1,Martínez,
709,AR,21,Carlos Pellegrini,
710,AR,16,Choele Choel,
711,AR,22,Las Flores,
712,AR,1,Mar De Ajó,
713,AR,1,Batán,
714,AR,1,Olivos,
715,AR,21,Avellaneda,
716,AR,1,Zárate,
717,AR,1,San Cayetano,
718,AR,1,Rojas,
719,AR,5,Río Cuarto,
720,AR,1,General Belgrano,
721,AR,21,Saladillo,
722,AR,5,Corral De Bustos,
723,AR,1,Bolívar,
724,AR,1,Bahía Blanca,
725,AR,1,Miramar,
726,AR,21,Esmeralda,
727,AR,1,Bartolomé Mitre,
728,AR,21,Díaz,
729,AR,1,Dolores,
730,AR,1,Luro,
731,AR,7,Comodoro Rivadavia,
732,AR,22,El Hoyo,
733,AR,21,Sunchales,
734,AR,11,San Miguel,
735,AR,22,San Justo,
736,AR,19,El Chorrillo,
737,AR,3,Las Breñas,
738,AR,13,Godoy Cruz,
739,AR,17,Río Piedras,
740,AR,1,Ayacucho,
741,AR,1,Bosch,
742,AR,1,Florida,
743,AR,1,Abasto,
744,AR,5,Las Perdices,
745,AR,5,Oliva,
746,AR,5,Salsipuedes,
747,AR,21,Casilda,
748,AR,1,Colón,
749,AR,5,Despeñaderos,
750,AR,1,Santa Teresita,
751,AR,1,Salto,
752,AR,1,Junín,
753,AR,1,Pigüé,
754,AR,1,Lobos,
755,AR,22,Belgrano,
756,AR,1,Alsina,
757,AR,1,Wilde,
758,AR,13,Peña,
759,AR,24,Banda Del Río Salí,
760,AR,1,Don Torcuato,
761,AR,1,Presidente Derqui,
762,AR,1,Carlos Casares,
763,AR,7,Varela,
764,AR,21,Amenábar,
765,AR,13,Guaymallén,
766,AR,1,Acassuso,
767,AR,1,Pérez Millán,
768,AR,1,Darregueira,
769,AR,1,Los Polvorines,
770,AR,22,Villa Nueva,
771,AR,13,San Rafael,
772,AR,8,Ramírez,
773,AR,5,Porteña,
774,AR,16,Catriel,
775,AR,19,Concarán,
776,AR,7,Flores,
777,AR,5,Olivia,
778,AR,1,San Miguel Del Monte,
779,AR,1,Pedro Luro,
780,AR,1,Merlo,
781,AR,22,San Manuel,
782,AR,1,Germania,
783,AR,22,Navarro,
784,AR,1,Todd,
785,AR,1,Puan,
786,AR,22,Fernández,
787,AR,1,Carlos Tejedor,
788,AR,1,Tigre,
789,AR,19,Crámer,
790,AR,1,Rosa,
791,AR,1,Calderón,
792,AR,8,Gualeguay,
793,AR,5,Perón,
794,AR,16,Cipolleti,
795,AR,21,San Jorge,
796,AR,8,Villaguay,
797,AR,7,Esquel,
798,AR,21,Rufino,
799,AR,1,Coronel Suárez,
800,AR,1,Boulogne,
801,AR,1,Energía,
802,AR,1,Ituzaingó,
803,AR,1,Lima,
804,AR,1,Ranelagh,
805,AR,1,Ezeiza,
806,AR,10,Aguilar,
807,AR,1,El Palomar,
808,AR,1,J. León Suárez,
809,AR,1,Villa Iglesias,
810,AR,1,Billinghurst,
811,AR,1,Diamante,
812,AR,1,Beccar,
813,AR,1,Villa León,
814,AR,7,Villa Urquiza,
815,AR,21,La Lucila,
816,AR,1,General San Martín,
817,AR,1,Muñiz,
818,AR,1,Temperley,
819,AR,1,Haedo,
820,AR,1,Hurlingham,
821,AR,1,Lomas Del Mirador,
822,AR,1,Morón,
823,AR,1,Ramos Mejía,
824,AR,1,Caseros,
825,AR,1,Villa Martínez De Hoz,
826,AR,1,Ciudadela,
827,AR,7,Luis J. García,
828,AR,1,San Justo,
829,AR,1,I. Casanova,
830,AR,1,J.m. Gutierrez,
831,AR,1,Ciudad Evita,
832,AR,7,Mataderos,
833,AR,1,Villa Ansaldi,
834,AR,7,Comandante L. Piedrabuena,
835,AR,1,Villa España,
836,AR,1,6 De Septiembre,
837,AR,1,Villa Madero,
838,AR,1,Berisso,
839,AR,1,San Vicente,
840,AR,11,General Pico,
841,AR,1,Lincoln,
842,AR,1,Chivilcoy,
843,AR,1,Ballester,
844,AR,7,Los Perales,
845,AR,21,San Carlos Centro,
846,AR,5,Bell Ville,
847,AR,5,Villa General Belgrano,
848,AR,1,Pilar,
849,AR,5,Pueblo Italiano,
850,AR,5,Cruz Alta,
851,AR,21,Berabevú,
852,AR,8,Urdinarrain,
853,AR,8,Aldea Brava,
854,AR,21,Villa Constitución,
855,AR,1,C. De Mayo,
856,AR,24,Colonia San José,
857,AR,5,Freyre,
858,AR,3,Kilómetro 846,
859,AR,8,Aldea Asunción,
860,AR,21,Los Quebrachos,
861,AR,8,Concepción Del Uruguay,
862,AR,5,Pilar,
863,AR,5,Alta Gracia,
864,AR,24,Villa Nueva,
865,AR,1,Rafael Castillo,
866,AR,1,Villa D. Sobral,
867,AR,1,Villa Luzuriaga,
868,AR,24,Palmitas,
869,AR,5,El Rosario,
870,AR,21,Carcarañá,
871,AR,1,Tortuguitas,
872,AR,1,Escobar,
873,AR,1,Villa Ballester,
874,AR,1,Ingeniero Maschwitz,
875,AR,5,Laguna Larga,
876,AR,1,Bella Vista,
877,AR,1,Villa Bosch,
878,AR,1,Belén De Escobar,
879,AR,1,Benavides,
880,AR,1,Chillar,
881,AR,1,16 De Julio,
882,AR,1,J.m. Bosch,
883,AR,1,Piñero,
884,AR,1,Luján,
885,AR,1,28 De Septiembre,
886,AR,1,M. Acosta,
887,AR,1,Castelar,
888,AR,18,Retamito,
889,AR,1,Lanús,
890,AR,1,Villa Basso,
891,AR,1,Monte Chingolo,
892,AR,1,Banfield,
893,AR,1,Burzaco,
894,AR,7,Calaza,
895,AR,1,José Mármol,
896,AR,1,Rafael Calzada,
897,AR,1,Llavallol,
898,AR,1,Santos Lugares,
899,AR,21,Maciel,
900,AR,6,San Lorenzo,
901,AR,1,Berazategui,
902,AR,1,Poblet,
903,AR,1,City Bell,
904,AR,16,Allen,
905,AR,1,José C. Paz,
906,AR,21,Arroyo Seco,
907,AR,1,Brandsen,
908,AR,1,Gerli,
909,AR,5,Cosme Sud,
910,AR,1,J.c. Paz,
911,AR,24,Yerba Buena,
912,AR,22,Lomitas,
913,AR,24,Viclos,
914,AR,8,Diamante,
915,AR,21,Esperanza,
916,AR,8,Costa Grande,
917,AR,24,Nueva España,
918,AR,5,Villa Carlos Paz,
919,AR,24,Ingas,
920,AR,21,Arteaga,
921,AR,21,Las Parejas,
922,AR,21,Armstrong,
923,AR,24,Las Cejas,
924,AR,5,Villa María,
925,AR,22,Bobadal,
926,AR,5,Villa Colachanga,
927,AR,5,Cosquín,
928,AR,22,Boca Del Tigre,
929,AR,16,Chichinales,
930,AR,1,Las Toninas,
931,AR,21,Larrechea,
932,AR,21,Villa Estela,
933,AR,21,Muñoz,
934,AR,1,José León Suárez,
935,AR,3,Barranqueras,
936,AR,8,Aldea San Juan,
937,AR,8,General Almada,
938,AR,1,Bancalari,
939,AR,5,Oncativo,
940,AR,5,San Francisco,
941,AR,24,Naranjito,
942,AR,7,Almirante Brown,
943,AR,13,Bowen,
944,AR,13,Anchoris,
945,AR,13,Tunuyán,
946,AR,20,Puerto San Julián,
947,AR,1,Laferrere,
948,AR,1,La Reja,
949,AR,16,Cipolletti,
950,AR,16,San Carlos De Bariloche,
951,AR,16,General Fernández Oro,
952,AR,15,Villa La Angostura,
953,AR,15,Cutral-có,
954,AR,16,Pichi Leufú,
955,AR,16,Ferri,
956,AR,1,Comandante Nicanor Otamendi,
957,AR,1,Tandil,
958,AR,1,El Verano,
959,AR,1,Villa Residencial Laguna Brava,
960,AR,1,Mechongué,
961,AR,1,Napaleofú,
962,AR,1,Álzaga,
963,AR,1,Los Pinos,
964,AR,1,Iraizoz,
965,AR,1,Ramos Otero,
966,AR,1,Bernal,
967,AR,1,Longchamps,
968,AR,1,Villa Martín Arín,
969,AR,1,Florencio Varela,
970,AR,1,Claypole,
971,AR,1,Remedios De Escalada,
972,AR,7,Marcelo Torcuato De Alvear,
973,AR,1,L. De Zamora,
974,AR,4,Rawson,
975,AR,1,Saldungaray,
976,AR,1,Estomba,
977,AR,21,Monje,
978,AR,21,Bombal,
979,AR,22,Guasayán,
980,AR,1,Aldo Bonzi,
981,AR,7,San Telmo,
982,AR,7,Liniers,
983,AR,1,Villa Diamante,
984,AR,1,Caraza,
985,AR,1,Ingeniero Budge,
986,AR,1,Villa El Rincón,
987,AR,1,Valentín Alsina,
988,AR,1,Villa Barilari,
989,AR,1,Fiorito,
990,AR,1,Tablada,
991,AR,1,El Talar De Pacheco,
992,AR,1,Villa Progreso,
993,AR,1,Villa Alianza,
994,AR,7,La Paternal,
995,AR,21,Fray Luís Beltrán,
996,AR,1,Capilla Del Señor,
997,AR,1,Los Cardales,
998,AR,7,Monte Castro,
999,AR,7,Villa Luro,
1000,AR,21,Campo Andino,
1001,AR,21,Bella Vista,
1002,AR,21,San Gerónimo Del Sauce,
1003,AR,21,Alcorta,
1004,AR,22,Gramilla,
1005,AR,1,Maquinista Savio,
1006,AR,1,Belén,
