locId,country,region,city,postcode
2787,AT,,,
2788,AT,9,Vienna,
2789,AT,6,Graz,
2790,AT,6,Tirol,
2791,AT,4,Niederwaldkirchen,
2792,AT,4,Ansfelden,
2793,AT,3,Baden,
2794,AT,4,Mauthausen,
2795,AT,6,Weiz,
2796,AT,3,Neustadt,
2797,AT,3,Untersiebenbrunn,
2798,AT,4,Wels,
2799,AT,6,Althofen,
2800,AT,5,Salzburg,
2801,AT,4,Linz,
2802,AT,8,Schwarzach,
2803,AT,3,Schwechat,
2804,AT,4,Steyregg,
2805,AT,6,Karl,
2806,AT,8,Dornbirn,
2807,AT,6,Kapfenberg,
2808,AT,3,Langenzersdorf,
2809,AT,6,Hitzendorf,
2810,AT,8,Rankweil,
2811,AT,5,Sulzbach,
2812,AT,4,Steyr,
2813,AT,2,Villach,
2814,AT,8,Lauterach,
2815,AT,6,Donawitz,
2816,AT,5,Oberalm,
2817,AT,3,Wiener Neudorf,
2818,AT,3,Krems,
2819,AT,2,Klagenfurt,
2820,AT,3,Wang,
2821,AT,3,Traiskirchen,
2822,AT,4,Altmuenster,
2823,AT,3,Ybbsitz,
2824,AT,8,Wolfurt,
2825,AT,5,Gartenau,
2826,AT,5,Altenmarkt,
2827,AT,4,Untergriesbach,
2828,AT,4,Gunskirchen,
2829,AT,7,Innsbruck,
2830,AT,3,Stockerau,
2831,AT,4,Bad Ischl,
2832,AT,7,Strassen,
2833,AT,3,Hochstrass,
2834,AT,3,Ulmerfeld,
2835,AT,7,Kirchdorf,
2836,AT,6,Zeltweg,
2837,AT,3,Wartberg,
2838,AT,4,Traun,
2839,AT,4,Schwertberg,
2840,AT,3,Ternitz,
2841,AT,4,Baumgartenberg,
2842,AT,8,Hard,
2843,AT,5,Sulzau,
2844,AT,3,Wiener Neustadt,
2845,AT,6,Pölten,
2846,AT,7,Kematen,
2847,AT,4,Micheldorf,
2848,AT,6,Pack,
2849,AT,8,Bludenz,
2850,AT,5,Hallwang,
2851,AT,2,Spittal,
2852,AT,8,Hohenems,
2853,AT,2,Liebenfels,
2854,AT,3,Laxenburg,
2855,AT,7,Wattens,
2856,AT,8,Götzis,
2857,AT,8,Lochau,
2858,AT,8,Bregenz,
2859,AT,8,Lustenau,
2860,AT,3,Guntramsdorf,
2861,AT,5,Fuschl Am See,
2862,AT,1,Hartberg,
2863,AT,8,Feldkirch,
2864,AT,4,Laakirchen,
2865,AT,5,Bischofshofen,
2866,AT,3,Kirchstetten,
2867,AT,5,Eugendorf,
2868,AT,5,Hallein,
2869,AT,4,Garsten,
2870,AT,7,Haus,
2871,AT,7,Kundl,
2872,AT,3,Leobendorf,
2873,AT,3,Ufer,
2874,AT,3,Vösendorf,
2875,AT,3,Enzesfeld,
2876,AT,7,Kaltenbach,
2877,AT,6,Leoben,
2878,AT,7,Weissenbach,
2879,AT,3,Korneuburg,
2880,AT,4,Pasching,
2881,AT,3,Amstetten,
2882,AT,8,Schlins,
2883,AT,3,Strasshof,
2884,AT,6,Pöls,
2885,AT,6,Raaba,
2886,AT,9,Floridsdorf,
2887,AT,3,Eggenburg,
2888,AT,4,Lenzing,
2889,AT,4,Braunau,
2890,AT,3,Wolkersdorf,
2891,AT,7,Schwaz,
2892,AT,6,Bruck An Der Mur,
2893,AT,7,Bruck,
2894,AT,3,Gerasdorf,
2895,AT,3,Wullersdorf,
2896,AT,5,Bergheim,
2897,AT,6,Grambach,
2898,AT,5,Himmelreich,
2899,AT,6,Wollsdorf,
2900,AT,1,Eisenstadt,
2901,AT,3,Ernst,
2902,AT,6,Rottenmann,
2903,AT,4,Gmunden,
2904,AT,8,Altach,
2905,AT,8,Tisis,
2906,AT,3,Seitenstetten,
2907,AT,3,Obergrafendorf,
2908,AT,7,Lechaschau,
2909,AT,4,Leonding,
2910,AT,4,Dobling,
2911,AT,7,Seefeld,
2912,AT,8,Höchst,
2913,AT,9,Nuszdorf,
2914,AT,4,Vöcklamarkt,
2915,AT,6,Köflach,
2916,AT,4,Marchtrenk,
2917,AT,4,Raab,
2918,AT,4,Nettingsdorf,
2919,AT,4,Peuerbach,
2920,AT,3,Mödling,
2921,AT,8,Gargellen,
2922,AT,8,Röthis,
2923,AT,4,Bad Goisern,
2924,AT,3,Fernitz,
2925,AT,8,Koblach,
2926,AT,3,Berndorf,
2927,AT,2,Schwaiger,
2928,AT,5,Puch,
2929,AT,7,Pill,
2930,AT,4,Sierning,
2931,AT,8,Nenzing,
2932,AT,8,Satteins,
2933,AT,4,Kronstorf,
2934,AT,9,Simmering,
2935,AT,7,Platz,
2936,AT,8,Lech,
2937,AT,2,Krumpendorf,
2938,AT,6,Alpen,
2939,AT,3,Maria Enzersdorf,
2940,AT,4,Eggelsberg,
2941,AT,3,Dietersdorf,
2942,AT,1,Grosshöflein,
2943,AT,3,Mistelbach,
2944,AT,4,Enns,
2945,AT,6,Kindberg,
2946,AT,2,Leibsdorf,
2947,AT,2,Griffen,
2948,AT,3,Waidhofen,
2949,AT,3,Brunn,
2950,AT,6,Hall,
2951,AT,3,Herzogenburg,
2952,AT,7,Rotholz,
2953,AT,6,Trattner,
2954,AT,3,Karlstein,
2955,AT,6,Schachen,
2956,AT,7,Holzleiten,
2957,AT,7,Niederbreitenbach,
2958,AT,3,Haag,
2959,AT,5,Thalgau,
2960,AT,3,Seibersdorf,
2961,AT,3,Gaming,
2962,AT,4,Walding,
2963,AT,7,Mils,
