locId,country,region,city,postcode
11959,AU,,,
11960,AU,4,Brisbane,
11961,AU,7,Doncaster,
11962,AU,7,Melbourne,
11963,AU,7,Geelong,
11964,AU,7,Queensferry,
11965,AU,1,Canberra,
11966,AU,2,Sydney,
11967,AU,7,South Yarra,
11968,AU,4,Toowoomba,
11969,AU,2,Rhodes,
11970,AU,8,Perth,
11971,AU,2,Surry Hills,
11972,AU,2,Merrylands,
11973,AU,4,New Farm,
11974,AU,2,Bondi,
11975,AU,7,Richmond,
11976,AU,7,Box Hill,
11977,AU,4,Clayton,
11978,AU,2,Botany,
11979,AU,7,Hawthorn,
11980,AU,2,Parramatta,
11981,AU,2,Ryde,
11982,AU,8,Paddington,
11983,AU,7,Heidelberg,
11984,AU,2,Pennant Hills,
11985,AU,7,Collingwood,
11986,AU,7,Auburn,
11987,AU,5,Adelaide,
11988,AU,2,Castle Hill,
11989,AU,7,Newtown,
11990,AU,7,Redbank,
11991,AU,7,Epping,
11992,AU,2,Concord,
11993,AU,7,Upwey,
11994,AU,4,Mitchell,
11995,AU,6,Mayfield,
11996,AU,4,Cairns,
11997,AU,7,Seaford,
11998,AU,4,Noosa Heads,
11999,AU,2,Lane Cove,
12000,AU,2,Barry,
12001,AU,2,Rydalmere,
12002,AU,6,Carlton,
12003,AU,7,Forest Hill,
12004,AU,7,Albion,
12005,AU,4,Edge Hill,
12006,AU,7,Rosebery,
12007,AU,2,Baulkham Hills,
12008,AU,2,Matraville,
12009,AU,4,Surfers Paradise,
12010,AU,7,Horsham,
12011,AU,7,Sunshine,
12012,AU,7,Ballarat,
12013,AU,2,Turramurra,
12014,AU,2,Pyrmont,
12015,AU,4,Abermain,
12016,AU,4,Broadbeach,
12017,AU,2,Burwood,
12018,AU,2,Kenmore,
12019,AU,7,Mulgrave,
12020,AU,7,Gordon,
12021,AU,8,Collie,
12022,AU,7,Bayswater,
12023,AU,2,Balgownie,
12024,AU,2,Chatswood,
12025,AU,2,Armidale,
12026,AU,7,Salisbury,
12027,AU,7,Aspendale,
12028,AU,5,Phillip,
12029,AU,5,Mitcham,
12030,AU,4,Gladstone,
12031,AU,5,Elizabeth,
12032,AU,7,Newstead,
12033,AU,6,Forest,
12034,AU,2,Lavington,
12035,AU,7,Brighton,
12036,AU,2,Newcastle,
12037,AU,2,Balmain,
12038,AU,7,Dean,
12039,AU,2,Narrabeen,
12040,AU,7,Scoresby,
12041,AU,2,Ultimo,
12042,AU,7,Wheelers Hill,
12043,AU,6,Guilford,
12044,AU,6,Penguin,
12045,AU,5,Windsor,
12046,AU,2,Mathoura,
12047,AU,2,Flemington,
12048,AU,7,Camberwell,
12049,AU,7,Spring Hill,
12050,AU,7,Yarra Junction,
12051,AU,6,Grove,
12052,AU,7,Dandenong,
12053,AU,7,Mansfield,
12054,AU,7,Broadmeadows,
12055,AU,2,Neutral Bay,
12056,AU,2,Dural,
12057,AU,7,Ringwood North,
12058,AU,2,Vaucluse,
12059,AU,4,Moore,
12060,AU,8,Nedlands,
12061,AU,4,Tarragindi,
12062,AU,5,Unley,
12063,AU,7,Glen Waverley,
12064,AU,4,Ipswich,
12065,AU,4,Gold Coast,
12066,AU,4,Bethania,
12067,AU,2,Marrickville,
12068,AU,2,Thirroul,
12069,AU,4,Manly,
12070,AU,2,Coffs Harbour,
12071,AU,8,Bellevue,
12072,AU,4,Caloundra,
12073,AU,4,Southport,
12074,AU,7,Edithvale,
12075,AU,5,Modbury,
