locId,country,region,city,postcode
19497,AZ,,,
19498,AZ,9,Baku,
19499,AZ,25,Bank,
19500,AZ,18,Fizuli,
19501,AZ,9,Gobustan,
19502,AZ,49,Salyan,
19503,AZ,12,Sharg,
19504,AZ,21,Nizami,
19505,AZ,9,Sangachal,
19506,AZ,9,Binagadi,
19507,AZ,9,Zabrat,
19508,AZ,1,Saray,
19509,AZ,35,Ordubad,
19510,AZ,23,Mugan,
19511,AZ,70,Zaqatala,
19512,AZ,54,Corat,
19513,AZ,48,Sheki,
19514,AZ,6,Agsu,
19515,AZ,5,Agstafa,
19516,AZ,54,Sumgait,
19517,AZ,27,Ismailli,
19518,AZ,60,Xaçmaz,
19519,AZ,35,Nakhicevan,
19520,AZ,1,Qobu,
19521,AZ,35,Nakhjavan,
19522,AZ,39,Qax,
19523,AZ,58,Qovlar,
19524,AZ,22,Göyçay,
19525,AZ,46,Sabirabad,
19526,AZ,9,Bailov,
19527,AZ,9,Qobustan,
19528,AZ,1,Xirdalan,
19529,AZ,58,Tovuz,
19530,AZ,54,SumqayÄ±t,
19531,AZ,59,Ucar,
19532,AZ,42,Quba,
19533,AZ,33,Mingächevir,
19534,AZ,7,Ali-bayramli,
19535,AZ,30,Länkäran,
19536,AZ,37,Oguz,
19537,AZ,61,Stepanakert,
19538,AZ,11,Barda,
19539,AZ,40,Qazax,
19540,AZ,20,Gandja,
19541,AZ,48,Shäki,
19542,AZ,7,Ali-bairamli,
19543,AZ,15,Jälilabad,
19544,AZ,35,Culfa,
19545,AZ,8,Astara,
19546,AZ,4,Agdas,
19547,AZ,68,Yevlax,
19548,AZ,44,Qusar,
19549,AZ,26,Agdash,
19550,AZ,9,Kirovskiy,
19551,AZ,30,Lenkoran',
19552,AZ,11,Saatly,
19553,AZ,1,MasazÄ±r,
19554,AZ,35,Babaki,
19555,AZ,33,Mingechaur,
19556,AZ,9,Qala,
19557,AZ,24,Imisli,
19558,AZ,20,Gandza,
19559,AZ,54,Sumqayyt,
19560,AZ,34,Naftalan,
19561,AZ,47,Bideiz,
19562,AZ,60,Xudat,
19563,AZ,30,Lankaran,
19564,AZ,54,Sumqayit,
19565,AZ,1,Masazir,
19566,AZ,7,Sirvan,
19567,AZ,13,Bilasuvar,
19568,AZ,35,Naxcivan,
19569,AZ,27,Kurdamir,
19570,AZ,44,Mirza-kasum-kend,
19571,AZ,51,Samkir,
19572,AZ,62,Ganca,
19573,AZ,27,Ismailly,
19574,AZ,20,Elisavetpol,
19575,AZ,35,Demirchi,
19576,AZ,51,Shamkhor,
19577,AZ,21,Goranboy,
19578,AZ,62,Xanlar,
19579,AZ,36,Neftçala,
19580,AZ,35,Nakhchyvan,
19581,AZ,1,Novxani,
19582,AZ,9,Baki,
19583,AZ,40,Qazakh,
19584,AZ,22,Göychay,
19585,AZ,22,Geokchay,
19586,AZ,57,Tartar,
19587,AZ,38,Qabala,
19588,AZ,68,Yevlakh,
19589,AZ,9,Sabunçu,
19590,AZ,11,Saatli,
