locId,country,region,city,postcode
19591,BA,,,
19592,BA,1,Sarajevo,
19593,BA,2,Banja Luka,
19594,BA,1,Velika Kladusa,
19595,BA,1,Zenica,
19596,BA,2,Srpska,
19597,BA,1,Mostar,
19598,BA,1,Bosna,
19599,BA,1,Tuzla,
19600,BA,1,Grude,
19601,BA,1,Bihac,
19602,BA,1,Travnik,
19603,BA,1,Konjic,
19604,BA,1,Lukavac,
19605,BA,1,Srebrenik,
19606,BA,1,Gracanica,
19607,BA,1,Kladanj,
19608,BA,1,Visoko,
19609,BA,1,Zavidovici,
19610,BA,BD,Brcko,
19611,BA,1,Kakanj,
19612,BA,1,Gorazde,
19613,BA,1,Slatina,
19614,BA,1,Nedjarici,
19615,BA,1,Vogosca,
19616,BA,2,Gradiska,
19617,BA,2,Teslic,
19618,BA,2,Zvornik,
19619,BA,2,Visegrad,
19620,BA,2,Bijeljina,
19621,BA,2,Pale,
19622,BA,2,Trebinje,
19623,BA,2,Prijedor,
19624,BA,2,Laktasi,
19625,BA,2,Vlasenica,
19626,BA,2,Srbinje,
19627,BA,2,Doboj,
19628,BA,1,Vitez,
19629,BA,1,Police,
19630,BA,1,Ramici,
19631,BA,1,Carsija,
19632,BA,1,Medjugorje,
19633,BA,1,Polje,
19634,BA,1,Rajlovac,
19635,BA,1,Lukavica,
19636,BA,2,Derventa,
19637,BA,2,Nevesinje,
19638,BA,1,Luka,
19639,BA,2,Malta,
19640,BA,1,Bugojno,
19641,BA,1,Zivinice,
19642,BA,2,Prnjavor,
19643,BA,1,Capljina,
19644,BA,1,Ljubuski,
19645,BA,1,Citluk,
19646,BA,1,Posusje,
19647,BA,2,Srebrenica,
19648,BA,1,Tesanj,
19649,BA,2,Modrica,
19650,BA,2,Kotor,
19651,BA,2,Foca,
19652,BA,1,Banja,
19653,BA,1,Core,
19654,BA,1,Music,
19655,BA,1,Udurlije,
19656,BA,1,Butmir,
19657,BA,1,Topic,
19658,BA,1,Kosevo,
19659,BA,2,Obala,
19660,BA,1,Bistrik,
19661,BA,1,Semizovac,
19662,BA,1,Ilijas,
19663,BA,1,Zeljezno Polje,
19664,BA,2,Trn,
19665,BA,2,Bosanska Gradiska,
19666,BA,1,Olovo,
19667,BA,1,Gromiljak,
19668,BA,1,Careva Cuprija,
19669,BA,1,Breza,
19670,BA,1,Gradacac,
19671,BA,1,Njivetine,
19672,BA,1,Potoci,
19673,BA,1,Mionica,
19674,BA,1,Banovici,
19675,BA,1,Ostrozac,
19676,BA,1,Pjanici,
19677,BA,1,Fojnica,
19678,BA,1,Hotonj,
19679,BA,1,Listica,
19680,BA,1,Jajce,
19681,BA,1,Orasje,
19682,BA,1,Tolisa,
19683,BA,1,Kiseljak,
19684,BA,2,Srbac,
19685,BA,1,Donja Medjidja,
19686,BA,1,Dobrinje,
19687,BA,2,Koran,
19688,BA,1,Maglaj,
19689,BA,1,Zepce,
19690,BA,1,Vozuca,
19691,BA,1,Gnojnica,
19692,BA,1,Novi Travnik,
19693,BA,1,Kacuni,
19694,BA,1,Vares,
19695,BA,1,Sanski Most,
19696,BA,2,Lamovita,
19697,BA,2,Vrtovace,
19698,BA,1,Livnica,
19699,BA,2,Novi,
19700,BA,1,Ilidza,
19701,BA,1,Bijela,
19702,BA,2,Cecava,
19703,BA,1,Livno,
19704,BA,1,Gornja Tuzla,
19705,BA,2,Stanari,
19706,BA,1,Puracic,
19707,BA,2,Lopare,
19708,BA,1,Mostre,
19709,BA,1,Pazaric,
19710,BA,1,Gostovici,
19711,BA,1,Busovaca,
19712,BA,1,Cerin,
19713,BA,2,Kablovska,
19714,BA,1,Siroki Brijeg,
19715,BA,1,Krusik,
19716,BA,1,Cengic,
19717,BA,1,Serici,
19718,BA,2,Milici,
19719,BA,1,Donja Orahovica,
19720,BA,1,Barice,
19721,BA,1,Novi Seher,
19722,BA,1,Gornje Zivinice,
19723,BA,1,Tesanjka,
19724,BA,1,Kolonija,
19725,BA,1,Vitina,
19726,BA,1,Malesici,
19727,BA,1,Gabela,
19728,BA,1,Donja Mahala,
19729,BA,1,Crnici,
19730,BA,1,Sladna,
19731,BA,1,Hadzici,
19732,BA,2,Gacko,
19733,BA,2,Priboj,
19734,BA,1,Jablanica,
19735,BA,2,Janja,
19736,BA,1,Bijakovici,
19737,BA,1,Voljevac,
19738,BA,1,Tomislavgrad,
19739,BA,2,Kozarac,
19740,BA,2,Ugljevik,
19741,BA,1,Cazin,
19742,BA,1,Zboriste,
19743,BA,2,Sipovo,
19744,BA,2,Sekovici,
19745,BA,1,Kocerin,
19746,BA,1,Donje Vukovije,
19747,BA,2,Bosanska Dubica,
19748,BA,1,Kostrc,
19749,BA,2,Rogatica,
19750,BA,1,Bosanska Krupa,
19751,BA,1,Kresevo,
19752,BA,1,Brijeg,
19753,BA,1,Simin Han,
19754,BA,1,Blazuj,
19755,BA,1,Odzak,
19756,BA,2,Bosanska Kostajnica,
19757,BA,1,Neum,
19758,BA,1,Dobrinja,
19759,BA,1,Kalesija,
19760,BA,1,Kobilici,
19761,BA,1,Brod,
19762,BA,1,Turbe,
19763,BA,1,Gornji Vakuf,
19764,BA,1,Drvar,
19765,BA,2,Petkovci,
19766,BA,1,Vraca,
19767,BA,1,Grad,
19768,BA,1,Bosanski Petrovac,
19769,BA,1,Stolac,
19770,BA,2,Sokolac,
19771,BA,1,Drinovci,
19772,BA,2,Bosanski Novi,
19773,BA,1,Donji Vakuf,
19774,BA,2,Kotor-varos,
19775,BA,1,Otoka,
19776,BA,1,Kljuc,
19777,BA,1,Ustikolina,
19778,BA,1,Donja Dubica,
19779,BA,1,Jelah,
19780,BA,1,Orguz,
19781,BA,1,Klobuk,
19782,BA,2,Nova Topola,
19783,BA,2,Bosanski Brod,
19784,BA,1,Svojat,
19785,BA,2,Osmaci,
19786,BA,1,Medugorje,
19787,BA,2,Tanackovici,
19788,BA,1,Prozor,
19789,BA,1,Ivanica,
19790,BA,1,Gornja Dubica,
19791,BA,1,Domaljevac,
19792,BA,2,Bileca,
19793,BA,2,Petrovo,
19794,BA,2,Bratunac,
19795,BA,1,Buzim,
19796,BA,1,Petrovac,
19797,BA,2,Mrkonjic Grad,
19798,BA,2,Ljubija,
19799,BA,1,Nova Bila,
19800,BA,1,Teocak,
19801,BA,2,Kozarska Dubica,
19802,BA,2,Celinac,
19803,BA,1,Dubica,
19804,BA,2,Bosanski Samac,
19805,BA,1,Otes,
19806,BA,1,Divicani,
19807,BA,1,Lipnica,
19808,BA,1,Vrazici,
19809,BA,1,Ljusina,
19810,BA,1,Lakic,
19811,BA,2,Misici,
19812,BA,1,Ruzici,
19813,BA,1,Slimena,
19814,BA,1,Vakuf,
19815,BA,2,Ostra Luka,
19816,BA,2,Omarska,
19817,BA,2,Kozluk,
19818,BA,1,Celjevo,
19819,BA,1,Dobosnica,
19820,BA,2,Kladusa,
19821,BA,2,Milosevac,
19822,BA,1,Mala Vinica,
19823,BA,2,Covic Polje,
19824,BA,1,Sovici,
19825,BA,1,Coralici,
19826,BA,1,Rijeka,
19827,BA,1,Do,
19828,BA,1,Velja,
19829,BA,1,Lokvine,
19830,BA,BD,Gornji Islamovac,
19831,BA,1,Protici,
19832,BA,1,Jarovice,
19833,BA,2,Gornji Kukici,
19834,BA,2,Debelac,
19835,BA,2,Pogledevo,
19836,BA,2,Jasenovac,
19837,BA,2,Savicani,
19838,BA,2,Dzigalevac,
19839,BA,2,Svodna,
19840,BA,1,Milankovici,
19841,BA,1,Svinjaca,
19842,BA,1,Seonica,
19843,BA,2,Skender Vakuf,
19844,BA,2,Burca,
19845,BA,1,Devetaci,
19846,BA,2,Donji Magnojevic,
19847,BA,2,Vranjacka Trebava,
19848,BA,2,Krajevi,
19849,BA,2,Podvucijak,
19850,BA,2,Crkvena,
19851,BA,2,Gelici,
19852,BA,2,Polojcani,
19853,BA,1,Solina,
19854,BA,1,Pepelari,
19855,BA,1,Lijesnica,
19856,BA,1,Stupari,
19857,BA,2,Ulobici,
19858,BA,1,Donja Vratna Gora,
19859,BA,2,Knezica,
19860,BA,2,Gornja Zelinja,
19861,BA,2,Gazivode,
19862,BA,1,Mlinari,
