locId,country,region,city,postcode
20148,BB,,,
20149,BB,7,Cave Hill,
20150,BB,8,Bridgetown,
20151,BB,3,Wildey,
20152,BB,8,Jackmans,
20153,BB,7,Spring Hall,
20154,BB,1,Hastings,
20155,BB,1,Maxwell Coast,
20156,BB,8,Two Mile Hill,
20157,BB,4,Porters,
20158,BB,11,Warrens,
20159,BB,8,Garrison,
20160,BB,7,Husbands,
20161,BB,10,River,
20162,BB,3,Haggatt Hall,
20163,BB,8,Weymouth,
20164,BB,8,Howells,
20165,BB,4,Sunset Crest,
20166,BB,4,Sandy Lane,
20167,BB,8,Clapham,
20168,BB,4,Holetown,
20169,BB,1,Oistins,
20170,BB,2,Hillaby,
20171,BB,8,Pinelands,
20172,BB,1,Saint Lawrence,
20173,BB,8,Black Rock,
20174,BB,1,Providence,
20175,BB,9,Speightstown,
20176,BB,8,Oxnards,
20177,BB,3,Belair,
20178,BB,3,Lower Estate,
20179,BB,1,Worthing,
20180,BB,9,Gibbs,
20181,BB,10,Ruby,
20182,BB,7,Retreat,
20183,BB,1,Enterprise,
20184,BB,7,Cottage,
20185,BB,8,Prior Park,
20186,BB,1,Atlantic Shores,
20187,BB,8,Rockley,
20188,BB,6,Blackmans,
20189,BB,6,Airy Hill,
20190,BB,1,Watts Village,
20191,BB,11,Shop Hill,
20192,BB,11,Bloomsbury,
20193,BB,5,Church View,
20194,BB,1,Gibbons,
20195,BB,6,Bathsheba,
20196,BB,11,Clermont,
20197,BB,1,Warners,
20198,BB,1,Rendezvous,
20199,BB,1,Maxwell,
20200,BB,6,Easy Hall,
20201,BB,4,Mount Standfast,
20202,BB,8,Bayville,
20203,BB,10,Gemswick,
20204,BB,1,Sion Hill,
20205,BB,1,Welches,
20206,BB,1,Dover,
20207,BB,1,Kingsland,
20208,BB,1,Lower Greys,
20209,BB,8,Wanstead,
20210,BB,1,Cane Vale,
20211,BB,5,Fortescue,
20212,BB,7,Church Hill,
20213,BB,8,Bank Hall,
20214,BB,8,Pine,
20215,BB,4,Westmoreland,
20216,BB,1,Navy Gardens,
20217,BB,1,Chancery Lane,
20218,BB,11,Sturges,
20219,BB,1,Frere Pilgrim,
20220,BB,1,Goodland,
20221,BB,10,Mangrove,
20222,BB,1,Lowlands,
20223,BB,1,Sargeant,
20224,BB,9,Orange Hill,
20225,BB,1,Sayes Court,
20226,BB,1,Regency Park,
20227,BB,1,Wilcox,
20228,BB,11,Holders,
20229,BB,2,Greenland,
20230,BB,1,Kent,
20231,BB,1,Thornbury Hill,
20232,BB,10,Wellhouse,
20233,BB,3,Mount,
20234,BB,8,Brittons Hill,
20235,BB,5,Wilson Hill,
20236,BB,5,Small Town,
20237,BB,3,Newbury,
20238,BB,7,Crab Hill,
20239,BB,8,Prospect,
20240,BB,10,Ocean City,
20241,BB,9,Boscobelle,
20242,BB,8,Green Hill,
20243,BB,8,Belmont,
20244,BB,3,Prerogative,
20245,BB,1,St. Patricks,
20246,BB,11,Welchman Hall,
20247,BB,3,Locust Hall,
20248,BB,11,Hoytes,
20249,BB,1,Silver Hill,
20250,BB,1,Scarborough,
20251,BB,1,Durants,
20252,BB,4,Weston,
20253,BB,4,Lower Carlton,
20254,BB,3,Salters,
20255,BB,1,Sheraton Park,
20256,BB,7,Lowland,
20257,BB,10,Halton,
20258,BB,10,Blades Hill,
20259,BB,10,Merricks,
20260,BB,11,Jackson,
20261,BB,9,Castle,
20262,BB,11,Haynesville,
20263,BB,3,Stepney,
20264,BB,8,Grazettes,
20265,BB,1,Durant,
20266,BB,11,Arch Hall,
20267,BB,3,Ellerton,
20268,BB,8,Rock Dundo,
20269,BB,3,Dash Valley,
20270,BB,8,Eden Lodge,
20271,BB,3,Union,
20272,BB,7,Content,
20273,BB,10,Saint Martins,
20274,BB,11,Bridgefield,
20275,BB,8,Fitts,
20276,BB,1,Top Rock,
20277,BB,9,Mount Brevitor,
20278,BB,10,Edgecumbe,
20279,BB,9,Maynards,
20280,BB,7,Babbs,
20281,BB,2,Cattlewash,
20282,BB,8,Hothersal Turning,
20283,BB,1,Bannatyne,
20284,BB,11,Hopewell,
20285,BB,1,Maxwell Hill,
20286,BB,1,Silver Sands,
20287,BB,7,Free Hill,
20288,BB,5,Kendal,
20289,BB,1,Yorkshire,
20290,BB,3,Jordan,
20291,BB,8,Friendship Terrace,
20292,BB,3,Drax Hall,
20293,BB,10,Marley Vale,
20294,BB,4,Jamestown Park,
20295,BB,8,Brighton,
20296,BB,1,Gall Hill,
20297,BB,9,Bakers,
20298,BB,1,Woodbourne,
20299,BB,8,Waterford,
20300,BB,6,Dunscombe,
20301,BB,1,Vauxhall,
20302,BB,11,Bagatelle,
20303,BB,3,Valley,
20304,BB,1,Newton Terrace,
20305,BB,3,Walkers Terrace,
