locId,country,region,city,postcode
20306,BD,,,
20307,BD,85,Chittagong,
20308,BD,81,Dhaka,
20309,BD,82,Khulna,
20310,BD,83,Tista,
20311,BD,83,Dial,
20312,BD,86,Sylhet,
20313,BD,81,Sonargaon,
20314,BD,81,Rajshahi,
20315,BD,81,Dhamrai,
20316,BD,81,Tungi,
20317,BD,83,Bogra,
20318,BD,83,Rangpur,
20319,BD,85,Chittagong Port,
20320,BD,81,Mirzapur,
20321,BD,81,Narayanganj,
20322,BD,86,Habiganj,
20323,BD,81,Mymensingh,
20324,BD,81,Nagar,
20325,BD,81,Joydebpur,
20326,BD,81,Manikganj,
20327,BD,86,Maulvi Bazar,
20328,BD,83,Dinajpur,
20329,BD,81,Chhota Angutia,
20330,BD,84,Barisal,
20331,BD,81,Khalishpur,
20332,BD,85,Feni,
20333,BD,81,Madaripur,
20334,BD,81,Pirgachha,
20335,BD,81,Kushtia,
20336,BD,81,Pabna,
20337,BD,81,Gazipur,
20338,BD,82,Jessore,
20339,BD,81,Palang,
20340,BD,81,Sirajganj,
20341,BD,82,Jhikargachha,
20342,BD,84,Nalchiti,
20343,BD,81,Faridpur,
20344,BD,82,Baikari,
20345,BD,81,Badda,
20346,BD,81,Jamalpur,
20347,BD,81,Brahmanbaria,
20348,BD,81,Mirpur,
20349,BD,81,Naogaon,
20350,BD,83,Thakurgaon,
20351,BD,83,Rangamati,
20352,BD,83,Nawabganj,
20353,BD,81,Tangail,
20354,BD,85,Comilla,
20355,BD,80,Chandpur,
20356,BD,81,Dakshin Haldia,
20357,BD,80,Noakhali,
20358,BD,85,Cox's Bazar,
20359,BD,81,Bajitpur,
20360,BD,81,Dhaidia,
20361,BD,81,Bhuria,
20362,BD,81,Khilgaon,
20363,BD,80,Chikdair,
20364,BD,81,Savar,
20365,BD,81,Gopalganj,
20366,BD,81,Narsingal,
20367,BD,81,Dohar,
20368,BD,80,Chadpur,
20369,BD,84,Bagerhat,
20370,BD,81,Bil Bautia,
20371,BD,80,Molla,
20372,BD,81,Fulbaria,
20373,BD,81,Baipail,
20374,BD,81,Basutia,
20375,BD,81,Narsingdi,
20376,BD,81,Kishorganj,
20377,BD,81,Nuhalkalupara,
20378,BD,82,Satkhira,
20379,BD,80,Chandina,
20380,BD,80,Panjab,
20381,BD,81,Bagbari,
20382,BD,81,Birbanda Kachhra,
20383,BD,86,Takerhat,
20384,BD,81,Bairagibari,
20385,BD,81,Munshiganj,
