locId,country,region,city,postcode
20386,BE,,,
20387,BE,12,Leuven,
20388,BE,11,Brussels,
20389,BE,3,Charleroi,
20390,BE,1,Zwijndrecht,
20391,BE,9,Zwevegem,
20392,BE,8,Gent,
20393,BE,3,Soignies,
20394,BE,2,Zaventem,
20395,BE,1,Edegem,
20396,BE,1,Essen,
20397,BE,9,Tielt,
20398,BE,1,Herentals,
20399,BE,8,Wetteren,
20400,BE,2,Diegem,
20401,BE,11,Berchem,
20402,BE,1,Puurs,
20403,BE,9,Veurne,
20404,BE,1,Antwerpen,
20405,BE,1,Antwerp,
20406,BE,2,Waterloo,
20407,BE,6,Vaux,
20408,BE,8,Lokeren,
20409,BE,5,Koersel,
20410,BE,4,Liège,
20411,BE,3,Gosselies,
20412,BE,1,Boom,
20413,BE,1,Hoboken,
20414,BE,11,Evere,
20415,BE,12,Louvain-la-neuve,
20416,BE,8,Aalst,
20417,BE,5,Borgloon,
20418,BE,5,Baal,
20419,BE,1,Berg,
20420,BE,9,Deerlijk,
20421,BE,3,Mons,
20422,BE,3,Lessines,
20423,BE,2,Vilvoorde,
20424,BE,7,Saint-denis,
20425,BE,9,Oostende,
20426,BE,9,De Haan,
20427,BE,9,Brugge,
20428,BE,1,Schoten,
20429,BE,1,Kontich,
20430,BE,1,Turnhout,
20431,BE,9,Kuurne,
20432,BE,3,Forest,
20433,BE,8,Aalter,
20434,BE,3,Mouscron,
20435,BE,8,Merelbeke,
20436,BE,9,Wevelgem,
20437,BE,9,Poperinge,
20438,BE,2,Heverlee,
20439,BE,5,Sint-truiden,
20440,BE,2,Kessel-lo,
20441,BE,2,Nivelles,
20442,BE,3,Lodelinsart,
20443,BE,3,Roux,
20444,BE,11,Brussel,
20445,BE,2,Zellik,
20446,BE,9,Zeebrugge,
20447,BE,2,Hoeilaart,
20448,BE,8,Gand,
20449,BE,2,Rotselaar,
20450,BE,5,Genk,
20451,BE,5,Hasselt,
20452,BE,3,Seneffe,
20453,BE,7,Moustier,
20454,BE,6,Athus,
20455,BE,2,Vilvorde,
20456,BE,1,Bornem,
20457,BE,1,Mechelen,
20458,BE,9,Damme,
20459,BE,11,Anderlecht,
20460,BE,2,Vlezenbeek,
20461,BE,2,Grimbergen,
20462,BE,2,Winksele,
20463,BE,8,Temse,
20464,BE,2,Parc,
20465,BE,2,Wauthier-braine,
20466,BE,2,Stock,
20467,BE,7,Champion,
20468,BE,8,Holland,
20469,BE,2,Aarschot,
20470,BE,1,Geel,
20471,BE,1,Wilrijk,
20472,BE,2,Londerzeel,
20473,BE,2,Machelen,
20474,BE,9,Kortrijk,
20475,BE,2,Wauthier,
20476,BE,8,Oudenaarde,
20477,BE,2,Kraainem,
20478,BE,3,Familleureux,
20479,BE,4,Verviers,
20480,BE,8,Lochristi,
20481,BE,1,Sint-katelijne-waver,
20482,BE,9,Moorsele,
20483,BE,9,Oostrozebeke,
20484,BE,3,Mark,
20485,BE,1,Willebroek,
20486,BE,8,Zwijnaarde,
20487,BE,2,Nossegem,
20488,BE,1,Deurne,
20489,BE,2,Groot-bijgaarden,
20490,BE,1,Duffel,
20491,BE,7,Namen,
20492,BE,8,Sint-denijs-westrem,
20493,BE,9,Ardooie,
20494,BE,1,Aartselaar,
20495,BE,7,Namur,
20496,BE,5,Dilsen,
20497,BE,2,Diest,
20498,BE,2,La Hulpe,
20499,BE,1,Westmalle,
20500,BE,6,Ster,
20501,BE,2,Halle,
20502,BE,4,Bullingen,
20503,BE,4,Seraing,
20504,BE,9,Koksijde,
20505,BE,2,Tremelo,
20506,BE,3,Enghien,
20507,BE,4,Chaudfontaine,
20508,BE,2,Elsene,
20509,BE,4,Thys,
20510,BE,8,Sint-niklaas,
20511,BE,8,Eeklo,
20512,BE,9,Roeselare,
20513,BE,4,Welkenraedt,
20514,BE,3,Comines,
20515,BE,5,Tessenderlo,
20516,BE,1,Wommelgem,
20517,BE,8,Erembodegem,
20518,BE,8,Nazareth,
20519,BE,3,Tournai,
20520,BE,6,Bourg,
20521,BE,2,Rhode-saint-genèse,
20522,BE,6,Champs,
20523,BE,2,Tervuren,
20524,BE,8,Haute,
20525,BE,2,Meise,
20526,BE,2,Rhode,
20527,BE,3,Royaume,
20528,BE,12,Louvain,
20529,BE,8,Ghent,
20530,BE,6,Arlon,
20531,BE,7,Gembloux,
20532,BE,5,Diepenbeek,
20533,BE,4,Limburg,
20534,BE,7,Godinne,
20535,BE,1,Reet,
20536,BE,9,Hooglede,
20537,BE,9,Jabbeke,
20538,BE,8,Dendermonde,
20539,BE,9,Izegem,
20540,BE,2,Overijse,
20541,BE,1,Mortsel,
20542,BE,8,Drongen,
20543,BE,8,Zottegem,
20544,BE,9,Heidelberg,
20545,BE,2,Tubize,
20546,BE,4,Alleur,
20547,BE,9,Harelbeke,
20548,BE,3,Heule,
20549,BE,8,Deinze,
20550,BE,8,Zele,
20551,BE,7,Maison,
20552,BE,8,Hofstade,
20553,BE,8,Esch,
20554,BE,5,Herk,
