locId,country,region,city,postcode
24686,BG,,,
24687,BG,42,Sofia,
24688,BG,61,Varna,
24689,BG,39,Burgas,
24690,BG,62,Tarnovo,
24691,BG,50,Pleven,
24692,BG,51,Plovdiv,
24693,BG,38,Blagoevgrad,
24694,BG,59,Stara Zagora,
24695,BG,43,Dimitrovgrad,
24696,BG,52,Razgrad,
24697,BG,46,Lovech,
24698,BG,50,Levski,
24699,BG,53,Rousse,
24700,BG,52,Balkan,
24701,BG,64,Vratca,
24702,BG,43,Svilengrad,
24703,BG,39,Pomorie,
24704,BG,43,Bulgarin,
24705,BG,41,Gabrovo,
24706,BG,58,Kostinbrod,
24707,BG,51,Saedinenie,
24708,BG,43,Haskovo,
24709,BG,42,Moderno Predgradie,
24710,BG,56,Sliven,
24711,BG,48,Pestera,
24712,BG,40,Dobrich,
24713,BG,59,Kazanlak,
24714,BG,45,Kyustendil,
24715,BG,57,Smolian,
24716,BG,48,Pazardjik,
24717,BG,49,Pernik,
24718,BG,65,Yambol,
24719,BG,63,Vidin,
24720,BG,62,Pavlikeni,
24721,BG,55,Silistra,
24722,BG,50,Belene,
24723,BG,40,Kavarna,
24724,BG,51,Assenovgrad,
24725,BG,39,Ustrem,
24726,BG,64,Vratsa,
24727,BG,58,Botevgrad,
24728,BG,33,Zlaten Rog,
24729,BG,58,Prolesha,
24730,BG,64,Kozloduj,
24731,BG,58,Pravec,
24732,BG,62,Svishtov,
24733,BG,51,Parchevich,
24734,BG,51,Arda,
24735,BG,61,Nikolaevska,
24736,BG,59,Radnevo,
24737,BG,62,Suhindol,
24738,BG,40,Balchik,
24739,BG,61,Sveti Naum,
24740,BG,61,Devnya,
24741,BG,52,Voden,
24742,BG,50,Dolna Mitropolia,
24743,BG,40,Tervel,
24744,BG,38,Petrich,
24745,BG,54,Shumen,
24746,BG,61,Kliment,
24747,BG,58,Pirin,
24748,BG,61,Kaloyan,
24749,BG,39,San Stefano,
24750,BG,55,Dulovo,
24751,BG,61,Voivoda,
24752,BG,52,Slatina,
24753,BG,43,Harmanli,
24754,BG,58,Ihtiman,
24755,BG,48,Velingrad,
24756,BG,46,Trojan,
24757,BG,46,Troyan,
24758,BG,47,Montana,
24759,BG,56,Nova Zagora,
