locId,country,region,city,postcode
26078,BH,,,
26079,BH,2,Manama,
26080,BH,10,Budaiya,
26081,BH,3,Muharraq,
26082,BH,13,Hamad Town,
26083,BH,6,Sitrah,
26084,BH,8,Dumistan,
26085,BH,11,Sanad,
26086,BH,12,Isa Town,
26087,BH,5,Karranah,
26088,BH,7,Al `awali,
26089,BH,1,Hidd,
26090,BH,3,Sar,
26091,BH,7,Safiah,
26092,BH,10,Barbar,
26093,BH,10,Maqaba,
26094,BH,10,Diraz,
26095,BH,10,Al Markh,
26096,BH,10,Markh,
26097,BH,11,Salmabad,
26098,BH,7,Jaw,
26099,BH,13,Madinat Hamad,
26100,BH,8,Karzakkan,
26101,BH,7,Al `amar,
26102,BH,8,Hamala,
26103,BH,5,Karbabad,
26104,BH,5,Sanabis,
26105,BH,3,Muharraq Town,
26106,BH,3,Qalali,
26107,BH,10,Al Qurayyah,
26108,BH,2,Umm Al Hassam,
26109,BH,8,Jasra,
26110,BH,2,Zinj,
26111,BH,10,Janabiyah,
26112,BH,8,Zallaq,
26113,BH,5,Hajar,
26114,BH,12,Isa,
26115,BH,5,Hillat,
26116,BH,8,Shahrakkan,
26117,BH,10,Jamra,
26118,BH,8,Sadad,
26119,BH,10,Bani Jamrah,
26120,BH,10,Jannusan,
26121,BH,3,Al Muharraq,
26122,BH,6,Nuwaidrat,
26123,BH,11,Tubli,
26124,BH,2,Jufair,
26125,BH,10,Al Buday`,
26126,BH,10,Janabiya,
26127,BH,8,Al Jasrah,
26128,BH,10,Jamrah,
26129,BH,7,Sakhir,
26130,BH,12,Jurdab,
26131,BH,3,Halat,
26132,BH,3,Galali,
26133,BH,5,Shakhura,
26134,BH,1,Al Hidd,
26135,BH,3,Al-muharrak,
26136,BH,2,Buri,
26137,BH,6,Qarya,
26138,BH,8,Al Hamalah,
26139,BH,5,Qadam,
26140,BH,6,Sitra,
26141,BH,5,Bu Quwah,
26142,BH,7,Ar Rifa,
26143,BH,10,Jidd Al Hajj,
26144,BH,1,Hadd,
26145,BH,5,Hillah,
26146,BH,10,Sar,
26147,BH,2,Mani,
26148,BH,5,Jabalat Habshi,
26149,BH,5,Jabalat Habashi,
26150,BH,6,Ma'amir,
26151,BH,5,Al Muqsha`,
26152,BH,10,Qurayyah,
26153,BH,6,Mahazzah,
26154,BH,5,Al Hajar,
26155,BH,8,Hamalah,
26156,BH,10,`ali,
26157,BH,11,Salambad,
26158,BH,11,Al Hujayr,
26159,BH,5,Jid Hafs,
26160,BH,2,Kawarah,
26161,BH,11,Huwais,
26162,BH,10,Al Janabiyah,
26163,BH,10,Budaia,
26164,BH,2,Jafair,
26165,BH,2,Al Manama,
26166,BH,2,Al Manamah,
26167,BH,5,Shakhurah,
