locId,country,region,city,postcode
26283,BO,,,
26284,BO,4,La Paz,
26285,BO,3,Santa Cruz,
26286,BO,2,Cochabamba,
26287,BO,7,Cruz,
26288,BO,9,Tarija,
26289,BO,7,Caracas,
26290,BO,3,Riberalta,
26291,BO,8,Aroma,
26292,BO,2,Quillacollo,
26293,BO,5,Huanuni,
26294,BO,5,Machacamarca,
26295,BO,7,Potosí,
26296,BO,1,Sucre,
26297,BO,8,Santa Cruz De La Sierra,
26298,BO,5,Oruro,
26299,BO,3,Francia,
26300,BO,3,Trinidad,
26301,BO,2,Colomi,
26302,BO,8,Montero,
26303,BO,8,Camiri,
26304,BO,8,La Bélgica,
26305,BO,7,Llallagua,
26306,BO,8,El Carmen,
26307,BO,9,Cercado,
26308,BO,9,Bermejo,
26309,BO,4,Alto,
26310,BO,6,Cobija,
26311,BO,8,Cruz,
26312,BO,1,Camargo,
26313,BO,8,Cotoca,
26314,BO,8,Warnes,
26315,BO,4,Copacabana,
26316,BO,2,Sacaba,
26317,BO,2,Colcapirhua,
26318,BO,3,Guayaramerín,
26319,BO,6,Pando,
26320,BO,9,Yacuiba,
26321,BO,8,Puerto Suárez,
26322,BO,7,Uyuni,
26323,BO,4,Caranavi,
26324,BO,4,Achocalla,
26325,BO,1,Caraparí,
26326,BO,8,Andrés,
26327,BO,8,San Ignacio,
26328,BO,1,Estancia Misión Khasa,
26329,BO,8,Mairana,
26330,BO,7,Nohata,
26331,BO,7,Estancia Vila Vila,
26332,BO,4,Achumani,
26333,BO,7,Miraflores,
26334,BO,8,Hamacas,
26335,BO,6,Puerto,
26336,BO,2,Ciudad Cochabamba,
26337,BO,4,Ciudad La Paz,
26338,BO,3,América,
