locId,country,region,city,postcode
26340,BR,,,
26341,BR,27,São Paulo,
26342,BR,21,Rio De Janeiro,
26343,BR,27,Salto,
26344,BR,23,Porto Alegre,
26345,BR,15,Belo Horizonte,
26346,BR,30,Recife,
26347,BR,27,Taubaté,
26348,BR,27,Suzano,
26349,BR,18,Londrina,
26350,BR,8,Serra,
26351,BR,15,Uberlândia,
26352,BR,18,Curitiba,
26353,BR,27,Mairiporã,
26354,BR,27,Campinas,
26355,BR,15,Contagem,
26356,BR,4,Manaus,
26357,BR,27,Buenos Aires,
26358,BR,7,Brasília,
26359,BR,27,Rio Claro,
26360,BR,18,Pato Branco,
26361,BR,27,Hortolândia,
26362,BR,11,Glória,
26363,BR,5,Montes,
26364,BR,11,Fortaleza,
26365,BR,31,Paranã,
26366,BR,11,São Luiz,
26367,BR,29,Caldas Novas,
26368,BR,26,Chapecó,
26369,BR,27,Piracicaba,
26370,BR,27,Jundiaí,
26371,BR,26,Florianópolis,
26372,BR,27,Marília,
26373,BR,27,Atibaia,
26374,BR,5,Paulo Afonso,
26375,BR,3,São Paulo,
26376,BR,18,Ponta Grossa,
26377,BR,17,João Pessoa,
26378,BR,21,Petrópolis,
26379,BR,27,São José Dos Campos,
26380,BR,17,Campina Grande,
26381,BR,16,Belém,
26382,BR,23,Santa Maria,
26383,BR,21,Niterói,
26384,BR,5,Salvador,
26385,BR,8,Vitória,
26386,BR,15,Viçosa,
26387,BR,13,São Luís,
26388,BR,1,Mercês,
26389,BR,24,Cacoal,
26390,BR,18,Francisco Beltrão,
26391,BR,18,Castro,
26392,BR,22,Santo Antônio,
26393,BR,18,Maringá,
26394,BR,18,Umuarama,
26395,BR,18,Foz Do Iguaçu,
26396,BR,26,Brusque,
26397,BR,26,Blumenau,
26398,BR,26,Rio Do Sul,
26399,BR,27,Valinhos,
26400,BR,26,Itajaí,
26401,BR,15,Juiz De Fora,
26402,BR,14,Rondonópolis,
26403,BR,14,Cuiabá,
26404,BR,30,Paulista,
26405,BR,23,Santa Cruz Do Sul,
26406,BR,29,Goiânia,
26407,BR,2,Maceió,
26408,BR,24,Vilhena,
26409,BR,24,Pôrto Velho,
26410,BR,1,Rio Branco,
26411,BR,23,Pelotas,
26412,BR,24,Ariquemes,
26413,BR,23,Novo Hamburgo,
26414,BR,27,Botafogo,
26415,BR,23,Caxias Do Sul,
26416,BR,18,Sarandi,
