locId,country,region,city,postcode
32447,BS,,,
32448,BS,23,Nassau,
32449,BS,25,Freeport,
32450,BS,27,Palmetto Point,
32451,BS,31,Marsh Harbour,
32452,BS,31,Hope Town,
32453,BS,22,Dunmore Town,
32454,BS,22,Spanish Wells,
32455,BS,28,Green Turtle Cay,
32456,BS,25,West End,
32457,BS,23,Cable Beach,
32458,BS,22,The Bluff,
32459,BS,25,Eight Mile Rock,
32460,BS,27,Governor's Harbour,
32461,BS,27,Gregory Town,
32462,BS,33,Rock Sound,
32463,BS,31,Sandy Point,
32464,BS,31,Murphy Town,
32465,BS,31,Great Guana Cay,
32466,BS,31,Dundas Town,
32467,BS,22,Current,
32468,BS,27,James Cistern,
32469,BS,22,Lower Bogue,
32470,BS,35,Cockburn Town,
32471,BS,5,Alice Town,
32472,BS,10,Georgetown,
32473,BS,33,Deep Creek,
32474,BS,27,Hatchet Bay,
32475,BS,22,Spanish Wells Settlement,
32476,BS,10,Rolleville,
32477,BS,29,High Rock,
32478,BS,26,Andros Town,
32479,BS,13,Matthew Town,
32480,BS,25,Lucaya,
32481,BS,33,Waterford,
32482,BS,27,Tarpum Bay,
32483,BS,23,Englerston,
32484,BS,25,Freeport City,
32485,BS,22,Harbour Island,
32486,BS,22,Bluff,
32487,BS,23,City Of Nassau,
