locId,country,region,city,postcode
32509,BW,,,
32510,BW,9,Gaborone,
32511,BW,8,Francistown,
32512,BW,0,Orapa,
32513,BW,11,Maun,
32514,BW,8,Selebi,
32515,BW,9,Otse,
32516,BW,8,Tonota,
32517,BW,9,Ramotswa,
32518,BW,11,Kasane,
32519,BW,1,Palapye,
32520,BW,9,Tlokweng,
32521,BW,0,Gweta,
32522,BW,9,Lobatse,
32523,BW,1,Serowe,
32524,BW,6,Mogoditshane,
32525,BW,10,Moshupa,
32526,BW,10,Kanye,
32527,BW,5,Mochudi,
32528,BW,9,Mmathubudukwane,
32529,BW,6,Molepolole,
32530,BW,8,Sefophe,
32531,BW,1,Phikwe,
32532,BW,6,Thamaga,
32533,BW,1,Mahalapye,
32534,BW,3,Ghanzi,
32535,BW,8,Selibe-phikwe,
32536,BW,9,Broadhurst,
32537,BW,0,Shakawe,
32538,BW,6,Leftka,
32539,BW,6,Gabane,
32540,BW,6,Bokaa,
32541,BW,9,Bontleng,
32542,BW,1,Letlhakane,
32543,BW,6,Lokerane,
32544,BW,1,Mumungwe,
32545,BW,8,Masunga,
