locId,country,region,city,postcode
32546,BY,,,
32547,BY,4,Minsk,
32548,BY,1,Brest,
32549,BY,1,Baranovichi,
32550,BY,7,Novopolotsk,
32551,BY,7,Vitebsk,
32552,BY,2,Gomel,
32553,BY,3,Grodno,
32554,BY,6,Mogilev,
32555,BY,2,Lenina,
32556,BY,2,Zhlobin,
32557,BY,7,Sloboda,
32558,BY,2,Mozyr,
32559,BY,2,Kirova,
32560,BY,7,Polotsk,
32561,BY,4,Bobruisk,
32562,BY,3,Gorka,
32563,BY,4,Gorodetskaya,
32564,BY,1,Kobryn,
32565,BY,1,Belolesye,
32566,BY,3,Navahrudak,
32567,BY,3,Slonim,
32568,BY,7,Gryada,
32569,BY,7,Sharylino,
32570,BY,7,Barsuchina,
32571,BY,7,Klimova,
32572,BY,7,Selyuty,
32573,BY,2,Zlobin,
32574,BY,2,Dedov Kurgan,
32575,BY,3,Ischolnyany,
32576,BY,3,Shchenets,
32577,BY,3,Hrodna,
32578,BY,4,Grebeneva,
32579,BY,4,Vilchitsy,
32580,BY,4,Zabavy,
32581,BY,6,Jejnarowicze,
32582,BY,3,Sheybakpol,
32583,BY,4,Gribovets,
32584,BY,4,Dosovichi,
32585,BY,1,Girmontovtse,
32586,BY,6,Borisov,
32587,BY,6,Salihorsk,
32588,BY,6,Petrovinka,
32589,BY,6,Guya,
32590,BY,6,Labunshchina,
32591,BY,2,Gavli,
32592,BY,3,Jeziory,
32593,BY,3,Masty,
32594,BY,3,Streltsy,
32595,BY,3,Striyevka,
32596,BY,1,Zabinka,
32597,BY,1,Ivanava,
32598,BY,1,Sventsitsa,
32599,BY,7,Dvorishche,
32600,BY,7,Pligovki,
32601,BY,7,Golubyye,
32602,BY,7,Orsha,
32603,BY,4,Lezhnevka,
32604,BY,4,Zbyshin,
32605,BY,4,Polykovichi,
32606,BY,4,Levkovshchina,
32607,BY,6,Gojzewo,
32608,BY,3,Bershty,
32609,BY,1,Drogichin,
32610,BY,7,Senno,
32611,BY,7,Shumilina,
32612,BY,7,Boboviki,
32613,BY,4,Broshka,
32614,BY,6,Prudishcha,
32615,BY,3,Semerenki,
32616,BY,3,Saltoniskis,
32617,BY,6,Gurnoviche,
32618,BY,6,Priluki,
32619,BY,1,Pinsk,
32620,BY,6,Novaya Gayna,
32621,BY,1,Volna,
32622,BY,1,Grudy,
32623,BY,1,Alekseyeviche,
32624,BY,1,Korechin,
32625,BY,1,Ivatsevichi,
32626,BY,7,Baranovskiye,
32627,BY,7,Krupenina,
32628,BY,7,Ostrovlyane,
32629,BY,7,Frolkovichi,
32630,BY,2,Zelënaya Sloboda,
32631,BY,3,Kostsenevo,
32632,BY,4,Lupolovo,
32633,BY,6,Galitsa,
32634,BY,3,Lida,
32635,BY,3,Zabloc,
32636,BY,4,Mezhisyatki,
32637,BY,2,Mnogoversh,
32638,BY,6,Kurnevichi,
32639,BY,6,Posëlok Novaya Zhizn,
32640,BY,6,Mgle,
32641,BY,6,Belaruch,
32642,BY,6,Zhodino,
32643,BY,6,Kosino,
32644,BY,7,Pukanovka Pervaya,
32645,BY,2,Sokol Vinogradov,
32646,BY,2,Gubichi,
32647,BY,3,Taneviche,
32648,BY,3,Lychkovtse,
32649,BY,7,Turzhets Pervyy,
32650,BY,7,Posëlok Staroye Selo,
32651,BY,7,Nikolayeva,
32652,BY,4,Babinka,
32653,BY,4,Romanovichi,
32654,BY,2,Luchina,
32655,BY,1,Bogushëvo,
32656,BY,7,Yazvino,
32657,BY,7,Shapechino,
32658,BY,4,Novoye Drazhno,
32659,BY,6,Yurova,
32660,BY,6,Chatyn,
32661,BY,2,Sheyka,
32662,BY,6,Pasiki,
32663,BY,6,Chervyaki,
32664,BY,1,Pruzhany,
32665,BY,6,Obcheye,
32666,BY,1,Darevnaya,
32667,BY,7,Fatynya,
32668,BY,7,Kordon,
32669,BY,2,Mazyr,
32670,BY,3,Dzekhtsyary,
32671,BY,4,Bolonovselets,
32672,BY,4,Krasnitsa Pervaya,
32673,BY,6,Radoshkoviche,
32674,BY,6,Rogovo,
32675,BY,6,Molodechno,
32676,BY,6,Novaya Usyazhka,
32677,BY,6,Latygovka,
32678,BY,6,Medukhovo,
32679,BY,6,Malyye Kolodezi,
32680,BY,6,Kamenets,
32681,BY,6,Kuflany,
32682,BY,6,Padonki,
32683,BY,6,Prisëlki,
32684,BY,3,Savalyuvka,
32685,BY,1,Patarnoviche,
32686,BY,7,Pisarevo,
32687,BY,7,Chernetskoye,
32688,BY,4,Samodumka,
32689,BY,4,Saltanovka,
32690,BY,1,Bobroviche,
32691,BY,7,Yushkovo,
32692,BY,4,Asipovichy,
32693,BY,6,Miasota,
32694,BY,6,Brodnya,
32695,BY,2,Vetka,
32696,BY,6,Stolbtsy,
32697,BY,6,Zabicze,
32698,BY,6,Migówka,
32699,BY,6,Gródki,
32700,BY,6,Zhdanoviche,
32701,BY,7,Gorodok,
32702,BY,2,Shirokaya,
32703,BY,1,Kobrin,
32704,BY,2,Lenin,
