locId,country,region,city,postcode
33061,BZ,,,
33062,BZ,1,Belize City,
33063,BZ,2,Cayo,
33064,BZ,2,Panama,
33065,BZ,1,Ladyville,
33066,BZ,1,San Pedro,
33067,BZ,2,Belmopan,
33068,BZ,1,Butcher Burn,
33069,BZ,5,Placencia,
33070,BZ,2,San Ignacio,
33071,BZ,4,Backlanding,
33072,BZ,1,Joe Wagner Boom,
33073,BZ,1,Maskalla,
33074,BZ,4,Orange Walk,
33075,BZ,1,Bob Eiley,
33076,BZ,3,Corozal,
33077,BZ,5,Dangriga,
33078,BZ,2,Black Man Eddy,
33079,BZ,2,Benque Viejo,
33080,BZ,1,Bomba,
33081,BZ,2,Spanish Lookout,
33082,BZ,6,Punta Gorda,
33083,BZ,6,Central,
33084,BZ,5,Independence,
33085,BZ,5,Hopkins,
33086,BZ,2,Santa Elena,
33087,BZ,5,Pomona,
33088,BZ,1,Bermudian Landing,
33089,BZ,1,Chicago,
33090,BZ,4,Burnham Hall,
33091,BZ,1,Maskall,
33092,BZ,2,Sibun Camp,
33093,BZ,5,Middlesex,
33094,BZ,4,San Juan Bank,
33095,BZ,2,Baldy Sibun,
33096,BZ,3,Caledonia,
33097,BZ,3,Shipstern,
33098,BZ,1,Caye Corker,
33099,BZ,2,Ontario Village,
33100,BZ,5,Dangriga Town,
33101,BZ,2,Benque Viejo Del Carmen,
33102,BZ,5,Stann Creek,
33103,BZ,1,Burrell Boom,
