locId,country,region,city,postcode
33104,CA,,,
33105,CA,ON,Ottawa,k2k2w7
33106,CA,BC,Victoria,v8x3b6
33107,CA,ON,Toronto,m5s1c1
33108,CA,BC,Parksville,v9p2h5
33109,CA,AB,Edmonton,t6h5x2
33110,CA,BC,Vancouver,v6b5k3
33111,CA,SK,Saskatoon,s7n4l5
33112,CA,ON,Ottawa,k1a0z4
33113,CA,ON,London,n6a5b7
33114,CA,AB,Edmonton,
33115,CA,NS,Halifax,b3h4h8
33116,CA,ON,Waterloo,n2l3g1
33117,CA,ON,Hamilton,l8s4m1
33118,CA,ON,Kingston,
33119,CA,ON,Kingston,k7l3n6
33120,CA,MB,Winnipeg,r3t2n2
33121,CA,ON,Toronto,m4w1p4
33122,CA,ON,Toronto,m3j1p3
33123,CA,ON,Guelph,n1g2w1
33124,CA,ON,Ottawa,
33125,CA,ON,Ottawa,k1y4h7
33126,CA,ON,Nepean,k2h8e9
33127,CA,NS,Wolfville,b4p2r6
33128,CA,AB,Calgary,t2a7r9
33129,CA,QC,Varennes,j3x1s1
33130,CA,NB,Fredericton,e3b5a3
33131,CA,AB,Athabasca,t9s3a3
33132,CA,QC,Dorval,h9p1j3
33133,CA,ON,Ottawa,k1a0e4
33134,CA,QC,Montreal,h3a1b9
33135,CA,QC,Quebec,g1k7p4
33136,CA,QC,Montreal,h3t1j4
33137,CA,QC,Montreal,h3g1m8
33138,CA,QC,Montreal,
33139,CA,QC,Montreal,h3c3p8
33140,CA,QC,Trois-rivières,g9a5h7
33141,CA,QC,Sherbrooke,j1k2r1
33142,CA,QC,Montreal,h3t1v6
33143,CA,QC,Chicoutimi,g7h2b1
33144,CA,QC,Gatineau,j8x3x7
33145,CA,QC,Quebec,g1k9h5
33146,CA,QC,Rimouski,g5l3a1
33147,CA,QC,Montreal,h3a2b4
33148,CA,QC,Montreal,h3l3t1
33149,CA,ON,Chalk River,k0j1j0
33150,CA,ON,Ottawa,k1a0r6
33151,CA,ON,Ottawa,k1s5b6
33152,CA,ON,Kanata,k2k2w7
33153,CA,ON,Nepean,k2e1b6
33154,CA,ON,Downsview,m3k1y5
33155,CA,ON,Toronto,m3c1h7
33156,CA,AB,Calgary,t2n1n4
33157,CA,ON,Ottawa,k1n6n5
33158,CA,PE,Charlottetown,c1a4p3
33159,CA,ON,Toronto,m3c3n3
33160,CA,BC,Burnaby,v5n4n2
33161,CA,NB,Dieppe,e1a4x5
33162,CA,NS,Bedford,b4a1e7
33163,CA,NS,Dartmouth,b3a4k7
33164,CA,NS,Dartmouth,b2y4b1
33165,CA,NS,Halifax,b3l4r3
33166,CA,NS,Halifax,b3j1n9
33167,CA,NS,Sydney,b1p6s9
33168,CA,NS,Sydney,b1p5k7
33169,CA,NS,Bedford,b4a2x9
33170,CA,ON,Windsor,n9b3p4
33171,CA,QC,Lachine,
33172,CA,BC,Vancouver,v6t1z2
33173,CA,ON,Kingston,k7k7b4
33174,CA,ON,Toronto,m5g1x6
33175,CA,AB,Edmonton,t5k0l5
33176,CA,QC,Dorval,h9p2t4
33177,CA,NB,Saint John,e2l4l5
33178,CA,ON,Kanata,k2k2e6
33179,CA,ON,Weston,m9l2w7
33180,CA,ON,Toronto,m7a1n3
33181,CA,ON,Bancroft,k0l1c0
33182,CA,NB,Sackville,e0a3c0
33183,CA,ON,Toronto,k1g3j4
33184,CA,BC,Victoria,v8t2w1
33185,CA,BC,Extension,
33186,CA,AB,Calgary,t2g2w1
33187,CA,AB,Calgary,t2e6x6
33188,CA,AB,Calgary,t2p2v1
33189,CA,MB,Winnipeg,r3x0e2
33190,CA,AB,Calgary,t2g0p5
33191,CA,AB,Calgary,t2p3t6
33192,CA,AB,Calgary,t2s1x1
33193,CA,AB,Calgary,t2p3m3
33194,CA,AB,Calgary,t2e7h7
33195,CA,AB,Calgary,t2n4r3
33196,CA,AB,Calgary,t2p1x9
33197,CA,AB,Calgary,t1y6x1
33198,CA,AB,Calgary,t2g0y2
33199,CA,AB,Calgary,t2p0m2
33200,CA,BC,Vancouver,v6e3x1
33201,CA,AB,Calgary,t2p4h4
33202,CA,AB,Calgary,t3g5h6
33203,CA,AB,Calgary,t2c1z6
33204,CA,AB,Calgary,t2e8r1
33205,CA,AB,Calgary,t2p2v7
33206,CA,AB,Calgary,t2p1g4
