locId,country,region,city,postcode
73849,CD,,,
73850,CD,6,Kinshasa,
73851,CD,5,Lubumbashi,
73852,CD,10,Mobile,
73853,CD,11,Goma,
73854,CD,5,Mwanza,
73855,CD,9,Site,
73856,CD,1,Boma,
73857,CD,11,Kisangani,
73858,CD,2,Bata,
73859,CD,12,Bukavu,
73860,CD,8,Matadi,
73861,CD,0,Isiro,
73862,CD,5,Kamoto,
73863,CD,5,Yaya,
73864,CD,0,Gilson,
73865,CD,10,Soyo,
73866,CD,5,Kolwezi,
73867,CD,12,Fizi,
73868,CD,5,Kananga,
73869,CD,5,Likasi,
73870,CD,11,Butembo,
73871,CD,9,Bunia,
73872,CD,5,Kamina,
73873,CD,0,Boende,
73874,CD,0,Gbadolite,
73875,CD,10,Kindu,
73876,CD,2,Mbandaka,
73877,CD,3,Tshikapa,
73878,CD,1,Bandundu,
73879,CD,8,Pelende,
73880,CD,1,Kikwit,
73881,CD,2,Gemena,
73882,CD,0,Kitenda,
73883,CD,5,Luena,
73884,CD,8,Mbanza,
73885,CD,7,Kampala,
73886,CD,8,Zongo,
73887,CD,0,Lisala,
73888,CD,5,Kalemie,
73889,CD,5,Kasumbalesa,
73890,CD,11,Isangi,
73891,CD,0,Maluku,
73892,CD,0,Lodja,
73893,CD,4,Mbuji-mayi,
73894,CD,8,Banana,
73895,CD,0,Buta,
73896,CD,5,Katuba,
73897,CD,9,Ndaro,
73898,CD,7,Maniema,
73899,CD,5,Kambove,
73900,CD,1,Gombe,
73901,CD,8,Kisantu,
73902,CD,2,Engengele,
73903,CD,2,Yakata,
73904,CD,8,Moanda,
73905,CD,8,Tshela,
73906,CD,11,Rutshuru,
73907,CD,11,Beni,
73908,CD,0,Ankoro,
