locId,country,region,city,postcode
73918,CH,,,
73919,CH,11,Ebikon,
73920,CH,23,Vevey,
73921,CH,23,Lausanne,
73922,CH,1,Zurzach,
73923,CH,1,Windisch,
73924,CH,1,Aarau,
73925,CH,23,Crissier,
73926,CH,6,Fribourg,
73927,CH,8,Glarus,
73928,CH,19,Weinfelden,
73929,CH,25,Zürich,
73930,CH,20,Lugano,
73931,CH,7,Geneva,
73932,CH,23,Ecublens,
73933,CH,4,Basel,
73934,CH,12,Bevaix,
73935,CH,24,Steinhausen,
73936,CH,7,Saconnex,
73937,CH,5,Zollikofen,
73938,CH,25,Schlieren,
73939,CH,5,Bern,
73940,CH,1,Oberglatt,
73941,CH,1,Otelfingen,
73942,CH,1,Läufelfingen,
73943,CH,25,Zumikon,
73944,CH,25,Uetikon Am See,
73945,CH,1,Baden,
73946,CH,15,Heerbrugg,
73947,CH,1,Mettmenstetten,
73948,CH,1,Wettingen,
73949,CH,11,Lucerne,
73950,CH,1,Kaiseraugst,
73951,CH,25,Zollikon,
73952,CH,20,Torre,
73953,CH,20,Tesserete,
73954,CH,12,Praz,
73955,CH,25,Feldmeilen,
73956,CH,20,Maggia,
73957,CH,23,Yverdon,
73958,CH,20,Chiasso,
73959,CH,21,Ringgenberg,
73960,CH,17,Goldau,
73961,CH,9,Chur,
73962,CH,7,Nyon,
73963,CH,7,Genève,
73964,CH,1,Reinach,
73965,CH,25,Bubikon,
73966,CH,7,Chambésy,
73967,CH,25,Thalwil,
73968,CH,23,Villars,
73969,CH,11,Weggis,
73970,CH,1,Birmensdorf,
73971,CH,16,Schaffhausen,
73972,CH,1,Brugg,
73973,CH,11,Luzern,
73974,CH,24,Baar,
73975,CH,5,Kerzers,
73976,CH,25,Wetzikon,
73977,CH,7,Soral,
73978,CH,25,Adliswil,
73979,CH,1,Rothrist,
73980,CH,12,Neuchâtel,
73981,CH,25,Hinwil,
73982,CH,23,Montagny,
73983,CH,2,Waldstatt,
73984,CH,1,Rheinfelden,
73985,CH,1,Schönenwerd,
73986,CH,6,La Roche,
73987,CH,1,Altishofen,
73988,CH,5,Berne,
73989,CH,25,Winterthur,
73990,CH,17,Schwyz,
