locId,country,region,city,postcode
77559,CI,,,
77560,CI,82,Abidjan,
77561,CI,58,Yamoussoukro,
77562,CI,80,Daloa,
77563,CI,82,Abijan,
77564,CI,84,Guiglo,
77565,CI,51,Yacolidabouo,
77566,CI,61,Toupah,
77567,CI,61,Abidjan,
77568,CI,76,Bassa,
77569,CI,85,Abengourou,
77570,CI,76,San-pédro,
77571,CI,70,Bonoua,
77572,CI,62,Dabou,
77573,CI,6,Azaguié,
77574,CI,61,Bingerville,
77575,CI,89,Grand-bassam,
77576,CI,89,Aboisso,
77577,CI,61,Grand-lahou,
77578,CI,61,Port-bouët,
77579,CI,61,Treichville,
77580,CI,5,Adzopé,
77581,CI,74,Agboville,
77582,CI,51,Sassandra,
77583,CI,61,Abobo,
77584,CI,61,Anyama,
77585,CI,52,Sinfra,
77586,CI,59,Béttié,
77587,CI,86,Dimbokro,
77588,CI,92,Bondoukou,
77589,CI,76,Tabou,
77590,CI,81,Toumodi,
77591,CI,90,Bouaké,
77592,CI,61,Cocody,
77593,CI,16,Lakota,
77594,CI,64,Bongo,
77595,CI,17,Ouangolodougou,
77596,CI,61,Plateau,
77597,CI,61,Guitry,
77598,CI,61,Marcory,
77599,CI,78,Man,
77600,CI,20,Katiola,
77601,CI,61,Sikensi,
77602,CI,61,Vridi,
77603,CI,63,Adiaké,
77604,CI,64,Alépé,
77605,CI,61,Abata,
77606,CI,61,Abadji Doumé,
77607,CI,61,Port Buet,
77608,CI,39,Bouafla,
77609,CI,83,Zuénoula,
77610,CI,79,Gagnoa,
77611,CI,79,Oumé,
77612,CI,68,France,
77613,CI,90,Tiébissou,
77614,CI,61,Koumassi,
77615,CI,82,Attiecoubé,
77616,CI,81,Yamoussoukro,
77617,CI,85,Béttié,
77618,CI,82,Toupah,
77619,CI,82,Bongo,
77620,CI,87,Ouangolodougou,
77621,CI,82,Adjamé,
77622,CI,82,Koumassi,
77623,CI,82,Anyama,
77624,CI,82,Kassemblé,
77625,CI,82,Dabou,
77626,CI,82,Bonoua,
77627,CI,82,Songon,
77628,CI,82,Grand-bassam,
77629,CI,82,Alépé,
77630,CI,82,Treichville,
77631,CI,82,Bingerville,
77632,CI,82,Marcory,
