locId,country,region,city,postcode
77642,CL,,,
77643,CL,12,Santiago,
77644,CL,1,Viña Del Mar,
77645,CL,1,Valparaíso,
77646,CL,1,San Antonio,
77647,CL,9,Valdivia,
77648,CL,9,Puerto Montt,
77649,CL,12,Las Condes,
77650,CL,11,Talca,
77651,CL,7,Algarrobo,
77652,CL,6,Concepción,
77653,CL,3,Chuquicamata,
77654,CL,12,Providencia,
77655,CL,7,Rinconada,
77656,CL,4,Temuco,
77657,CL,1,Los Andes,
77658,CL,5,El Salvador,
77659,CL,12,Maipú,
77660,CL,6,Talcahuano,
77661,CL,3,Calama,
77662,CL,3,Antofagasta,
77663,CL,7,El Salto,
77664,CL,11,Carrera,
77665,CL,13,Iquique,
77666,CL,6,Bellavista,
77667,CL,11,El Rosal,
77668,CL,7,La Serena,
77669,CL,1,Calera,
77670,CL,1,Quilpué,
77671,CL,6,Chillán,
77672,CL,1,San Felipe,
77673,CL,13,Arica,
77674,CL,12,Melipilla,
77675,CL,7,Coquimbo,
77676,CL,6,Los Ángeles,
77677,CL,1,San Fernando,
77678,CL,5,Copiapó,
77679,CL,10,Punta Arenas,
77680,CL,9,Osorno,
77681,CL,9,Cunco,
77682,CL,4,Angol,
77683,CL,4,Purén,
77684,CL,4,Villarrica,
77685,CL,12,San Bernardo,
77686,CL,8,Manzano,
77687,CL,11,Linares,
77688,CL,5,Diego De Almagro,
77689,CL,12,Peñalolén,
77690,CL,7,Miraflores,
77691,CL,12,Colina,
77692,CL,12,Vitacura,
77693,CL,12,Quilicura,
77694,CL,12,Macul,
77695,CL,1,Concón,
77696,CL,11,Constitución,
77697,CL,7,Cerrillos,
77698,CL,7,Compañia,
77699,CL,1,Miramar,
77700,CL,9,Ancud,
77701,CL,12,Buin,
77702,CL,12,Paine,
77703,CL,8,Rancagua,
77704,CL,12,Lampa,
77705,CL,2,Coihaique,
77706,CL,9,Calbuco,
77707,CL,9,Panguipulli,
77708,CL,9,Las Quemas Del Salto,
77709,CL,1,Villa Alemana,
77710,CL,1,Montt,
77711,CL,1,Cabildo,
77712,CL,9,Puerto Varas,
77713,CL,6,Coronel,
77714,CL,6,Chiguayante,
77715,CL,12,El Monte,
77716,CL,1,Quillota,
77717,CL,8,San Vicente,
77718,CL,6,Lota,
77719,CL,4,Traiguén,
77720,CL,6,Penco,
77721,CL,12,Peñaflor,
77722,CL,6,Laja,
77723,CL,11,Curicó,
77724,CL,11,Parral,
77725,CL,12,Padre Hurtado,
77726,CL,12,Talagante,
77727,CL,6,Yumbel,
77728,CL,6,Arauco,
77729,CL,1,Limache,
77730,CL,1,Llaillay,
77731,CL,11,San Javier,
77732,CL,8,Chimbarongo,
77733,CL,7,Tambillo,
77734,CL,7,Ovalle,
77735,CL,9,Purranque,
77736,CL,9,La Unión,
77737,CL,9,Río Bueno,
77738,CL,9,Santa María Línea,
77739,CL,4,Loncoche,
77740,CL,9,San José De La Mariquina,
77741,CL,7,Las Cardas,
77742,CL,4,Lautaro,
77743,CL,8,Rengo,
77744,CL,11,Molina,
77745,CL,11,Longaví,
77746,CL,12,La Reina,
77747,CL,11,La Leonera,
77748,CL,5,Caldera,
77749,CL,11,Cauquenes,
77750,CL,10,Puerto Natales,
77751,CL,9,Llanquihue,
77752,CL,6,Cabrero,
77753,CL,12,Loica,
77754,CL,4,Collipulli,
77755,CL,8,Graneros,
77756,CL,9,Los Pellines,
77757,CL,12,La Chupalla,
77758,CL,7,Ambillo,
77759,CL,4,Victoria,
77760,CL,6,Tomé,
77761,CL,4,Nueva Imperial,
77762,CL,6,Bulnes,
77763,CL,6,San Carlos,
77764,CL,5,Freirina,
77765,CL,7,Las Barrancas,
77766,CL,5,Vallenar,
77767,CL,9,Purey,
77768,CL,9,Paillaco,
