locId,country,region,city,postcode
78181,CM,,,
78182,CM,11,Yaoundé,
78183,CM,11,Mbalmayo,
78184,CM,5,Douala,
78185,CM,5,Akwa,
78186,CM,5,Edéa,
78187,CM,8,Bafoussam,
78188,CM,9,Moliko,
78189,CM,14,Ébolowa,
78190,CM,7,Bamenda,
78191,CM,8,Dschang,
78192,CM,9,Buea,
78193,CM,12,Kousséri,
78194,CM,14,Kumba,
78195,CM,9,Limbe,
78196,CM,9,Tiko,
78197,CM,11,Soa,
78198,CM,9,Muyuka,
78199,CM,13,Garoua,
78200,CM,9,Kumba,
78201,CM,4,Bertoua,
78202,CM,13,Ringo,
78203,CM,12,Maroua,
78204,CM,8,Foumban,
78205,CM,10,Ngaoundéré,
78206,CM,4,Bélabo,
78207,CM,8,Bandjoun,
78208,CM,5,Nkongsamba,
78209,CM,11,Bafia,
78210,CM,14,Kribi,
78211,CM,8,Djang,
78212,CM,5,Lycée,
78213,CM,4,Batouri,
78214,CM,4,Lomié,
78215,CM,9,Sokulang,
78216,CM,4,Kongo,
78217,CM,5,Yabassi,
78218,CM,14,Djoum,
78219,CM,9,Big Kombo,
78220,CM,11,Ntem,
78221,CM,4,Bata,
78222,CM,4,Mindourou,
78223,CM,5,Doula,
78224,CM,5,Bonanjo,
