locId,country,region,city,postcode
78225,CN,,,
78226,CN,23,Shanghai,
78227,CN,30,Shenzhen,
78228,CN,3,Changshu,
78229,CN,22,Beijing,
78230,CN,10,Shen,
78231,CN,32,Mianyang,
78232,CN,5,Changchun,
78233,CN,30,Wanchai,
78234,CN,4,Suzhou,
78235,CN,9,Cheng,
78236,CN,32,Chengdu,
78237,CN,25,Qingdao,
78238,CN,33,Chongqing,
78239,CN,4,Nanjing,
78240,CN,25,Pudong,
78241,CN,30,Guangzhou,
78242,CN,10,Ting,
78243,CN,22,Peking,
78244,CN,2,Ningbo,
78245,CN,30,Foshan,
78246,CN,30,Dongguan,
78247,CN,25,Jinan,
78248,CN,15,Huan,
78249,CN,30,Xinhui,
78250,CN,18,Zunyi,
78251,CN,2,Hangzhou,
78252,CN,18,Hema,
78253,CN,28,Tianjin,
78254,CN,29,Dong,
78255,CN,30,Haitian,
78256,CN,30,Canton,
78257,CN,19,Shenyang,
78258,CN,9,Chün,
78259,CN,25,Fushan,
78260,CN,29,Kunming,
78261,CN,8,Harbin,
78262,CN,12,Wuhan,
78263,CN,10,Xidian,
78264,CN,19,Dalian,
78265,CN,3,Hubei,
78266,CN,4,Xuzhou,
78267,CN,19,Chaoyang,
78268,CN,9,Zhengzhou,
78269,CN,2,Shaan,
78270,CN,26,Yang,
78271,CN,26,Xian,
78272,CN,4,Zhenjiang,
78273,CN,4,Wuxi,
78274,CN,26,Dianzi,
78275,CN,9,Kaifeng,
78276,CN,7,Hunan,
78277,CN,11,Changsha,
78278,CN,4,Huaiyin,
78279,CN,4,Yangzhou,
78280,CN,25,Yantai,
78281,CN,11,Xinhua,
78282,CN,15,Ning,
78283,CN,4,Changzhou,
78284,CN,16,Guilin,
78285,CN,30,Shantou,
78286,CN,15,Lanzhou,
78287,CN,24,Shenyan,
78288,CN,5,Jilin,
78289,CN,7,Shandong,
78290,CN,19,Anshan,
78291,CN,24,Taiyüan,
78292,CN,7,Shanxi,
78293,CN,9,Huangdao,
78294,CN,22,Haidian,
78295,CN,24,Shijiazhuang,
78296,CN,30,Zhanjiang,
78297,CN,16,Liuzhou,
78298,CN,9,Anyang,
78299,CN,11,Changan,
78300,CN,19,Fuxin,
78301,CN,19,Benxi,
78302,CN,19,Liaoyang,
78303,CN,19,Yingkou,
78304,CN,25,Taian,
78305,CN,19,Jinzhou,
78306,CN,22,Changping,
78307,CN,25,Dongying,
78308,CN,11,Xiangtan,
78309,CN,12,Xiangfan,
78310,CN,3,Nanchang,
78311,CN,7,Fuzhou,
78312,CN,7,Xiamen,
78313,CN,4,Nantong,
78314,CN,25,Qufu,
78315,CN,9,Jiaozuo,
78316,CN,10,Baoding,
78317,CN,18,Xintong,
78318,CN,32,Yaan,
78319,CN,30,Taishan,
78320,CN,9,Xinxiang,
78321,CN,16,Nanning,
78322,CN,26,Xianyang,
78323,CN,31,Haikou,
78324,CN,9,Luoyang,
78325,CN,2,Xiaoshan,
78326,CN,29,Linan,
78327,CN,2,Wenzhou,
78328,CN,2,Jinhua,
78329,CN,2,Jiaxing,
78330,CN,7,Zhangzhou,
78331,CN,25,Laiyang,
78332,CN,2,Huzhou,
78333,CN,4,Zhoushan,
78334,CN,2,Shaoxing,
78335,CN,8,Mishan,
78336,CN,19,Daqing,
78337,CN,31,Danzhou,
78338,CN,24,Changzhi,
78339,CN,1,Wuhu,
78340,CN,1,Hefei,
78341,CN,7,Quanzhou,
78342,CN,13,Ürümqi,
78343,CN,14,Lasa,
78344,CN,24,Ying,
78345,CN,9,Xinyang,
78346,CN,25,Weifang,
78347,CN,11,Zhuzhou,
78348,CN,18,Guiyang,
78349,CN,32,Nanchong,
78350,CN,1,Tongda,
78351,CN,31,Hainan,
78352,CN,25,Liaocheng,
78353,CN,3,Ganzhou,
78354,CN,4,Yancheng,
78355,CN,26,Peiyüan,
78356,CN,30,Maoming,
78357,CN,12,Yichang,
78358,CN,26,Lintong,
78359,CN,8,Anda,
78360,CN,1,Bengbu,
78361,CN,30,Zhuhai,
78362,CN,26,Suite,
78363,CN,24,Hejin,
78364,CN,26,Dongyang,
78365,CN,13,Yiwu,
78366,CN,7,Shekou,
78367,CN,13,Jing,
78368,CN,30,Panyü,
78369,CN,30,Meizhou,
78370,CN,11,Xijiang,
78371,CN,1,Anqing,
78372,CN,7,Putian,
78373,CN,29,Yünnan,
78374,CN,1,Huainan,
78375,CN,24,Linfen,
78376,CN,30,Shaoguan,
78377,CN,24,Henan,
78378,CN,4,Lianyungang,
78379,CN,11,Jishou,
78380,CN,10,Qinhuangdao,
78381,CN,25,Zibo,
78382,CN,1,Fuyang,
78383,CN,11,Changde,
78384,CN,1,Huaibei,
78385,CN,9,Nanyang,
78386,CN,1,Chuzhou,
78387,CN,22,Hebei,
78388,CN,11,Hengyang,
78389,CN,25,Weihai,
78390,CN,4,Zhaoyang,
78391,CN,11,Shengli,
78392,CN,21,Yinchuan,
78393,CN,1,Hanshan,
78394,CN,7,Zhongshan,
78395,CN,30,Zhaoqing,
78396,CN,7,Nanhai,
78397,CN,31,Qionghai,
78398,CN,31,Qiongshan,
78399,CN,32,Wenchang,
78400,CN,26,Jiaying,
78401,CN,30,Jiangmen,
78402,CN,30,Huizhou,
78403,CN,7,Huiyang,
78404,CN,4,Shanguan,
