locId,country,region,city,postcode
85057,CO,,,
85058,CO,33,Bogotá,
85059,CO,18,Atlántico,
85060,CO,21,Miami,
85061,CO,22,San Francisco,
85062,CO,5,Cartagena,
85063,CO,24,Pereira,
85064,CO,33,Valle,
85065,CO,16,Neiva,
85066,CO,33,Tocancipá,
85067,CO,4,Barranquilla,
85068,CO,33,Cundinamarca,
85069,CO,26,Bucaramanga,
85070,CO,7,Risaralda,
85071,CO,29,Cali,
85072,CO,2,Medellín,
85073,CO,2,Antioquia,
85074,CO,9,Bolívar,
85075,CO,29,Yumbo,
85076,CO,2,Itagüí,
85077,CO,29,Buga,
85078,CO,33,Girardot,
85079,CO,7,Manizales,
85080,CO,19,Villavicencio,
85081,CO,12,Popayán,
85082,CO,24,Columbia,
85083,CO,2,Envigado,
85084,CO,20,Pasto,
85085,CO,28,Ibagué,
85086,CO,6,Duitama,
85087,CO,26,Barrancabermeja,
85088,CO,21,Cúcuta,
85089,CO,27,Santander,
85090,CO,18,Estrella,
85091,CO,12,Montería,
85092,CO,29,Tuluá,
85093,CO,18,Santa Marta,
85094,CO,23,Armenia,
85095,CO,33,Chía,
85096,CO,33,Mosquera,
85097,CO,33,Fusagasuga,
85098,CO,21,Pamplona,
85099,CO,27,Sincelejo,
85100,CO,4,Soledad,
85101,CO,33,Facatativá,
85102,CO,32,Santa Martha,
85103,CO,32,Yopal,
85104,CO,26,San Gil,
85105,CO,27,Puerta,
85106,CO,29,Buenaventura,
85107,CO,19,El Dorado,
85108,CO,2,El Poblado,
85109,CO,33,Soacha,
85110,CO,33,Bavaria,
85111,CO,7,Unión,
85112,CO,4,Caja,
85113,CO,5,La Costa,
85114,CO,6,Boyacá,
85115,CO,16,Calle,
85116,CO,20,Alcantarilla,
85117,CO,26,Centro,
85118,CO,8,Florencia,
85119,CO,7,Riosucio,
85120,CO,12,Canalete,
85121,CO,2,Bello,
85122,CO,29,Cartago,
85123,CO,33,Cáqueza,
85124,CO,33,Cota,
85125,CO,23,Quimbaya,
85126,CO,29,Jamundí,
85127,CO,29,El Cerrito,
85128,CO,24,Dos Quebradas,
85129,CO,33,Dosquebradas,
85130,CO,29,Vijes,
85131,CO,24,Santa Rosa De Cabal,
85132,CO,7,Chinchiná,
85133,CO,7,Marmato,
85134,CO,26,Floridablanca,
85135,CO,33,Chocontá,
85136,CO,33,Ubaque,
85137,CO,33,Machetá,
85138,CO,33,Anapoima,
85139,CO,20,Ipiales,
85140,CO,24,Belén De Umbría,
85141,CO,33,Guatavita,
85142,CO,20,Tangua,
85143,CO,7,Supía,
85144,CO,24,Marsella,
85145,CO,33,Guasca,
85146,CO,33,Jerusalén,
85147,CO,33,Quetame,
85148,CO,33,Guayabetal,
85149,CO,12,Cotorra,
85150,CO,2,Rionegro,
85151,CO,2,Guarne,
85152,CO,2,Santa Rosa De Osos,
85153,CO,2,Concepción,
85154,CO,2,Sopetrán,
85155,CO,2,Caldas,
85156,CO,2,Angostura,
85157,CO,2,Belmira,
85158,CO,29,Roldanillo,
85159,CO,29,Zarzal,
85160,CO,29,Guacarí,
85161,CO,29,Dagua,
85162,CO,33,Funza,
85163,CO,33,Choachí,
85164,CO,33,Sesquilé,
85165,CO,33,Guataquí,
85166,CO,28,Roncesvalles,
85167,CO,11,Quibdó,
85168,CO,33,San Francisco,
85169,CO,16,Íquira,
85170,CO,33,Villagómez,
85171,CO,33,Zipaquirá,
85172,CO,33,San Cayetano,
85173,CO,6,Tunja,
85174,CO,33,Sopó,
85175,CO,33,Manta,
85176,CO,33,Nemocón,
85177,CO,18,Puebloviejo,
85178,CO,4,Sabanalarga,
85179,CO,29,Ginebra,
85180,CO,23,Calarcá,
85181,CO,29,Darién,
85182,CO,33,Fómeque,
85183,CO,33,Gachancipá,
85184,CO,28,Santa Isabel,
85185,CO,10,Valledupar,
85186,CO,5,Santa Catalina,
85187,CO,27,San Onofre,
85188,CO,21,Bochalema,
85189,CO,21,Chinácota,
85190,CO,21,Cucutilla,
85191,CO,21,Durania,
85192,CO,28,Melgar,
85193,CO,28,Piedras,
85194,CO,33,Nariño,
85195,CO,33,Tocaima,
85196,CO,28,Espinal,
85197,CO,33,Rafael Reyes,
85198,CO,16,Tesalia,
85199,CO,7,La Dorada,
85200,CO,26,Charta,
85201,CO,26,Vetas,
85202,CO,29,Candelaria,
85203,CO,2,Valparaíso,
85204,CO,7,Filadelfia,
85205,CO,7,Salamina,
85206,CO,29,Palmira,
85207,CO,33,Silvania,
85208,CO,2,Montebello,
85209,CO,19,San Martín,
85210,CO,19,Guamal,
85211,CO,29,Ulloa,
85212,CO,21,Lourdes,
85213,CO,26,California,
85214,CO,33,Carmen De Carupa,
85215,CO,33,Cogua,
85216,CO,7,Anserma,
85217,CO,2,Santa Bárbara,
85218,CO,33,Villapinzón,
85219,CO,33,Gama,
85220,CO,33,El Rosal,
85221,CO,33,Tenjo,
85222,CO,8,El Doncello,
85223,CO,33,Viotá,
85224,CO,33,Tausa,
85225,CO,25,San Andrés,
85226,CO,6,Chiquinquirá,
85227,CO,33,Palacio,
85228,CO,28,Honda,
85229,CO,20,Yacuanquer,
85230,CO,29,Andalucía,
85231,CO,16,La Plata,
85232,CO,26,Barichara,
85233,CO,24,La Virginia,
85234,CO,17,Sabana Del Potrero,
85235,CO,21,Bucarasica,
85236,CO,21,Gramalote,
85237,CO,17,Ríohacha,
