locId,country,region,city,postcode
86023,CR,,,
86024,CR,8,San José,
86025,CR,8,Los Yoses,
86026,CR,4,Heredia,
86027,CR,2,Moravia,
86028,CR,8,San Pedro,
86029,CR,8,Escazú,
86030,CR,8,Desamparados,
86031,CR,8,San Isidro,
86032,CR,4,San Francisco,
86033,CR,2,Cartago,
86034,CR,1,Alajuela,
86035,CR,7,Capital,
86036,CR,3,Liberia,
86037,CR,8,Santiago,
86038,CR,4,San Antonio,
86039,CR,2,Turrialba,
86040,CR,1,Atenas,
86041,CR,2,San Diego,
86042,CR,8,Ipís,
86043,CR,1,Río Segundo,
86044,CR,8,Curridabat,
86045,CR,3,Bagaces,
86046,CR,8,Palmar,
86047,CR,1,Grecia,
86048,CR,1,San Rafael,
86049,CR,7,Quepos,
86050,CR,8,San Marcos De Tarrazú,
86051,CR,2,Pacayas,
86052,CR,8,San Ignacio,
86053,CR,8,Guadalupe,
86054,CR,1,San Ramón,
86055,CR,8,Santa Ana,
86056,CR,8,Colón,
86057,CR,2,La Suiza,
86058,CR,8,San Miguel,
86059,CR,3,Filadelfia,
86060,CR,6,Guápiles,
86061,CR,1,Orotina,
86062,CR,3,Juntas,
86063,CR,1,Zarcero,
86064,CR,7,Miramar,
86065,CR,8,San Antonio,
86066,CR,8,Daniel Flores,
86067,CR,7,Puntarenas,
86068,CR,2,Tres Ríos,
86069,CR,4,San Pablo,
86070,CR,4,San Vicente,
86071,CR,8,San Rafael Abajo,
86072,CR,8,Palmares,
86073,CR,4,Mercedes,
86074,CR,3,Cañas,
86075,CR,4,Santo Domingo,
86076,CR,8,San Rafael,
86077,CR,1,Naranjo,
86078,CR,8,Purral,
86079,CR,7,Coronado,
86080,CR,1,Pavas,
86081,CR,1,Pocosol,
86082,CR,7,Jacó,
86083,CR,8,Alajuelita,
86084,CR,6,Limón,
86085,CR,8,Guachipelín,
86086,CR,8,San Francisco,
86087,CR,8,Aserrí,
86088,CR,3,Monteverde,
86089,CR,7,Palmar,
86090,CR,1,Los Chiles,
86091,CR,3,Tilarán,
86092,CR,3,Solania,
86093,CR,1,Quesada,
86094,CR,8,San Carlos,
86095,CR,1,La Fortuna,
86096,CR,1,Florencia,
86097,CR,1,Upala,
86098,CR,3,Santa Cruz,
86099,CR,4,San Josecito,
86100,CR,1,Cinco Esquinas,
86101,CR,4,San Isidro,
86102,CR,3,Las Juntas,
86103,CR,7,Bocana,
86104,CR,3,Colorado,
86105,CR,3,Sámara,
86106,CR,3,Guastomatal,
86107,CR,3,Quebrada Honda,
86108,CR,2,Paraíso,
86109,CR,6,Batán,
86110,CR,6,Siquirres,
86111,CR,6,Tziola,
86112,CR,6,Matina,
86113,CR,7,Esparta,
86114,CR,7,Chacarita,
86115,CR,3,Nicoya,
86116,CR,3,Nosara,
86117,CR,1,Coco,
86118,CR,8,Pérez,
86119,CR,7,Golfito,
86120,CR,2,Concepción,
86121,CR,7,Puerto Jiménez,
86122,CR,2,San Rafael,
86123,CR,7,Las Mantas,
86124,CR,1,San Juan,
86125,CR,7,Montezuma,
86126,CR,7,Tambor,
86127,CR,7,Santa Lucía,
86128,CR,2,Taras,
86129,CR,6,San Clemente,
86130,CR,6,Barranca,
86131,CR,3,Pilas Blancas,
86132,CR,3,La Cruz,
86133,CR,8,Calle Blancos,
86134,CR,8,San Juan,
86135,CR,1,Palmira,
86136,CR,8,San Martín,
86137,CR,4,La Asunción,
86138,CR,7,Guácimo,
86139,CR,6,Griega,
86140,CR,4,San Joaquín,
86141,CR,6,Vesta,
86142,CR,8,Sabanilla,
86143,CR,3,Tamarindo,
86144,CR,1,San Antonio,
86145,CR,7,Abangares,
86146,CR,1,Pital,
86147,CR,1,San Rafael,
86148,CR,3,Palmira,
86149,CR,4,San Rafael,
86150,CR,4,San Antonio,
86151,CR,1,Coyol,
86152,CR,1,Sarchí,
86153,CR,3,Belén,
86154,CR,8,Granadilla,
86155,CR,2,Orosí,
86156,CR,3,Nandayure,
86157,CR,3,Santa Bárbara,
86158,CR,2,Guadalupe,
86159,CR,6,Guácimo,
86160,CR,6,Cahuita,
86161,CR,7,Corredor,
86162,CR,1,Zapote,
86163,CR,3,Garza,
86164,CR,1,Garabito,
86165,CR,2,Tejar,
86166,CR,8,La Uruca,
86167,CR,8,San Rafael Arriba,
86168,CR,7,El Roble,
86169,CR,3,El Coco,
86170,CR,1,Poás,
86171,CR,3,Carrillo,
86172,CR,3,Coco,
86173,CR,2,Playa Hermosa,
86174,CR,3,Comunidad,
86175,CR,7,Río Claro,
86176,CR,1,Corazón De Jesús,
86177,CR,3,Potrero,
86178,CR,7,Puerto Cortés,
86179,CR,7,Florida,
86180,CR,1,Santa Clara,
86181,CR,7,Neily,
86182,CR,1,San José,
86183,CR,4,Barreal,
86184,CR,8,La Sabana,
86185,CR,1,Los Ángeles,
86186,CR,7,Parrita,
86187,CR,8,Lagunilla,
86188,CR,7,Naranjito,
86189,CR,3,Sardinal,
86190,CR,1,Guayabo,
86191,CR,7,Buenos Aires,
86192,CR,8,San Isidro Del General,
86193,CR,7,Canoas,
86194,CR,7,San Vito,
86195,CR,8,El Rodeo,
86196,CR,7,Santa Elena,
86197,CR,7,Santa Teresa,
86198,CR,7,Sardinal,
86199,CR,8,San Francisco De Dos Ríos,
86200,CR,4,Llorente,
86201,CR,7,Hatillo,
86202,CR,8,San Felipe,
86203,CR,1,Dulce Nombre,
86204,CR,7,Cóbano,
86205,CR,1,San Rafael De Guatuso,
86206,CR,8,San Isidro De El General,
86207,CR,8,Guayabos,
86208,CR,1,Aguas Zarcas,
86209,CR,1,La Garita,
86210,CR,8,Pavas,
86211,CR,7,Esterillos,
86212,CR,6,Jiménez,
86213,CR,8,Barrio Escalante,
86214,CR,8,Uruca,
86215,CR,7,Paquera,
86216,CR,1,Fortuna,
86217,CR,8,Carrillo,
86218,CR,7,Ujarrás,
86219,CR,6,Talamanca,
86220,CR,7,Ballena,
86221,CR,8,Escalante,
86222,CR,3,Huacas,
86223,CR,3,Villarreal,
86224,CR,7,Mal País,
86225,CR,1,Sarchí Norte,
86226,CR,7,Río Frío,
86227,CR,3,Hojancha,
86228,CR,3,Puerto Viejo,
86229,CR,3,Carmona,
86230,CR,4,San José,
86231,CR,8,San Joaquín,
86232,CR,8,San Francisco Dos Rios,
86233,CR,4,Sacramento,
86234,CR,1,Desamparados,
86235,CR,7,La Unión,
86236,CR,1,Palmares,
86237,CR,6,Carmen,
86238,CR,4,Paracito,
86239,CR,3,Arenal,
86240,CR,1,Cataluña,
86241,CR,4,Birrí,
86242,CR,8,San Sebastián,
86243,CR,7,Herradura,
86244,CR,4,La Virgen,
86245,CR,7,Santa Rosa,
86246,CR,8,Mercedes Norte,
86247,CR,1,Canoas,
86248,CR,1,Barranca,
86249,CR,8,Santa María,
86250,CR,6,Liverpool,
86251,CR,8,Carmona,
86252,CR,3,Ocotal,
86253,CR,7,Ojochal,
86254,CR,1,Lourdes,
86255,CR,7,Coto,
86256,CR,7,Coto Brus,
86257,CR,1,San Mateo,
86258,CR,3,Cartagena,
86259,CR,1,La Guácima,
86260,CR,6,Bribri,
86261,CR,3,Palestina,
86262,CR,2,Peres,
86263,CR,7,Agua Buena,
86264,CR,2,Dulce Nombre,
86265,CR,3,San José,
86266,CR,7,Dominical,
86267,CR,1,San Lorenzo,
86268,CR,3,Villa Real,
86269,CR,7,El Alto,
86270,CR,7,Delicias,
86271,CR,7,San Marcos,
86272,CR,2,San Isidro,
86273,CR,7,Puerto Quepos,
86274,CR,7,Roble,
86275,CR,1,Boca De Arenal,
86276,CR,1,Guatuso,
86277,CR,8,Palmichal,
86278,CR,7,Palmar Norte,
86279,CR,6,Lomas,
86280,CR,1,Guácima,
86281,CR,2,Isabel,
86282,CR,4,Santo Tomás,
86283,CR,7,Jicaral,
86284,CR,3,Guardia,
86285,CR,1,Argentina,
86286,CR,6,Atlanta,
86287,CR,2,Ochomogo,
86288,CR,6,Pocora,
86289,CR,1,El Coco,
86290,CR,7,Potrero,
86291,CR,8,Colorado,
86292,CR,1,Zaragoza,
86293,CR,1,Santa Rita,
86294,CR,7,Uvita,
86295,CR,4,Sarapiquí,
86296,CR,3,Lajas,
86297,CR,7,Ríos,
86298,CR,1,San Pedro De Poas,
86299,CR,7,Pueblo Nuevo,
86300,CR,1,Salvador,
86301,CR,1,Bijagua,
86302,CR,3,Moracia,
86303,CR,3,Terciopelo,
86304,CR,7,Naranjo,
86305,CR,4,Asuncion,
86306,CR,4,San José De La Montaña,
86307,CR,8,California,
86308,CR,7,Aranjuez,
86309,CR,1,Boca Arenal,
86310,CR,6,Tortuguero,
86311,CR,7,Caldera,
86312,CR,8,Santa Cecilia,
86313,CR,8,Brasil,
86314,CR,1,Cruz,
86315,CR,8,Barrio Mexico,
86316,CR,7,San Jerónimo,
86317,CR,2,Juan Viñas,
86318,CR,7,Marañonal,
86319,CR,8,Paso Ancho,
86320,CR,1,Tacares,
86321,CR,7,Salina,
86322,CR,3,Sierra,
86323,CR,3,Nuevo Colón,
86324,CR,7,San Gerardo,
86325,CR,3,Hoja Ancha,
86326,CR,8,La California,
86327,CR,6,Manila,
86328,CR,8,Pozos,
86329,CR,1,Libertad,
86330,CR,8,Pavones,
86331,CR,7,Boca,
86332,CR,7,Sabalito,
86333,CR,1,Santa Eulalia,
86334,CR,8,Barrio Sagrada Familia,
86335,CR,1,Carrillos,
86336,CR,3,La Garita,
86337,CR,8,Villa Nueva,
86338,CR,7,Mata Limón,
86339,CR,1,Lindora,
86340,CR,1,Sabana Redonda,
86341,CR,3,La Trinidad,
86342,CR,7,Carrizal,
86343,CR,3,Islita,
86344,CR,8,Rancho Redondo,
86345,CR,1,Barroeta,
86346,CR,2,Cervantes,
86347,CR,8,Providencia,
86348,CR,2,Ojo De Agua,
86349,CR,3,Caño Negro,
86350,CR,1,Delicias Oeste,
86351,CR,7,Montero,
86352,CR,3,Nambí,
86353,CR,1,San Juan Norte,
86354,CR,8,Parrita,
86355,CR,8,Cañón,
86356,CR,8,Ángeles,
86357,CR,8,Piedras Negras,
86358,CR,3,Cascante,
86359,CR,2,San Pablo,
86360,CR,8,Cordel,
86361,CR,1,Turrúcares,
86362,CR,8,Patarrá,
86363,CR,7,Monte Verde,
86364,CR,1,Marina,
86365,CR,4,Barrial,
86366,CR,6,El Molino,
86367,CR,1,Trojas,
86368,CR,1,Balsa,
86369,CR,3,Hacienda Flor,
86370,CR,7,San Luis,
86371,CR,1,Peñas Blancas,
86372,CR,8,Tejar,
86373,CR,6,Bristol,
86374,CR,8,Higuerón,
86375,CR,7,Caracol,
86376,CR,2,Potrero Cerrado,
86377,CR,8,Colima,
86378,CR,1,Ciruelas,
86379,CR,1,La Ceiba,
86380,CR,2,Llano Grande,
86381,CR,8,Concepción,
86382,CR,7,San Geronimo,
86383,CR,1,Maderal,
86384,CR,7,Curacao,
86385,CR,1,Carrizal,
86386,CR,2,San Ramón,
86387,CR,8,Vuelta De Jorco,
86388,CR,2,Torito,
86389,CR,6,Urinama,
86390,CR,7,Lagarto,
86391,CR,3,El Viejo,
86392,CR,7,San Blas,
86393,CR,8,Peralta,
86394,CR,1,Lajas,
86395,CR,1,Jabillos,
86396,CR,1,Aguas Negras,
86397,CR,2,Raicero,
86398,CR,8,San Ramón,
86399,CR,8,Mercedes Sur,
86400,CR,6,Cimarrones,
86401,CR,2,Pascón,
86402,CR,1,Piedades Norte,
86403,CR,3,Moralito,
86404,CR,2,El Guayabo,
86405,CR,7,Cabo Blanco,
86406,CR,7,Las Delicias,
86407,CR,7,Puntarenitas,
86408,CR,1,Sarchí Sur,
86409,CR,8,Desamparaditos,
86410,CR,6,Las Mercedes,
86411,CR,3,Cañafístula,
86412,CR,7,Guaria,
86413,CR,3,Pozo De Agua,
86414,CR,1,Río Cuarto,
86415,CR,4,San Lorenzo,
86416,CR,2,Mata De Plátano,
86417,CR,1,Montaña,
86418,CR,7,Morales,
86419,CR,1,San José Norte,
86420,CR,8,Cima,
86421,CR,1,Porvenir,
86422,CR,6,Río Hondo,
86423,CR,3,Lajón,
86424,CR,3,Tendal,
86425,CR,6,América,
86426,CR,8,Corralar,
86427,CR,4,Tigre,
86428,CR,8,Sagrada Familia,
86429,CR,8,Cristo Rey,
86430,CR,8,Fuentes,
86431,CR,7,San Roque,
86432,CR,8,Santo Tomás,
86433,CR,2,Santa Teresa,
86434,CR,2,Trinidad,
86435,CR,3,Santa Cecilia,
86436,CR,1,Casa Vieja,
86437,CR,8,Badilla,
86438,CR,1,Colonia Palmareña,
86439,CR,1,Poasito,
86440,CR,3,Brasilito,
86441,CR,1,Barranquilla,
86442,CR,2,Banderilla,
86443,CR,3,Catalina,
86444,CR,8,Ceiba Este,
86445,CR,7,Lepanto,
86446,CR,6,Cieneguita,
86447,CR,7,Arancibia,
86448,CR,3,La Palmita,
86449,CR,8,Bajo La Legua,
86450,CR,8,Polca,
86451,CR,3,Pozo Azul,
86452,CR,7,Palmar Sur,
86453,CR,1,Marichal,
86454,CR,1,Santa Gertrudis Sur,
86455,CR,8,Santa Marta,
86456,CR,1,Alfaro,
86457,CR,7,Laurel,
86458,CR,1,La Marina,
86459,CR,8,La Caja,
86460,CR,8,Barrio Claret,
86461,CR,4,Lagunilla,
86462,CR,7,Pascua,
86463,CR,4,Tibás,
86464,CR,4,Barva,
86465,CR,2,El Carmen,
86466,CR,8,El Prado,
86467,CR,4,Bajo De Las Labores,
86468,CR,3,Penca,
86469,CR,2,San Juan,
86470,CR,7,Ciruelitas,
86471,CR,1,Peña,
86472,CR,8,Cristo,
86473,CR,6,Piuta,
86474,CR,4,San Roque,
86475,CR,8,Barrio Méndez,
86476,CR,8,Barrio Hispano,
86477,CR,7,San Buenaventura,
86478,CR,3,Artola,
86479,CR,2,Navarro,
86480,CR,8,Honduras,
86481,CR,1,Hacienda La Albertina,
86482,CR,7,Puerto Gonzáles,
86483,CR,2,Arenilla,
86484,CR,3,Barco Quebrado,
86485,CR,3,Plazuela,
86486,CR,8,San Vicente,
86487,CR,1,Legua,
86488,CR,7,El Carmen,
86489,CR,8,Bolivia,
86490,CR,4,Barba,
86491,CR,1,Guácimo,
86492,CR,1,Coronado,
86493,CR,1,Llano Bonito,
86494,CR,4,Getsemaní,
86495,CR,3,Vergel,
86496,CR,3,Santa Elena,
86497,CR,3,Caimito,
86498,CR,3,Esperanza,
86499,CR,1,Ánimas,
86500,CR,1,El Hoyo,
86501,CR,7,San Lucas,
86502,CR,1,Llano Brenes,
86503,CR,7,Patos,
86504,CR,2,Mata De Guineo,
86505,CR,4,San Miguel,
86506,CR,8,Rivas,
86507,CR,7,Drake,
86508,CR,2,Corralillo,
86509,CR,3,Angeles,
86510,CR,6,Bonilla Abajo,
86511,CR,8,Mozotal,
86512,CR,8,Limón,
86513,CR,1,Quebradas,
86514,CR,4,La Ribera,
86515,CR,4,Concepción,
86516,CR,2,Vara De Roble,
86517,CR,8,Montelimar,
86518,CR,3,Hacienda Pijige,
86519,CR,1,Concepción,
86520,CR,3,Hacienda El Salto,
86521,CR,4,Santa Rosa,
86522,CR,7,La Isla,
86523,CR,8,Llorente,
86524,CR,1,La Granja,
86525,CR,1,El Burío,
86526,CR,7,Tárcoles,
86527,CR,7,Damas,
86528,CR,7,Don Jaime,
86529,CR,1,Jesús María,
86530,CR,6,Roxana,
86531,CR,1,Itiquís,
86532,CR,8,Fátima,
86533,CR,3,Fortuna,
86534,CR,1,Puerto Nuevo,
86535,CR,4,San Antonio De Belen,
86536,CR,8,San Pedro De Montes De Oca,
86537,CR,2,La Unión,
86538,CR,1,Ciudad Quesada,
86539,CR,8,Puriscal,
86540,CR,7,Esparza,
86541,CR,4,Mercedes Norte,
86542,CR,7,Piedras Blancas,
86543,CR,7,Ciudad Cortés,
86544,CR,6,Puerto Limón,
86545,CR,1,Cañuela,
86546,CR,1,Santiago,
86547,CR,3,Mora,
86548,CR,1,Cinchona,
86549,CR,8,Carara,
86550,CR,6,La América,
86551,CR,1,Barrio Jesús,
86552,CR,1,Florida,
86553,CR,1,Chiles,
86554,CR,4,Puerto Viejo,
86555,CR,7,Esterillos Este,
86556,CR,2,La Flor,
86557,CR,7,Juanilama,
86558,CR,8,Turrujal,
86559,CR,2,Cot,
86560,CR,3,Paso Real,
86561,CR,4,San Pedro,
86562,CR,6,Canadá,
86563,CR,6,La Estrella,
86564,CR,1,Venado,
86565,CR,7,San Vicente,
86566,CR,7,Capulín,
86567,CR,2,Flor,
86568,CR,8,Santiago De Puriscal,
86569,CR,7,Hacienda Naranjo,
86570,CR,8,Guayabo,
86571,CR,2,Cipreses,
