locId,country,region,city,postcode
86572,CU,,,
86573,CU,2,Havana,
86574,CU,7,Habana,
86575,CU,5,La Habana,
86576,CU,11,Juventud,
86577,CU,3,Matanzas,
86578,CU,1,Pinar Del Río,
86579,CU,1,Villa,
86580,CU,14,Sancti Spíritus,
86581,CU,8,Cienfuegos,
86582,CU,5,Camagüey,
86583,CU,7,Ciego De Ávila,
86584,CU,13,Tunas,
86585,CU,12,Holguín,
86586,CU,9,Bayamo,
86587,CU,13,Las Tunas,
86588,CU,15,Santiago De Cuba,
86589,CU,16,Santa Clara,
86590,CU,3,Varadero,
86591,CU,3,Empresa,
86592,CU,9,Miramar,
86593,CU,7,Chambas,
86594,CU,2,La Habana,
86595,CU,14,Fomento,
86596,CU,7,Palma,
86597,CU,8,Palmira,
86598,CU,10,Guantánamo,
86599,CU,16,Vueltas,
86600,CU,16,Camajuaní,
86601,CU,14,Trinidad,
86602,CU,1,San Juan Y Martínez,
