locId,country,region,city,postcode
86629,CY,,,
86630,CY,5,Lemesos,
86631,CY,6,Paphos,
86632,CY,4,Nicosia,
86633,CY,5,Limassol,
86634,CY,4,Nisou,
86635,CY,1,Paralimni,
86636,CY,4,Lefkosia,
86637,CY,3,Larnaca,
86638,CY,4,Strovolos,
86639,CY,4,Nikitas,
86640,CY,4,Lefkosa,
86641,CY,3,Larnaka,
86642,CY,6,Páfos,
86643,CY,4,Nikos,
86644,CY,5,Episkopi,
86645,CY,1,Egkomi,
86646,CY,1,Engomi,
86647,CY,1,Agia Napa,
86648,CY,6,Polis,
86649,CY,1,Famagusta,
86650,CY,6,Dora,
86651,CY,1,Agios Nikolaos,
86652,CY,3,Scala,
86653,CY,4,Ikos,
86654,CY,6,Kissonerga,
86655,CY,2,Girne,
86656,CY,5,Doros,
86657,CY,3,Aradippou,
86658,CY,4,Latsia,
86659,CY,4,Oikos,
86660,CY,6,Gundogdu,
86661,CY,4,Dali,
86662,CY,4,Ergates,
86663,CY,4,Lakatamia,
86664,CY,4,Kaimakli,
86665,CY,5,Agios Athanasios,
86666,CY,4,Áyios Dométios,
86667,CY,5,Ayios Athanasios,
86668,CY,5,Káto Polemídia,
86669,CY,1,Avgorou,
86670,CY,4,Tseri,
86671,CY,1,Alasia,
86672,CY,2,Trapeza,
86673,CY,6,Geroskipou,
86674,CY,5,Akrotiri,
86675,CY,6,Terra,
86676,CY,1,Deryneia,
86677,CY,2,Bellapais,
86678,CY,5,Mesa Geitonia,
86679,CY,4,Elia,
86680,CY,4,Latsi,
86681,CY,1,Frenaros,
86682,CY,4,Lazanias,
86683,CY,5,Pissouri,
86684,CY,3,Kiti,
86685,CY,5,Prodromos,
86686,CY,1,Ayios Andronikos,
86687,CY,5,Agros,
86688,CY,3,Moni,
86689,CY,2,Kyrenia,
86690,CY,4,Geri,
86691,CY,3,AsagÄ± Lefkara,
86692,CY,3,Livadia,
86693,CY,5,Pano Polemidia,
86694,CY,5,Ypsonas,
86695,CY,5,Yerovasa,
86696,CY,6,Souskiou,
86697,CY,3,Xylophagou,
86698,CY,6,Arkhimandrita,
86699,CY,4,Lefka,
86700,CY,3,Dhrapia,
86701,CY,3,Dromolaxia,
86702,CY,6,Chlorakas,
86703,CY,1,Gazimagusa,
86704,CY,5,Dhierona,
86705,CY,4,Agios Epifanios,
86706,CY,1,Ayia Napa,
86707,CY,4,Conya,
86708,CY,3,Agio Vavatsinias,
86709,CY,5,Eftagonya,
86710,CY,1,Inonu,
86711,CY,6,Empa,
86712,CY,5,Alehtora,
86713,CY,6,Ceyhan,
86714,CY,5,Melini,
86715,CY,5,Asgata,
86716,CY,4,Morfou,
86717,CY,1,Peristerona,
86718,CY,5,Lofou,
86719,CY,6,Pegeia,
86720,CY,3,Vavatsinia,
86721,CY,6,Marona,
86722,CY,5,Avdimou,
86723,CY,5,Agios Thomas,
86724,CY,6,Finikas,
86725,CY,4,Fterikoudi,
86726,CY,5,Sikopetra,
86727,CY,6,Agios Nikolaos,
86728,CY,4,Kabedes,
86729,CY,4,Aska,
86730,CY,4,Mitsero,
86731,CY,4,Gourri,
86732,CY,4,Kalohorio,
86733,CY,5,Agios Konstantinos,
86734,CY,4,Alithinou,
86735,CY,3,Kalavaso,
86736,CY,4,Zeytinlik,
86737,CY,3,Vavla,
86738,CY,3,Goshi,
86739,CY,5,Limasol,
86740,CY,3,Agia Anna,
86741,CY,1,PÄ±narlÄ±,
86742,CY,5,Zanakia,
86743,CY,3,Ksilofago,
86744,CY,6,AsagÄ± Arhimandrita,
86745,CY,5,Anogyra,
86746,CY,5,Erimi,
86747,CY,3,Ora,
86748,CY,4,AlÄ±cler,
86749,CY,3,Lageia,
86750,CY,1,Ziyamet,
86751,CY,1,Liopetri,
86752,CY,6,Peyia,
86753,CY,4,Aglangia,
86754,CY,4,Pallouriotissa,
86755,CY,4,Gabura,
86756,CY,5,Agro,
86757,CY,4,Güzelyurt,
86758,CY,4,Ksiliatos,
86759,CY,5,Agridhia,
86760,CY,4,Psimolofou,
86761,CY,6,Timi,
86762,CY,4,Farmakas,
86763,CY,3,Pyla,
86764,CY,5,Pano Platres,
86765,CY,3,Parekklisia,
86766,CY,3,Lefkara,
86767,CY,3,Ormidhia,
86768,CY,5,Kyperounda,
86769,CY,4,Dhali,
86770,CY,1,Acheritou,
86771,CY,5,Agios Pavlos,
86772,CY,1,Malounda,
86773,CY,6,Konia,
86774,CY,1,Stroncilo,
86775,CY,5,Yermasoyia,
86776,CY,3,Skarinou,
86777,CY,4,Kato Lakatamia,
86778,CY,6,Agia Varvara,
86779,CY,3,Delicipo,
86780,CY,1,Ayios Nikolaos,
86781,CY,4,Asinou,
86782,CY,4,Akaki,
86783,CY,4,Marki,
86784,CY,3,Pyrgos,
86785,CY,5,Souni,
86786,CY,1,Kouklia,
86787,CY,5,Apesia,
86788,CY,4,Analiontas,
86789,CY,3,Pano Lefkara,
86790,CY,3,Ormidia,
86791,CY,3,Armenochori,
86792,CY,5,Paramytha,
86793,CY,4,Alampra,
86794,CY,4,Agios Dometios,
86795,CY,3,Alethriko,
86796,CY,6,Psathi,
86797,CY,4,Pera,
86798,CY,3,Athienou,
86799,CY,4,Pano Deftera,
86800,CY,6,Tala,
86801,CY,3,Voroklini,
86802,CY,1,Sotira,
86803,CY,5,Paramali,
86804,CY,5,Trachoni,
86805,CY,3,Xylotymbou,
86806,CY,5,Mouttagiaka,
86807,CY,4,Kokkinotrimithia,
86808,CY,4,Lefke,
86809,CY,3,Psematismenos,
86810,CY,5,Korfi,
86811,CY,5,Ayios Pavlos,
86812,CY,5,Monagri,
86813,CY,6,Stavros,
86814,CY,1,Kontea,
86815,CY,6,Argaka,
86816,CY,5,Mandria,
86817,CY,3,Tersefanou,
86818,CY,6,Ayia Varvara,
86819,CY,4,Klirou,
86820,CY,1,Ayia,
86821,CY,5,Polemidia,
86822,CY,5,Vikla,
86823,CY,5,Kolossi,
86824,CY,6,Zacharia,
86825,CY,3,Marína,
86826,CY,3,Mosfiloti,
86827,CY,1,Leivadia,
86828,CY,3,Khirokitia,
86829,CY,4,Deftera,
86830,CY,1,Ammochostos,
86831,CY,6,Malounta,
86832,CY,2,Karava,
86833,CY,1,Perivolia,
86834,CY,3,Kofinou,
86835,CY,4,Agrokipia,
86836,CY,5,Zakaki,
86837,CY,3,Pareklisha,
86838,CY,5,Kouka,
86839,CY,1,Pyrga,
86840,CY,4,Palouriotissa,
86841,CY,6,Anarita,
86842,CY,5,Palodeia,
86843,CY,3,Kalavasos,
86844,CY,3,Mazotos,
86845,CY,1,Kurtulus,
86846,CY,2,Karmi,
86847,CY,4,Margi,
86848,CY,3,Zygi,
86849,CY,4,Kato Deftera,
86850,CY,5,Kyperounta,
86851,CY,3,Kornos,
86852,CY,6,Kathikas,
86853,CY,1,Bafra,
86854,CY,4,Nikitari,
86855,CY,6,Kato Paphos,
86856,CY,6,Mesogi,
86857,CY,1,Akdogan,
86858,CY,6,Lasa,
86859,CY,3,Troulli,
86860,CY,3,Meneou,
86861,CY,4,Astromeritis,
86862,CY,4,Alambra,
86863,CY,1,Aya Napa,
86864,CY,5,Trimiklini,
86865,CY,6,Tsáda,
86866,CY,4,Marmara,
86867,CY,3,Tochni,
86868,CY,1,Lefkonuk,
86869,CY,5,Anoyira,
86870,CY,6,Polemi,
86871,CY,1,Iskele,
86872,CY,3,Troulloi,
86873,CY,3,Boduragac,
86874,CY,3,Choirokoitía,
86875,CY,5,Kalohorio,
86876,CY,4,Kakopetria,
86877,CY,6,Trimithousa,
86878,CY,3,Anaphotia,
86879,CY,4,Engomi,
86880,CY,5,Pano Amiandos,
86881,CY,4,Farmaka,
86882,CY,4,Kellaki,
86883,CY,3,Klavdia,
86884,CY,4,Lythrodontas,
86885,CY,4,Galata,
86886,CY,1,Vadili,
86887,CY,1,Dherinia,
86888,CY,6,Kouklia,
86889,CY,4,Lymbia,
86890,CY,4,Mammari,
86891,CY,4,Pano Koutrafas,
86892,CY,4,AkÄ±ncÄ±lar,
86893,CY,4,Pano Lakatamia,
86894,CY,2,Lapithos,
86895,CY,5,Belendri,
86896,CY,3,Dekelia,
86897,CY,6,Armou,
86898,CY,5,Moutayiaka,
86899,CY,5,Mesayitonia,
86900,CY,6,Anavargos,
86901,CY,4,Deneia,
86902,CY,3,Psevdas,
86903,CY,4,Gasiler,
86904,CY,3,Arçoz,
86905,CY,4,Agyia,
86906,CY,3,Athiænou,
86907,CY,6,Ktima,
86908,CY,6,Nikokleia,
86909,CY,3,Marathovouno,
86910,CY,1,Phrenaros,
86911,CY,5,Gökhan,
86912,CY,6,Tremithousa,
86913,CY,6,Káto Páfos,
86914,CY,5,Pissuri,
86915,CY,3,Maroni,
86916,CY,6,Akarsu,
86917,CY,4,Kampia,
86918,CY,5,Omodos,
86919,CY,4,Ortaköy,
86920,CY,4,Gönyeli,
86921,CY,3,Dekeleia,
86922,CY,5,Akrounda,
86923,CY,1,Achna,
86924,CY,4,Evrychou,
86925,CY,3,Anafotia,
86926,CY,4,Linou,
86927,CY,3,Siá,
86928,CY,6,Amargeti,
86929,CY,3,Agkleisides,
86930,CY,3,Aradhippou,
86931,CY,4,Ayios Dhometios,
86932,CY,6,Prodromi,
86933,CY,6,Giolou,
86934,CY,2,Fota,
86935,CY,5,Finikaria,
86936,CY,5,Pelendri,
86937,CY,4,Petra,
86938,CY,3,Alaminos,
86939,CY,4,Lâkadamya,
86940,CY,5,Ágios Geórgios,
86941,CY,4,Kato Lakatameia,
86942,CY,1,Magosa,
86943,CY,1,Derinia,
