locId,country,region,city,postcode
86944,CZ,,,
86945,CZ,52,Prague,
86946,CZ,78,Brno,
86947,CZ,52,Hostivice,
86948,CZ,84,Prostejov,
86949,CZ,89,⁄stÌ,
86950,CZ,90,Kromeriz,
86951,CZ,52,Praha,
86952,CZ,84,Olomouc,
86953,CZ,89,Zalhostice,
86954,CZ,70,Broumov,
86955,CZ,82,Hradec Kr·lovÈ,
86956,CZ,89,Kadan,
86957,CZ,33,Albrechtice,
86958,CZ,86,Pardubice,
86959,CZ,52,Jesenice,
86960,CZ,87,Plzen,
86961,CZ,83,Liberec,
86962,CZ,86,Svitavy,
86963,CZ,88,Votice,
86964,CZ,85,Ostrava,
86965,CZ,80,Jihlava,
86966,CZ,85,Fr˝dek-mÌstek,
86967,CZ,41,Podebrady,
86968,CZ,88,KolÌn,
86969,CZ,86,Chrudim,
86970,CZ,84,Prerov,
86971,CZ,85,BohumÌn,
86972,CZ,79,PÌsek,
86973,CZ,90,Uhersk˝ Brod,
86974,CZ,85,Havirov,
86975,CZ,90,Uherske Hradiste,
86976,CZ,85,Karvin·,
86977,CZ,79,Ceske Budejovice,
86978,CZ,70,VrchlabÌ,
86979,CZ,86,JablonnÈ Nad OrlicÌ,
86980,CZ,89,Roudnice,
86981,CZ,90,ZlÌn,
86982,CZ,78,HodonÌn,
86983,CZ,89,Teplice,
86984,CZ,85,Frenstat,
86985,CZ,81,Cheb,
86986,CZ,30,Celakovice,
86987,CZ,88,Horovice,
86988,CZ,88,Mlad· Boleslav,
86989,CZ,88,Kladno,
86990,CZ,79,ProtivÌn,
86991,CZ,86,Litomysl,
86992,CZ,52,Pruhonice,
86993,CZ,88,Melnik,
86994,CZ,30,Caslav,
86995,CZ,88,Neratovice,
86996,CZ,87,Holoubkov,
86997,CZ,85,Hranice,
86998,CZ,80,Hlinsko,
86999,CZ,85,Krnov,
87000,CZ,88,Kutn· Hora,
87001,CZ,82,Rychnov Nad Kneznou,
87002,CZ,85,Opava,
87003,CZ,52,Kralupy Nad Vltavou,
87004,CZ,23,Horice,
87005,CZ,87,Kyjov,
87006,CZ,84,Sumperk,
87007,CZ,45,Sezemice,
87008,CZ,61,Lomnice Nad Popelkou,
87009,CZ,52,Odolena Voda,
87010,CZ,87,Nyrany,
87011,CZ,86,Zamberk,
87012,CZ,39,Dobruska,
87013,CZ,79,Budejovice,
87014,CZ,87,Rokycany,
87015,CZ,30,Kourim,
87016,CZ,80,Zdar Nad Sazavou,
87017,CZ,78,Ceska,
87018,CZ,61,Turnov,
87019,CZ,85,Cesky Tesin,
87020,CZ,79,T·bor,
87021,CZ,88,Nymburk,
87022,CZ,86,Ceska Trebova,
87023,CZ,82,Kostelec Nad OrlicÌ,
87024,CZ,82,Solnice,
87025,CZ,86,Policka,
87026,CZ,86,Chocen,
87027,CZ,85,Koprivnice,
87028,CZ,83,Castolovice,
87029,CZ,52,Brand˝s Nad Labem,
87030,CZ,24,Dvur Kralove,
87031,CZ,86,Lanskroun,
87032,CZ,88,Sedlcany,
87033,CZ,90,VsetÌn,
87034,CZ,90,Valasske Mezirici,
87035,CZ,30,S·zava,
87036,CZ,81,Karlovy Vary,
87037,CZ,84,Hradec,
87038,CZ,78,Dukovany,
87039,CZ,80,Trebic,
87040,CZ,87,Pilsen,
87041,CZ,83,Jablonec,
87042,CZ,87,Hr·dek,
87043,CZ,78,Boskovice,
87044,CZ,52,Zizkov,
87045,CZ,83,Ceska Lipa,
87046,CZ,89,Novosedlice,
87047,CZ,78,Hustopece,
87048,CZ,79,Cimelice,
87049,CZ,45,Prelouc,
87050,CZ,89,Chomutov,
87051,CZ,33,Varnsdorf,
87052,CZ,87,Horni Briza,
87053,CZ,82,N·chod,
87054,CZ,78,Vyskov,
87055,CZ,80,Havlickuv Brod,
87056,CZ,82,Jicin,
87057,CZ,80,Moravske Budejovice,
87058,CZ,82,Cerveny Kostelec,
87059,CZ,61,Jilemnice,
87060,CZ,78,Znojmo,
87061,CZ,90,Stare Mesto,
87062,CZ,82,Trutnov,
87063,CZ,84,Uheln·,
87064,CZ,81,Hora,
87065,CZ,79,Strakonice,
87066,CZ,45,Holice,
87067,CZ,88,Lodenice,
87068,CZ,87,Domazlice,
87069,CZ,78,Rajecko,
87070,CZ,90,Dolni Nemci,
87071,CZ,90,Kunovice,
87072,CZ,78,Blansko,
87073,CZ,87,Nova Hut,
87074,CZ,89,Podborany,
87075,CZ,52,Vysocany,
87076,CZ,39,Jaromer,
87077,CZ,79,Pariz,
87078,CZ,45,Hermanuv Mestec,
87079,CZ,87,Folmava,
87080,CZ,39,Zdar,
87081,CZ,88,Benesov,
87082,CZ,52,SmÌchov,
87083,CZ,21,Jiretin Pod Bukovou,
87084,CZ,84,Klasterec,
87085,CZ,45,VysokÈ M˝to,
87086,CZ,90,Nivnice,
87087,CZ,87,Line,
87088,CZ,52,BranÌk,
87089,CZ,45,Recany Nad Labem,
87090,CZ,88,Vlasim,
87091,CZ,79,Milevsko,
87092,CZ,85,Brunt·l,
87093,CZ,85,Svoboda,
87094,CZ,90,VeselÌ Nad Moravou,
87095,CZ,33,Rychnov,
87096,CZ,79,Cesky Krumlov,
87097,CZ,84,JesenÌk,
87098,CZ,88,Bustehrad,
87099,CZ,89,Budyne Nad Ohri,
87100,CZ,81,Nove Mesto,
87101,CZ,78,Breclav,
87102,CZ,52,Jazlovice,
87103,CZ,78,Ivancice,
87104,CZ,89,Lovosice,
87105,CZ,89,Decin,
87106,CZ,88,Velvary,
87107,CZ,88,Vsenory,
87108,CZ,79,Sobeslav,
87109,CZ,84,Kostelec,
87110,CZ,70,Male Svatonovice,
87111,CZ,84,Zabreh,
87112,CZ,85,Fr˝dek,
87113,CZ,80,Velke Mezirici,
87114,CZ,52,Stodulky,
87115,CZ,52,Horni Mecholupy,
87116,CZ,89,Litomerice,
87117,CZ,78,Straznice,
87118,CZ,88,Beroun,
87119,CZ,89,Most,
87120,CZ,79,Jindrichuv Hradec,
87121,CZ,89,TerezÌn,
87122,CZ,90,Slusovice,
87123,CZ,81,Mokr·,
87124,CZ,78,Zdanice,
87125,CZ,78,Rosice,
87126,CZ,52,Roztoky,
87127,CZ,86,Techonin,
87128,CZ,81,Marianske Lazne,
87129,CZ,78,Hˆsting,
87130,CZ,80,Skrivanek,
87131,CZ,85,BÌlovec,
87132,CZ,85,Bolatice,
87133,CZ,87,Rybnice,
87134,CZ,52,Kojetice,
87135,CZ,84,Horni Mostenice,
87136,CZ,88,Krusovice,
87137,CZ,85,Trinec,
87138,CZ,89,Chabarovice,
87139,CZ,52,Barrandov,
87140,CZ,78,Lednice,
87141,CZ,52,Zdiby,
87142,CZ,86,Letohrad,
87143,CZ,81,Hradiste,
87144,CZ,80,Zeletava,
87145,CZ,90,Morkovice,
87146,CZ,30,Zbraslavice,
87147,CZ,90,Holesov,
87148,CZ,87,Plan·,
87149,CZ,81,Nejdek,
87150,CZ,85,Bystrice,
87151,CZ,84,LutÌn,
87152,CZ,52,Prag,
87153,CZ,90,V·penice,
87154,CZ,88,Kraluv Dvur,
87155,CZ,85,VelkÈ Heraltice,
87156,CZ,80,Humpolec,
87157,CZ,81,Sokolov,
87158,CZ,52,Jinonice,
87159,CZ,87,Babylon,
87160,CZ,85,Roznov,
87161,CZ,52,Ricany,
87162,CZ,87,N˝rsko,
87163,CZ,33,Z·sada,
87164,CZ,87,Klatovy,
87165,CZ,80,Pribyslav,
87166,CZ,88,Zebrak,
87167,CZ,79,Veseli Nad Luznici,
87168,CZ,85,Detmarovice,
87169,CZ,52,Bechovice,
87170,CZ,84,Litovel,
87171,CZ,45,Lazne Bohdanec,
87172,CZ,87,Kralovice,
87173,CZ,89,Trmice,
87174,CZ,87,Zbuch,
87175,CZ,84,Postrelmov,
87176,CZ,85,Velk˝,
87177,CZ,84,Unicov,
87178,CZ,88,RakovnÌk,
87179,CZ,78,Krtiny,
87180,CZ,39,Sedlec,
87181,CZ,85,Novy Jicin,
87182,CZ,85,Orlov·,
87183,CZ,78,Kurim,
87184,CZ,87,Ceska Kubice,
87185,CZ,87,Horsovsky Tyn,
87186,CZ,84,Pencin,
87187,CZ,85,Paskov,
87188,CZ,80,Budisov,
87189,CZ,88,Pribram,
87190,CZ,87,T˝nec,
87191,CZ,33,Fr˝dlant,
87192,CZ,87,Prestice,
87193,CZ,87,Stod,
87194,CZ,85,V·vrovice,
87195,CZ,90,Bojkovice,
87196,CZ,52,Horni Pocernice,
87197,CZ,90,Halenkovice,
87198,CZ,89,Chlumec,
87199,CZ,88,Rudn·,
87200,CZ,88,Breznice,
87201,CZ,33,Chrastava,
87202,CZ,81,Nov· Role,
87203,CZ,85,Dobr·,
87204,CZ,88,Bakov Nad Jizerou,
87205,CZ,88,Steti,
87206,CZ,23,Lazne Belohrad,
87207,CZ,88,Jenec,
87208,CZ,89,Dobrin,
87209,CZ,87,Kdyne,
87210,CZ,82,⁄pice,
87211,CZ,89,Velvety,
87212,CZ,78,Pohorelice,
87213,CZ,87,Rozvadov,
87214,CZ,81,Chodov,
87215,CZ,87,Senec,
87216,CZ,78,Blucina,
87217,CZ,81,Kynsperk Nad Ohri,
87218,CZ,39,Hajnice,
87219,CZ,80,Velka Bites,
87220,CZ,81,Luby,
87221,CZ,81,Opatov,
87222,CZ,88,Petriny,
87223,CZ,52,Hostivar,
87224,CZ,52,Holesovice,
87225,CZ,89,Krupka,
87226,CZ,52,Vestec,
87227,CZ,89,Louny,
87228,CZ,88,Slan˝,
87229,CZ,30,Uhlirske Janovice,
87230,CZ,84,Sternberk,
87231,CZ,84,VeselÌ,
87232,CZ,20,Novy Bydzov,
87233,CZ,80,Pelhrimov,
87234,CZ,33,Mnichovo Hradiste,
87235,CZ,30,Cesky Brod,
87236,CZ,79,Prachatice,
87237,CZ,84,Suchdol,
87238,CZ,80,Chotebor,
87239,CZ,52,Zlicin,
87240,CZ,52,Malesice,
87241,CZ,70,HostinnÈ,
87242,CZ,21,Desn·,
87243,CZ,52,Bohnice,
87244,CZ,88,Bela Pod Bezdezem,
87245,CZ,52,Treboradice,
87246,CZ,85,KunÌn,
87247,CZ,78,Troubsko,
87248,CZ,52,Cimice,
87249,CZ,79,Mlada Vozice,
87250,CZ,81,Ostrov,
87251,CZ,81,Kovarska,
87252,CZ,79,Mlyn,
87253,CZ,90,HulÌn,
87254,CZ,88,Zihle,
87255,CZ,33,Cesky Dub,
87256,CZ,52,Dejvice,
87257,CZ,52,Mesice,
87258,CZ,30,Skrivany,
87259,CZ,84,Nezamyslice,
87260,CZ,81,Frantiskovy Lazne,
87261,CZ,84,Kohout,
87262,CZ,90,Otrokovice,
87263,CZ,84,Z·lesÌ,
87264,CZ,30,Zruc Nad Sazavou,
87265,CZ,52,Cenkov,
87266,CZ,90,Jablunka,
87267,CZ,87,Mochov,
87268,CZ,52,Kolovraty,
87269,CZ,52,Kobylisy,
87270,CZ,52,Mal· Strana,
87271,CZ,89,LitvÌnov,
87272,CZ,79,Oparany,
87273,CZ,82,Vamberk,
87274,CZ,90,Bzenec,
87275,CZ,78,Slavkov U Brna,
87276,CZ,90,Tasov,
87277,CZ,78,PÌstovice,
87278,CZ,84,Konice,
87279,CZ,90,Vnorovy,
87280,CZ,78,Rohatec,
87281,CZ,78,Zarosice,
87282,CZ,90,Korycany,
87283,CZ,86,Letovice,
87284,CZ,84,Olesnice,
87285,CZ,78,Oslavany,
