locId,country,region,city,postcode
93342,DE,,,
93343,DE,7,Oelde,
93344,DE,1,Friolzheim,
93345,DE,5,Frankfurt Am Main,
93346,DE,10,Allee,
93347,DE,7,Menden,
93348,DE,1,Karlsruhe,
93349,DE,7,Cologne,
93350,DE,7,Bergkamen,
93351,DE,1,Wiesloch,
93352,DE,1,Freiburg,
93353,DE,5,Rüsselsheim,
93354,DE,7,Nettetal,
93355,DE,16,Berlin,
93356,DE,2,Ismaning,
93357,DE,6,Cuxhaven,
93358,DE,5,Eschborn,
93359,DE,1,Donzdorf,
93360,DE,5,Gießen,
93361,DE,5,Dreieich,
93362,DE,1,Walldorf,
93363,DE,6,Göttingen,
93364,DE,2,Munich,
93365,DE,1,Stuttgart,
93366,DE,7,Willich,
93367,DE,7,Düsseldorf,
93368,DE,7,Essen,
93369,DE,14,Halle,
93370,DE,7,Haan,
93371,DE,2,Neufahrn,
93372,DE,2,Lindau,
93373,DE,4,Hamburg,
93374,DE,2,Freising,
93375,DE,8,Ludwigshafen,
93376,DE,5,Bürstadt,
93377,DE,7,Bielefeld,
93378,DE,7,Dortmund,
93379,DE,1,Ludwigsburg,
93380,DE,2,Arnstorf,
93381,DE,2,Eching,
93382,DE,2,Fürth,
93383,DE,7,Soest,
93384,DE,11,Stahnsdorf,
93385,DE,14,Hessen,
93386,DE,10,Lübeck,
93387,DE,7,Ratingen,
93388,DE,5,Bad Soden,
93389,DE,8,Boppard,
93390,DE,2,Gräfelfing,
93391,DE,6,Burgdorf,
93392,DE,7,Lake,
93393,DE,7,Bochum,
93394,DE,10,Gremmerup,
93395,DE,9,Wadgassen,
93396,DE,6,Schneverdingen,
93397,DE,7,Bergheim,
93398,DE,2,Jettingen,
93399,DE,7,Bonn,
93400,DE,1,Mannheim,
93401,DE,13,Lommatzsch,
93402,DE,5,Dietzenbach,
93403,DE,1,Ludwigschafen,
93404,DE,3,Bremen,
93405,DE,10,Schleswig,
93406,DE,2,Neubiberg,
93407,DE,7,Mülheim,
93408,DE,1,Pforzheim,
93409,DE,1,Baienfurt,
93410,DE,1,Baden,
93411,DE,7,Monheim,
93412,DE,6,Molbergen,
93413,DE,7,Meerbusch,
93414,DE,11,München,
93415,DE,5,Roßdorf,
93416,DE,7,Goch,
93417,DE,7,Hagen,
93418,DE,7,Viersen,
93419,DE,8,Frankenthal,
93420,DE,7,Aachen,
93421,DE,7,Wuppertal,
93422,DE,11,Potsdam,
93423,DE,6,Beverstedt,
93424,DE,1,Heidelberg,
93425,DE,2,Nürnberg,
93426,DE,1,Zell,
93427,DE,2,Pfaffenhofen,
93428,DE,1,Weil Am Rhein,
93429,DE,2,Erding,
93430,DE,11,Golßen,
93431,DE,8,Deidesheim,
93432,DE,7,Lindlar,
93433,DE,7,Steinfurt,
93434,DE,1,Leimen,
93435,DE,1,Isenburg,
93436,DE,7,Bergneustadt,
93437,DE,2,Naila,
93438,DE,1,Ingelfingen,
93439,DE,15,Gera,
93440,DE,7,Wesel,
93441,DE,2,Regensburg,
93442,DE,2,Sachsen,
93443,DE,2,Unterschleißheim,
93444,DE,5,Erbach,
93445,DE,7,Straße,
93446,DE,8,Kaiserslautern,
93447,DE,7,Arnoldsweiler,
93448,DE,2,Kumhausen,
93449,DE,7,Mars,
93450,DE,7,Muenster,
93451,DE,1,Lahr,
93452,DE,2,Bucher,
93453,DE,1,Sindelfingen,
93454,DE,10,Uetersen,
93455,DE,2,Unterhaching,
93456,DE,1,Waldstetten,
93457,DE,6,Oldenburg,
93458,DE,7,Schwerte,
93459,DE,13,Dresden,
93460,DE,7,Hamm,
93461,DE,2,Ingolstadt,
93462,DE,6,Leer,
93463,DE,6,Hanover,
93464,DE,6,Neustadt,
93465,DE,2,Planegg,
93466,DE,13,Glauchau,
93467,DE,14,Wegeleben,
