locId,country,region,city,postcode
133415,DK,,,
133416,DK,5,Gentofte,
133417,DK,6,Copenhagen,
133418,DK,3,Valby,
133419,DK,5,Søborg,
133420,DK,5,Albertslund,
133421,DK,3,Espergærde,
133422,DK,5,Taastrup,
133423,DK,6,Vanløse,
133424,DK,5,Tåstrup,
133425,DK,3,Allerød,
133426,DK,13,Vejle,
133427,DK,5,Hellerup,
133428,DK,1,Aarhus,
133429,DK,1,Hasselager,
133430,DK,15,Viborg,
133431,DK,5,Hedehusene,
133432,DK,5,Nærum,
133433,DK,1,Bryrup,
133434,DK,3,Frederikssund,
133435,DK,5,Ballerup,
133436,DK,9,Alle,
133437,DK,11,Kastrup,
133438,DK,5,Bagsværd,
133439,DK,13,Horsens,
133440,DK,1,Hadsten,
133441,DK,3,Slangerup,
133442,DK,9,Struer,
133443,DK,12,Nykøbing,
133444,DK,7,Hjallerup,
133445,DK,1,Højbjerg,
133446,DK,13,Kolding,
133447,DK,9,Herning,
133448,DK,12,Norre,
133449,DK,5,Herlev,
133450,DK,8,Esbjerg,
133451,DK,1,Århus,
133452,DK,1,Tranbjerg,
133453,DK,4,Tommerup,
133454,DK,7,Frederikshavn,
133455,DK,10,Viby,
133456,DK,11,Højer,
133457,DK,7,Hjørring,
133458,DK,9,Ikast,
133459,DK,11,Tinglev,
133460,DK,9,Hemmet,
133461,DK,9,Ulfborg,
133462,DK,4,Odense,
133463,DK,10,Roskilde,
133464,DK,1,Brabrand,
133465,DK,5,Holte,
133466,DK,12,Næstved,
133467,DK,1,Beder,
133468,DK,3,Fredensborg,
133469,DK,5,Virum,
133470,DK,12,Nakskov,
133471,DK,11,Aller,
133472,DK,14,Høng,
133473,DK,11,Sønderborg,
133474,DK,8,Billund,
133475,DK,5,Brøndby Strand,
133476,DK,3,Stenløse,
133477,DK,9,Skjern,
133478,DK,4,Svendborg,
133479,DK,7,Nibe,
133480,DK,14,Frederiksberg,
133481,DK,1,Risskov,
133482,DK,11,Aabenraa,
133483,DK,1,Silkeborg,
133484,DK,14,Slagelse,
133485,DK,7,Brovst,
133486,DK,9,Tarm,
133487,DK,9,Ringkøbing,
133488,DK,5,Ishøj,
133489,DK,1,Skanderborg,
133490,DK,5,Hvidovre,
133491,DK,3,Helsinge,
133492,DK,7,Taars,
133493,DK,1,Randers,
133494,DK,1,Grenaa,
133495,DK,15,Roslev,
133496,DK,1,Mariager,
133497,DK,13,Tørring,
133498,DK,7,Hobro,
133499,DK,12,Sakskøbing,
133500,DK,11,Haderslev,
133501,DK,4,Brenderup,
133502,DK,14,Skælskør,
133503,DK,12,Rødby,
133504,DK,9,Lemvig,
133505,DK,7,Lyngby,
133506,DK,3,Birkerød,
133507,DK,4,Ferritslev,
133508,DK,13,Jelling,
133509,DK,1,Agri,
133510,DK,14,Haslev,
133511,DK,7,Sæby,
133512,DK,11,Toftlund,
133513,DK,9,Holstebro,
133514,DK,5,Glostrup,
133515,DK,7,Kongerslev,
133516,DK,3,Farum,
133517,DK,5,Dragør,
133518,DK,7,Godthaab,
133519,DK,15,Snedsted,
133520,DK,10,Køge,
133521,DK,3,Helsingør,
133522,DK,11,Løgumkloster,
133523,DK,5,Værløse,
133524,DK,9,Vildbjerg,
133525,DK,11,Nordborg,
133526,DK,3,Frederiksværk,
133527,DK,4,Nyborg,
133528,DK,12,Højreby,
133529,DK,15,Skive,
133530,DK,15,Højslev,
133531,DK,7,Taarup,
133532,DK,15,Bjerringbro,
133533,DK,1,Aabyhöj,
133534,DK,14,Holbæk,
133535,DK,4,Aarup,
133536,DK,1,Odder,
133537,DK,12,Fakse,
133538,DK,8,Ølgod,
133539,DK,15,Centrum,
133540,DK,13,Fredericia,
133541,DK,11,Christiansfeld,
133542,DK,7,Skagen,
133543,DK,4,Middelfart,
133544,DK,11,Bodum,
133545,DK,10,Greve Strand,
133546,DK,3,Kvistgaard,
133547,DK,1,Laasby,
133548,DK,5,Charlottenlund,
133549,DK,5,Rødovre,
133550,DK,8,Varde,
133551,DK,7,Pandrup,
