locId,country,region,city,postcode
138352,DM,,,
138353,DM,4,Roseau,
138354,DM,10,Mahaut,
138355,DM,6,Barroui,
138356,DM,3,Castle Bruce,
138357,DM,9,La Plaine,
138358,DM,5,Portsmouth,
138359,DM,11,Dublanc,
138360,DM,3,Rosalie,
138361,DM,7,Pointe Michel,
138362,DM,2,Woodford Hill,
138363,DM,4,Wall House,
138364,DM,4,Loubiere,
138365,DM,9,Berekua,
138366,DM,2,Wesley,
138367,DM,4,Trafalgar,
138368,DM,4,Bellevue Chopin,
138369,DM,4,Giraudel,
138370,DM,11,Coulihaut,
138371,DM,6,Saint Joseph,
138372,DM,9,Délices,
138373,DM,6,Méro,
138374,DM,2,Bense,
138375,DM,2,Marigot,
138376,DM,2,Vieille Case,
138377,DM,3,Grand Fond,
138378,DM,2,Thibaud,
138379,DM,9,Pichelin,
138380,DM,2,Calibishie,
138381,DM,9,Petite Savanne,
138382,DM,4,New Town,
138383,DM,9,Grand Bay,
138384,DM,4,Morne Prosper,
138385,DM,2,Paix Bouche,
138386,DM,4,Goodwill,
138387,DM,6,Salisbury,
138388,DM,11,Bioche,
