locId,country,region,city,postcode
138389,DO,,,
138390,DO,5,Santo Domingo,
138391,DO,18,Puerto Plata,
138392,DO,25,Santiago,
138393,DO,14,Puerto,
138394,DO,5,Los Prados,
138395,DO,12,La Romana,
138396,DO,28,Dominicana,
138397,DO,30,La Vega,
138398,DO,24,Quisqueya,
138399,DO,33,San Juan,
138400,DO,29,Hato Mayor,
138401,DO,24,San Pedro De Macorís,
138402,DO,31,Bonao,
138403,DO,6,San Francisco De Macorís,
138404,DO,21,Fantino,
138405,DO,21,Cotuí,
138406,DO,33,San Cristóbal,
138407,DO,5,La Golondrina,
138408,DO,10,Bávaro,
138409,DO,1,Azua,
138410,DO,10,Higüey,
138411,DO,33,Bajos De Haina,
138412,DO,19,Tenares,
138413,DO,18,Sosúa,
138414,DO,14,Nagua,
138415,DO,30,Jarabacoa,
138416,DO,19,Salcedo,
138417,DO,8,Moca,
138418,DO,30,Constanza,
138419,DO,25,Tamboril,
138420,DO,25,Villa Bisonó,
138421,DO,5,Boca Chica,
138422,DO,24,Villas Del Mar,
138423,DO,3,Barahona,
138424,DO,18,Cabarete,
138425,DO,20,Las Terrenas,
138426,DO,17,Baní,
138427,DO,27,Mao,
138428,DO,23,San Juan De La Maguana,
138429,DO,33,Villa Altagracia,
138430,DO,25,San José,
138431,DO,5,Villa Mella,
138432,DO,5,Duarte,
138433,DO,32,Zapote,
138434,DO,5,Caballona,
138435,DO,18,Luperón,
138436,DO,17,San José De Ocoa,
138437,DO,32,Bayaguana,
138438,DO,33,San Francisco,
138439,DO,24,Juan Dolio,
138440,DO,33,Pedro Brand,
138441,DO,20,Sánchez,
138442,DO,20,Samaná,
138443,DO,14,Cabrera,
138444,DO,33,Fundación,
138445,DO,33,La Esperilla,
138446,DO,5,Andrés,
138447,DO,32,El Valle,
138448,DO,17,Peravia,
138449,DO,32,La Altagracia,
138450,DO,33,San Isidro,
138451,DO,5,Haina,
138452,DO,4,Dajabón,
138453,DO,21,Romana,
138454,DO,5,Villa Duarte,
138455,DO,25,Arroyo Hondo,
138456,DO,25,Licey Al Medio,
138457,DO,32,Los Frailes,
138458,DO,32,Consuelo,
138459,DO,20,Río San Juan,
138460,DO,25,Marilópez,
138461,DO,5,Herrera,
138462,DO,5,La Agustina,
138463,DO,27,Cibao,
138464,DO,5,Sabana Perdida,
138465,DO,5,Los Alcarrizos,
138466,DO,23,Punta Caña,
138467,DO,23,San Pedro,
138468,DO,5,Los Minas,
138469,DO,33,Madre Vieja,
138470,DO,29,Almirante,
138471,DO,25,La Caleta,
138472,DO,25,Villa González,
138473,DO,28,El Seibo,
138474,DO,10,Punta Cana,
138475,DO,5,Hainamosa,
138476,DO,29,Sabana De La Mar,
138477,DO,32,Sabana,
138478,DO,5,Cristo Rey,
138479,DO,5,Costa Verde,
138480,DO,5,Guaricano,
138481,DO,8,Gaspar Hernández,
138482,DO,27,Esperanza,
138483,DO,5,Villa Consuelo,
138484,DO,20,Las Galeras,
138485,DO,5,Los Tres Brazos,
138486,DO,5,Punta,
138487,DO,28,Dominica,
138488,DO,27,Bejucal,
138489,DO,33,Cambita,
138490,DO,33,Esperilla,
138491,DO,25,Navarrete,
138492,DO,26,Monción,
138493,DO,6,Hostos,
138494,DO,32,Mirador,
138495,DO,25,Jánico,
138496,DO,18,Sabaneta De Yásica,
138497,DO,5,La Fé,
138498,DO,5,San Felipe,
138499,DO,25,Bella Vista,
138500,DO,30,Jima Arriba,
138501,DO,27,Laguna Salada,
138502,DO,33,Los Mameyes,
138503,DO,25,Gurabo,
138504,DO,5,La Paz,
138505,DO,32,Monte Plata,
138506,DO,32,Los Coquitos,
138507,DO,33,Mandinga,
138508,DO,25,Juncalito,
138509,DO,32,Serrallés,
138510,DO,33,Piedra Blanca,
138511,DO,6,Villa Riva,
138512,DO,17,Cristóbal,
138513,DO,30,Añil,
138514,DO,19,Villa Tapia,
138515,DO,5,San Carlos,
138516,DO,6,Pimentel,
138517,DO,24,San Antón,
138518,DO,21,Saballo,
138519,DO,25,San José De Las Matas,
138520,DO,28,Haiti,
138521,DO,18,Maimón,
138522,DO,8,Jábaba,
138523,DO,33,El Puerto,
138524,DO,24,Los Conucos,
138525,DO,18,Los Jobos,
138526,DO,32,Pepe Pérez,
138527,DO,30,Caimito,
138528,DO,1,Mordán,
138529,DO,17,Monte Llano,
138530,DO,30,Las Yerbas,
