locId,country,region,city,postcode
138690,DZ,,,
138691,DZ,1,Alger,
138692,DZ,1,Algiers,
138693,DZ,25,Laghouat,
138694,DZ,14,Tizi Ouzou,
138695,DZ,41,Chlef,
138696,DZ,20,Blida,
138697,DZ,9,Oran,
138698,DZ,15,Tlemcen,
138699,DZ,26,Mascara,
138700,DZ,10,Saïda,
138701,DZ,51,Relizane,
138702,DZ,34,Adrar,
138703,DZ,54,Tindouf,
138704,DZ,4,Constantine,
138705,DZ,31,Annaba,
138706,DZ,3,Batna,
138707,DZ,18,Bejaïa,
138708,DZ,4,Skikda,
138709,DZ,50,Ouargla,
138710,DZ,6,Médéa,
138711,DZ,22,Djelfa,
138712,DZ,55,Tipaza,
138713,DZ,38,Béchar,
138714,DZ,1,Cheraga,
138715,DZ,12,Sétif,
138716,DZ,50,Ghardaïa,
138717,DZ,38,El Beïda,
138718,DZ,19,Biskra,
138719,DZ,7,Mostaganem,
138720,DZ,13,Tiaret,
138721,DZ,21,Bouira,
138722,DZ,1,El Biar,
138723,DZ,41,Malakoff,
138724,DZ,26,Mohammadia,
138725,DZ,18,Feraoun,
138726,DZ,13,Victor Hugo,
138727,DZ,12,Mechta Tafouda,
138728,DZ,19,Chetma,
138729,DZ,9,Wahran,
138730,DZ,30,Aïne Trid,
138731,DZ,33,Tébessa,
138732,DZ,20,Boufarik,
138733,DZ,1,El Harrach,
138734,DZ,55,Les Quatre Chemins,
138735,DZ,48,Mila,
138736,DZ,14,Ouled Tessala,
138737,DZ,12,Mechta Marjet Ben Charia,
138738,DZ,24,Kaous,
138739,DZ,12,Mechtat El Bebouche,
138740,DZ,3,Mechta Ben Daas,
138741,DZ,3,Laveran,
138742,DZ,4,Mechta El Hadjra,
138743,DZ,12,Mechta Lakhberda,
138744,DZ,12,Zemaïlia,
138745,DZ,37,Mechtat Bou Rougaa,
138746,DZ,13,Charrata,
138747,DZ,12,Mechta Smara,
138748,DZ,3,Tagoust,
138749,DZ,41,Ben Hammam,
138750,DZ,51,Oued Rhiou,
138751,DZ,35,Khemis Miliana,
138752,DZ,26,Douar Sidi 'abboû,
138753,DZ,37,Souk Ahras,
138754,DZ,37,Mechtat El Msadia,
138755,DZ,55,Fouka,
138756,DZ,1,Birkhadem,
138757,DZ,12,El Eulma,
138758,DZ,4,Redjas,
138759,DZ,55,Kolea,
138760,DZ,30,Sidi Bel Abbès,
138761,DZ,24,Jijel,
138762,DZ,37,Guelma,
138763,DZ,3,Aïn Touta,
138764,DZ,1,Dar El Beïda,
138765,DZ,51,Kalaa Des Beni Rached,
138766,DZ,41,Ténès,
138767,DZ,1,Kouba,
138768,DZ,9,Arzew,
138769,DZ,1,Rouiba,
138770,DZ,1,Baba Hassen,
138771,DZ,40,Reghaïa,
138772,DZ,35,Oulad Melloûk,
138773,DZ,15,Maghnia,
138774,DZ,26,Tighennif,
138775,DZ,36,Messaoud,
138776,DZ,1,Husseïn Dey,
138777,DZ,3,N'gaous,
138778,DZ,47,Khenchela,
138779,DZ,37,Cheria,
138780,DZ,18,Aokas,
138781,DZ,15,Khemis,
138782,DZ,40,Thenia,
138783,DZ,51,El Matmar,
138784,DZ,14,Tigzirt,
138785,DZ,55,Mouzaïa,
138786,DZ,21,Sidi Aïssa,
138787,DZ,15,Hennaya,
138788,DZ,29,Meskiana,
138789,DZ,18,Akbou,
138790,DZ,35,Miliana,
138791,DZ,22,Hassi Bahbah,
138792,DZ,3,Merouana,
138793,DZ,1,Baraki,
138794,DZ,20,Khemis El Khechna,
138795,DZ,40,Dellys,
138796,DZ,27,El Oued,
138797,DZ,1,Birtouta,
138798,DZ,13,Rahouia,
138799,DZ,12,Bougaa,
