locId,country,region,city,postcode
139326,EC,,,
139327,EC,17,Pichincha,
139328,EC,1,Progreso,
139329,EC,18,Quito,
139330,EC,10,Guayas,
139331,EC,10,Guayaquil,
139332,EC,19,Ambato,
139333,EC,18,Amaguaña,
139334,EC,18,Santo Domingo,
139335,EC,2,Cuenca,
139336,EC,14,Portoviejo,
139337,EC,12,Loja,
139338,EC,18,Sangolquí,
139339,EC,14,Manta,
139340,EC,3,Guaranda,
139341,EC,10,Salinas,
139342,EC,11,Galápagos,
139343,EC,8,Machala,
139344,EC,4,Azoguez,
139345,EC,11,Ibarra,
139346,EC,2,Compañía,
139347,EC,18,Machachi,
139348,EC,13,Vinces,
139349,EC,7,Saquisilí,
139350,EC,13,Quevedo,
139351,EC,15,Macas,
139352,EC,4,Azogues,
139353,EC,10,Milagro,
139354,EC,10,Yaguachi,
139355,EC,10,Daule,
139356,EC,10,Balao,
139357,EC,2,Tocadel,
139358,EC,2,Tambo Siberia,
139359,EC,2,Hacienda Soldados,
139360,EC,7,Latacunga,
139361,EC,11,Cotacachi,
139362,EC,10,Samborondón,
139363,EC,2,Hacienda Culebrillas,
139364,EC,7,San Miguel,
139365,EC,2,Ganadel,
139366,EC,2,Llulluchas,
139367,EC,6,Riobamba,
139368,EC,19,Baños,
139369,EC,9,Esmeraldas,
139370,EC,7,La Maná,
139371,EC,19,Pelileo,
139372,EC,11,Otavalo,
139373,EC,4,Gulac,
139374,EC,4,La Troncal,
139375,EC,8,Pasaje,
139376,EC,10,Cáceres,
139377,EC,10,Palestina,
139378,EC,14,Tosagua,
139379,EC,8,Durán,
139380,EC,13,Babahoyo,
139381,EC,10,Pedro Carbo,
139382,EC,10,Naranjal,
139383,EC,14,Paján,
139384,EC,10,La Libertad,
139385,EC,1,Puerto Baquerizo Moreno,
139386,EC,10,Santa Elena,
139387,EC,14,Bahía De Caráquez,
139388,EC,10,Hacienda Santa Rita,
139389,EC,5,San Gabriel,
139390,EC,10,Hacienda Los Cantares,
139391,EC,13,Palenque,
139392,EC,7,Pujilí,
139393,EC,10,El Triunfo,
139394,EC,13,Montalvo,
139395,EC,9,Rosa Zárate,
139396,EC,6,Guano,
139397,EC,23,Tena,
139398,EC,1,San Cristóbal,
139399,EC,14,Chone,
139400,EC,19,Píllaro,
139401,EC,10,Colimes,
139402,EC,14,Rocafuerte,
139403,EC,14,Sucre,
139404,EC,18,Cayambe,
139405,EC,10,El Carmen,
139406,EC,14,Junín,
139407,EC,10,Lomas De Sargentillo,
139408,EC,22,Nueva Loja,
139409,EC,1,Santa Cruz,
139410,EC,2,Paute,
139411,EC,17,Puyo,
139412,EC,9,Valdez,
139413,EC,8,Huaquillas,
139414,EC,8,Piñas,
139415,EC,18,Cumbayá,
139416,EC,13,Buena Fe,
139417,EC,10,Durán,
139418,EC,10,Naranjito,
139419,EC,18,Moreno,
139420,EC,23,Archidona,
