locId,country,region,city,postcode
139603,EE,,,
139604,EE,1,Tallinn,
139605,EE,18,Tartu,
139606,EE,4,Imavere,
139607,EE,3,Narva,
139608,EE,14,Kuressaare,
139609,EE,7,Kiriku,
139610,EE,8,Rakvere,
139611,EE,3,Jõhvi,
139612,EE,7,Haapsalu,
139613,EE,12,Põlva,
139614,EE,21,Võru,
139615,EE,5,Jõgeva,
139616,EE,3,Kohtla-järve,
139617,EE,3,Kohtla,
139618,EE,11,Sääre,
139619,EE,2,Harju,
139620,EE,4,Paide,
139621,EE,1,Keila,
139622,EE,19,Valga,
139623,EE,1,Pirita,
139624,EE,1,Loksa,
139625,EE,20,Viljandi,
139626,EE,7,Lihula,
139627,EE,19,Tõrva,
139628,EE,11,Pärnu,
139629,EE,1,Reval,
139630,EE,1,Tallinna,
139631,EE,18,Elva,
139632,EE,18,Laane,
139633,EE,21,Viru,
139634,EE,8,Haljala,
139635,EE,8,Laekvere,
139636,EE,8,Kadrina,
139637,EE,2,Kärdla,
139638,EE,8,Kunda,
139639,EE,8,Rakke,
139640,EE,8,Tamsalu,
139641,EE,11,Pikavere,
139642,EE,21,Parksepa,
139643,EE,18,Ihaste,
139644,EE,13,Rapla,
139645,EE,11,Tõlli,
139646,EE,4,Särevere,
139647,EE,4,Albu,
139648,EE,4,Koeru,
139649,EE,11,Mihkli,
139650,EE,2,Käina,
139651,EE,1,Kiisa,
139652,EE,21,Anne,
139653,EE,1,Tondi,
139654,EE,1,Saku,
139655,EE,1,Turba,
139656,EE,11,Mere,
139657,EE,7,Kadaka,
139658,EE,1,Mustamäe,
139659,EE,21,Vastseliina,
139660,EE,1,Haabneeme,
139661,EE,21,Antsla,
139662,EE,14,Karja,
139663,EE,1,Laagri,
139664,EE,1,Maardu,
139665,EE,19,Puka,
139666,EE,19,Otepää,
139667,EE,1,Paldiski,
139668,EE,1,Jüri,
139669,EE,20,Suure-jaani,
139670,EE,4,Jäneda,
139671,EE,1,Harku,
139672,EE,1,Saue,
139673,EE,5,Tabivere,
139674,EE,8,Sõmeru,
139675,EE,7,Hanila,
139676,EE,12,Mooste,
139677,EE,3,Vasavere,
139678,EE,18,Tähtvere,
139679,EE,1,Viimsi,
139680,EE,1,Kuusalu,
139681,EE,13,Teenuse,
139682,EE,1,Saha,
139683,EE,13,Kehtna,
139684,EE,11,Mädara,
139685,EE,13,Lille,
139686,EE,3,Sillamäe,
139687,EE,1,Tallin,
139688,EE,11,Kopli,
139689,EE,1,Õismäe,
139690,EE,7,Kalda,
139691,EE,14,Kapi,
139692,EE,19,Hummuli,
139693,EE,7,Veski,
139694,EE,12,Värska,
139695,EE,8,Väike-maarja,
139696,EE,18,Ülenurme,
139697,EE,13,Käru,
139698,EE,11,Vihtra,
139699,EE,1,Aruküla,
139700,EE,13,Tamme,
139701,EE,7,Metsa,
139702,EE,1,Kotka,
139703,EE,11,Kõdu,
139704,EE,3,Koogu,
139705,EE,5,Endla,
139706,EE,11,Vändra,
139707,EE,1,Pikaliiva,
139708,EE,1,Tabasalu,
139709,EE,8,Pariisi,
139710,EE,13,Saksa,
139711,EE,5,Nurga,
139712,EE,7,Kivi,
139713,EE,11,Nõmme,
139714,EE,2,Emmaste,
139715,EE,11,Rädi,
139716,EE,7,Rannamõisa,
139717,EE,12,Koidula,
139718,EE,20,Uusna,
139719,EE,20,Viiratsi,
139720,EE,11,Vabriku,
139721,EE,11,Lutsu,
139722,EE,7,Nurme,
139723,EE,13,Manni,
139724,EE,7,Liivi,
139725,EE,7,Nigula,
139726,EE,14,Kure,
139727,EE,5,Torma,
139728,EE,14,Tornimäe,
139729,EE,1,Neeme,
139730,EE,1,Männiku,
139731,EE,18,Roiu,
139732,EE,18,Tõrvandi,
139733,EE,18,Uhti,
