locId,country,region,city,postcode
140242,EG,,,
140243,EG,11,Cairo,
140244,EG,6,Alexandria,
140245,EG,3,Ramsis,
140246,EG,3,Nasr,
140247,EG,11,Almaza,
140248,EG,11,Badr,
140249,EG,4,Fayoum,
140250,EG,24,Balyana,
140251,EG,3,Damanhour,
140252,EG,9,Menouf,
140253,EG,1,Mansoura,
140254,EG,8,Gîza,
140255,EG,5,Tanta,
140256,EG,11,Zamalek,
140257,EG,2,Hurghada,
140258,EG,14,Kafr El Sheikh,
140259,EG,1,Damas,
140260,EG,21,Kafr El-sheikh,
140261,EG,5,Kafr El-zayat,
140262,EG,4,Fayyoum,
140263,EG,14,Zagazig,
140264,EG,10,Minia,
140265,EG,11,Misr,
140266,EG,12,Banha,
140267,EG,23,Qena,
140268,EG,7,Ismailia,
140269,EG,15,Suez,
140270,EG,15,Suës,
140271,EG,5,Ziftá,
140272,EG,14,Belbeis,
140273,EG,14,Hehia,
140274,EG,8,El Haram,
140275,EG,11,Helwan,
140276,EG,17,Assiut,
140277,EG,22,Sohag,
140278,EG,20,Damietta,
140279,EG,16,Aswan,
140280,EG,19,Port Said,
140281,EG,23,Luxor,
140282,EG,8,Gizeh,
140283,EG,12,Benha,
140284,EG,1,Talkha,
140285,EG,12,Qalyub,
140286,EG,11,`arab El-hiweitat,
140287,EG,24,Tahta,
140288,EG,10,Beni Mazâr,
140289,EG,5,Balkim,
140290,EG,14,Hihya,
140291,EG,1,Dekernes,
140292,EG,11,Nasr City,
140293,EG,6,Abu Qir,
140294,EG,6,Al Mandarah,
140295,EG,14,10th Of Ramadan City,
140296,EG,21,Fowa,
140297,EG,1,Aja,
140298,EG,11,Heliopolis,
140299,EG,1,Diyarb Najm,
140300,EG,18,Beni Suef,
140301,EG,3,`ezbet `ali `abd El-magid Shabât,
140302,EG,5,El Mahalla El Kubra,
140303,EG,17,Abnub,
140304,EG,4,El Faiyûm,
140305,EG,21,Dessouk,
140306,EG,3,`ezbet Haggag,
140307,EG,5,Kafr Nawâi,
140308,EG,9,Tala,
140309,EG,3,Sadat City,
140310,EG,8,Al Hajir,
140311,EG,8,Al Qata,
140312,EG,17,Asyut,
140313,EG,14,Kafr Al `awadi,
140314,EG,2,El Badâri,
140315,EG,8,Madinat Sittah Uktubar,
140316,EG,11,Al Ma`sarah Al Mahattah,
140317,EG,14,Kafr Saqr,
140318,EG,12,Khanka,
140319,EG,3,El-qarawi,
140320,EG,11,Shubra,
140321,EG,5,Burayj,
140322,EG,14,Kafr Aulad `atiya,
140323,EG,1,Kafr Mit Al `izz,
140324,EG,3,Qaryat Al Islah,
140325,EG,17,Al `izziyah,
140326,EG,3,`ezbet Safar,
140327,EG,14,Bishat Qa'id,
140328,EG,14,`izbat Al Islah,
140329,EG,14,`izbat Abu Fayyad,
140330,EG,3,`ezbet Michel Hamawi,
140331,EG,14,`izbat Taymur,
140332,EG,3,`ezbet `abd El-`aziz Bey Makhyûn,
140333,EG,11,Kafr Ash Shurafa' Ash Sharqi,
140334,EG,17,Abu Tîg,
140335,EG,1,Mit Ghamr,
140336,EG,11,Garden City,
140337,EG,11,Imbâba,
140338,EG,10,Minya,
140339,EG,8,Mît Riheina,
140340,EG,27,Rafah,
140341,EG,1,Bilqâs,
140342,EG,11,Shoubra,
140343,EG,14,Fakous,
140344,EG,10,El Minia,
140345,EG,3,Damanhûr,
140346,EG,9,Shanawan,
140347,EG,14,Mît Ridein,
140348,EG,3,`ezbet Abu Zeid,
140349,EG,1,Ghazâla,
140350,EG,8,El-minya,
140351,EG,14,Bilbês,
140352,EG,8,Kirdâsa,
140353,EG,3,Kom Hamada,
140354,EG,14,Ramadan City,
140355,EG,10,Maghâgha,
140356,EG,11,Shubra Al Khaymah,
140357,EG,14,Az Zagazig,
140358,EG,11,Zamâlik,
140359,EG,6,Sidi Bishr,
140360,EG,26,Dahab,
140361,EG,1,Kafr Shukr,
140362,EG,4,El Wasta,
140363,EG,1,Mansourah,
140364,EG,12,Toukh,
140365,EG,18,Beba,
140366,EG,5,Kafr El-dauwâr,
140367,EG,26,Sharm El-sheikh,
140368,EG,6,Amria,
140369,EG,2,Safaga,
140370,EG,5,El-santa,
140371,EG,10,Matay,
140372,EG,5,Janaklis,
140373,EG,21,Qûna,
140374,EG,9,Shibîn El-kôm,
140375,EG,9,Quweisna,
140376,EG,10,Mallawi,
140377,EG,21,Disuq,
140378,EG,4,El Minya,
140379,EG,4,El-rôda,
140380,EG,17,El Quseir,
140381,EG,1,Mansûra,
140382,EG,14,Abu Hammad,
140383,EG,3,Idku,
140384,EG,8,Awsim,
140385,EG,1,Mît,
140386,EG,5,Basyun,
140387,EG,12,Abu Zaabal,
140388,EG,23,Deshna,
140389,EG,11,Madinat An Nasr,
140390,EG,9,Minuf,
140391,EG,3,Rosetta,
140392,EG,23,Nag Hamadi,
140393,EG,1,Manoura,
140394,EG,24,Girga,
140395,EG,21,Al Mahallah,
140396,EG,23,Armant,
140397,EG,11,Al Qahirah,
140398,EG,12,Delta Barrage,
140399,EG,1,Sherbin,
140400,EG,11,Hulwan,
140401,EG,8,El-saff,
140402,EG,24,Saqulta,
140403,EG,8,Saft Al Laban,
140404,EG,14,Faqus,
140405,EG,11,Mataria,
140406,EG,19,Syria,
140407,EG,14,Bilbeis,
140408,EG,14,Zaqazîq,
140409,EG,3,Abu Hummus,
140410,EG,5,Kotûr,
140411,EG,26,Nuweibá,
140412,EG,16,Kôm Ombo,
140413,EG,12,El-khânka,
140414,EG,6,Fleming,
140415,EG,8,Ayat,
140416,EG,11,El Matariya,
140417,EG,11,Hilwan,
140418,EG,24,Akhmim,
140419,EG,12,Al 'assaniyah,
140420,EG,3,Qaryat Al Khartum,
140421,EG,3,Dairut,
140422,EG,11,Abbasiyah,
140423,EG,20,Dumyat Al Jadidah,
140424,EG,17,Monfalut,
140425,EG,24,El Ahaiwa Gharb,
140426,EG,26,Sharm Al Shaikh,
140427,EG,11,Old Cairo,
140428,EG,6,Ibrahîmîya,
140429,EG,8,Jirzah,
140430,EG,11,Misr Al Jadidah,
140431,EG,9,Gezai,
140432,EG,9,Elmai,
140433,EG,1,Mansurah,
140434,EG,21,Baltim,
140435,EG,8,Gezireh,
140436,EG,8,Al 'isaniyin,
140437,EG,8,Al Haram,
140438,EG,27,Nakhl,
140439,EG,9,Milîg,
140440,EG,9,Misheirif,
140441,EG,14,Al Muhammadiyah,
140442,EG,12,Kafr Al Hiwalah,
140443,EG,5,Shirshabah,
140444,EG,1,Al Balamun,
140445,EG,14,Qaryat Al Azhar,
140446,EG,14,Qasha,
140447,EG,1,`ezbet El-shabrâwi,
140448,EG,12,Sindiyun,
140449,EG,9,#NAME?,
140450,EG,8,`ezbet Sharikât Wardan,
140451,EG,12,Kafr Ash Shurafa',
140452,EG,12,`arab At Turbah,
140453,EG,4,Al Hawariyah,
140454,EG,8,Al Kawm Al Akhdar,
140455,EG,9,`arab Ar Raml,
140456,EG,1,Al Qurmah,
140457,EG,3,El `awâna,
140458,EG,12,Tukh,
140459,EG,16,Edfu,
140460,EG,5,Kafr `inan,
140461,EG,14,Manshiyat Al Fuli Al Kabirah,
140462,EG,11,Abbasieh,
140463,EG,6,El Agami,
140464,EG,11,Az Zamalik,
140465,EG,20,Fariskur,
