locId,country,region,city,postcode
140641,ES,,,
140642,ES,29,Madrid,
140643,ES,56,Sabadell,
140644,ES,56,Badalona,
140645,ES,39,San Salvador,
140646,ES,55,Valladolid,
140647,ES,56,Barcelona,
140648,ES,51,Sevilla,
140649,ES,60,Valencia,
140650,ES,51,Marbella,
140651,ES,56,Castellbisbal,
140652,ES,56,Rubí,
140653,ES,54,Alcocer,
140654,ES,29,Boadilla Del Monte,
140655,ES,58,Valdeorras,
140656,ES,7,Palma,
140657,ES,58,Vigo,
140658,ES,32,Urdiáin,
140659,ES,29,Fuenlabrada,
140660,ES,56,Tarragona,
140661,ES,51,Málaga,
140662,ES,59,San Agustín,
140663,ES,59,Santa Cruz,
140664,ES,51,Varadero,
140665,ES,54,Mariana,
140666,ES,53,La Coruña,
140667,ES,60,Vallés,
140668,ES,54,Jávea,
140669,ES,53,Las Palmas,
140670,ES,59,Bermeo,
140671,ES,54,Puertollano,
140672,ES,55,Villabalter,
140673,ES,54,Ciudad Real,
140674,ES,59,Bilbao,
140675,ES,56,Gélida,
140676,ES,51,Mijas,
140677,ES,29,Alpedrete,
140678,ES,56,Manresa,
140679,ES,34,Colunga,
140680,ES,29,Móstoles,
140681,ES,51,Cadiz,
140682,ES,60,Manuel,
140683,ES,52,Zaragoza,
140684,ES,55,Salamanca,
140685,ES,56,Sant Just Desvern,
140686,ES,58,Compostela,
140687,ES,53,Arinaga,
140688,ES,29,Moralzarzal,
140689,ES,60,Castellón,
140690,ES,51,Granada,
140691,ES,51,Pozoblanco,
140692,ES,53,Arguineguín,
140693,ES,60,Alcoy,
140694,ES,34,Oviedo,
140695,ES,55,Burgos,
140696,ES,55,León,
140697,ES,56,Reus,
140698,ES,60,Alicante,
140699,ES,55,Palencia,
140700,ES,32,Peralta,
140701,ES,59,Zamudio,
140702,ES,59,Derio,
140703,ES,60,Playa,
140704,ES,7,Forma,
140705,ES,55,Ávila,
140706,ES,55,Bernardos,
140707,ES,51,Córdoba,
140708,ES,59,Arriaga,
140709,ES,59,Las Arenas,
140710,ES,29,Alcalá De Henares,
140711,ES,39,Santander,
140712,ES,59,Vitoria,
140713,ES,59,Mondragón,
140714,ES,56,Hospitalet,
140715,ES,31,Murcia,
140716,ES,51,El Águila,
140717,ES,59,Urnieta,
140718,ES,52,La Estrella,
140719,ES,59,Amurrio,
140720,ES,32,Pamplona,
140721,ES,51,Hornos,
140722,ES,32,Elcano,
140723,ES,56,Mataró,
140724,ES,31,La Alberca,
140725,ES,32,San Juan,
140726,ES,59,San Sebastian,
140727,ES,59,Olarra,
140728,ES,56,Central,
140729,ES,51,Ronda,
140730,ES,31,Molina,
140731,ES,59,Deusto,
140732,ES,56,Granollers,
140733,ES,60,Elda,
140734,ES,51,Almería,
140735,ES,51,Cartuja,
140736,ES,56,Gerona,
140737,ES,53,La Laguna,
140738,ES,60,Altea,
140739,ES,29,Alcorcón,
140740,ES,59,Llodio,
140741,ES,56,Lérida,
140742,ES,51,La Rinconada,
140743,ES,34,Llanera,
140744,ES,52,Lledó,
140745,ES,52,Los Olmos,
140746,ES,58,Redes,
140747,ES,52,Mediana,
140748,ES,60,Real,
140749,ES,56,Carme,
140750,ES,52,Aguaviva,
140751,ES,51,San Fernando,
140752,ES,58,Roca,
140753,ES,55,Cubillo,
140754,ES,56,Mollerusa,
140755,ES,7,Consell,
140756,ES,58,Costa,
140757,ES,34,Canal,
140758,ES,56,Camprodón,
140759,ES,59,Abadiano,
140760,ES,60,Grao De Castellón,
140761,ES,51,Armilla,
140762,ES,59,Plaza,
140763,ES,59,Santiago,
140764,ES,51,Rioja,
140765,ES,59,Zumaia,
140766,ES,59,Galdácano,
140767,ES,59,Urdúliz,
140768,ES,59,Sestao,
140769,ES,53,Puerto,
140770,ES,59,Zumárraga,
140771,ES,54,Toledo,
140772,ES,58,Ciudad,
140773,ES,29,Aravaca,
140774,ES,52,Alba,
140775,ES,56,Gayá,
140776,ES,56,Sans,
140777,ES,29,Alcobendas,
140778,ES,56,Siurana,
140779,ES,34,Para,
140780,ES,34,Sales,
140781,ES,52,Ministerio,
140782,ES,51,Cordova,
140783,ES,57,Moraleja,
