locId,country,region,city,postcode
151210,ET,,,
151211,ET,10,Addis Ababa,
151212,ET,10,Addis Abeba,
151213,ET,9,Jimma,
151214,ET,10,Debre Zeyit,
151215,ET,10,Adama,
151216,ET,7,Harer,
151217,ET,11,Awassa,
151218,ET,6,Bahir Dar,
151219,ET,13,Nekempte,
151220,ET,2,Gondar,
151221,ET,7,Jijiga,
151222,ET,10,Hagere Hiywet,
151223,ET,14,Dese,
151224,ET,13,Nekemt,
151225,ET,13,Nekempt,
151226,ET,10,Debre Birhan,
151227,ET,10,Sebeta,
151228,ET,7,Dire Dawa,
151229,ET,44,Addis Ababa,
151230,ET,44,Addis Abeba,
151231,ET,46,Dese,
151232,ET,46,Adama,
151233,ET,52,Jijiga,
151234,ET,51,Hagere Hiywet,
151235,ET,51,Debre Zeyit,
151236,ET,46,Mersa,
151237,ET,48,Dire Dawa,
151238,ET,51,Bishoftu,
151239,ET,46,Woldia,
151240,ET,44,Adis Abeba,
151241,ET,51,Nazareth,
151242,ET,46,Bahir Dar,
