locId,country,region,city,postcode
151244,FI,,,
151245,FI,13,Helsinki,
151246,FI,13,Vantaa,
151247,FI,13,Espoo,
151248,FI,13,Lohja,
151249,FI,15,Raisio,
151250,FI,15,Tampere,
151251,FI,13,Esbo,
151252,FI,15,Turku,
151253,FI,8,Oulunsalo,
151254,FI,13,Lappeenranta,
151255,FI,13,Heinola,
151256,FI,15,Jyväskylä,
151257,FI,13,Uusimaa,
151258,FI,13,Hollola,
151259,FI,1,Mariehamn,
151260,FI,14,Mikkeli,
151261,FI,13,Hämeenlinna,
151262,FI,14,Savonlinna,
151263,FI,13,Kerava,
151264,FI,13,Sippola,
151265,FI,6,Kemi,
151266,FI,15,Pori,
151267,FI,13,Leppävaara,
151268,FI,15,Ähtäri,
151269,FI,8,Oulu,
151270,FI,13,Riihimäki,
151271,FI,14,Nenonpelto,
151272,FI,15,Nurmo,
151273,FI,15,Vasa,
151274,FI,15,Suomusjärvi,
151275,FI,8,Kajaani,
151276,FI,15,Peipohja,
151277,FI,13,Herrala,
151278,FI,15,Toijala,
151279,FI,15,Vaasa,
151280,FI,13,Kausala,
151281,FI,14,Joensuu,
151282,FI,15,Uurainen,
151283,FI,13,Siuntio,
151284,FI,13,Turenki,
151285,FI,13,Mustio,
151286,FI,13,Mäntsälä,
151287,FI,15,Jämsä,
151288,FI,15,Saarijärvi,
151289,FI,15,Kauhava,
151290,FI,15,Pietarsaari,
151291,FI,8,Ranta,
151292,FI,15,Seinäjoki,
151293,FI,8,Ylivieska,
151294,FI,15,Kokemäki,
151295,FI,14,Kuopio,
151296,FI,13,Koria,
151297,FI,15,Naantali,
151298,FI,15,Loimaa,
151299,FI,15,Perniö,
151300,FI,15,Vaajakoski,
151301,FI,15,Paimio,
151302,FI,8,Raahe,
151303,FI,13,Lahti,
151304,FI,6,Rovaniemi,
151305,FI,6,Utsjoki,
151306,FI,13,Hyvinkää,
151307,FI,13,Karkkila,
151308,FI,15,Somero,
151309,FI,15,Pirkkala,
151310,FI,6,Hietaniemi,
151311,FI,14,Varkaus,
151312,FI,13,Imatra,
151313,FI,14,Suonenjoki,
151314,FI,13,Järvenpää,
151315,FI,13,Nummela,
151316,FI,15,Rauma,
151317,FI,13,Hanko,
151318,FI,13,Nurmijärvi,
151319,FI,15,Nokia,
151320,FI,13,Porvoo,
151321,FI,6,Maaninka,
151322,FI,15,Karstula,
151323,FI,13,Jokioinen,
151324,FI,14,Liperi,
151325,FI,14,Atro,
151326,FI,13,Helsingfors,
151327,FI,15,Kokkola,
151328,FI,15,Kauhajoki,
151329,FI,13,Kotka,
151330,FI,15,Urjala,
151331,FI,8,Suomussalmi,
151332,FI,15,Ulvila,
151333,FI,8,Haapavesi,
151334,FI,13,Tammisaari,
151335,FI,6,Kolari,
151336,FI,15,Salo,
151337,FI,14,Juankoski,
151338,FI,15,Lapua,
151339,FI,15,Koivulahti,
151340,FI,15,Ilmajoki,
151341,FI,6,Sodankylä,
151342,FI,14,Pohjois-savo,
151343,FI,15,Valkeakoski,
151344,FI,6,Ranua,
151345,FI,8,Kello,
151346,FI,14,Mäntyharju,
151347,FI,13,Taipalsaari,
151348,FI,15,Äänekoski,
151349,FI,14,Rääkkylä,
151350,FI,6,Kittilä,
151351,FI,15,Vöyri,
151352,FI,8,Pudasjärvi,
151353,FI,14,Joroinen,
151354,FI,13,Ruokolahti,
151355,FI,15,Äetsä,
151356,FI,13,Kouvola,
151357,FI,15,Halli,
151358,FI,13,Savitaipale,
151359,FI,15,Kangasala,
151360,FI,15,Viiala,
151361,FI,14,Tohmajärvi,
151362,FI,6,Tornio,
151363,FI,6,Ivalo,
