locId,country,region,city,postcode
155057,FI,15,Karhi,
155058,FJ,,,
155059,FJ,1,Suva,
155060,FJ,1,Navatuvula,
155061,FJ,1,Suva City,
155062,FJ,1,Nasirotu,
155063,FJ,5,Koroiyatha,
155064,FJ,5,Ndrambuta,
155065,FJ,1,Tholoisuva,
155066,FJ,5,Lautoka,
155067,FJ,1,Ndelailasakau,
155068,FJ,1,Naraiyawa,
155069,FJ,5,Nadi,
155070,FJ,5,Namosau Government Station,
155071,FJ,1,Namandi,
155072,FJ,1,Wailoku,
155073,FJ,5,Lomolomo,
155074,FJ,5,Vakambuli,
155075,FJ,1,Natoaika,
155076,FJ,5,Vatumbalavu,
155077,FJ,1,Naisonggo,
155078,FJ,5,Drio Drio,
155079,FJ,5,Keiasi,
155080,FJ,1,Mbaulevu,
155081,FJ,5,Numbutautau,
155082,FJ,1,Sote,
155083,FJ,1,Sawani,
155084,FJ,5,Tavua,
155085,FJ,1,Lami,
155086,FJ,1,Nasinu,
155087,FJ,1,Tamavua,
155088,FJ,1,Nausori,
155089,FJ,5,Savusavu,
155090,FJ,5,Rakiraki,
155091,FJ,1,Toorak,
155092,FJ,1,Navua,
155093,FJ,1,Levuka,
155094,FJ,3,Tukavesi,
155095,FJ,3,Labasa,
155096,FJ,1,Laucala,
155097,FJ,1,Nasese,
155098,FJ,1,Korolevu,
155099,FJ,1,Raiwai,
155100,FJ,5,Ovalau,
155101,FJ,1,Nasavu,
155102,FJ,1,Nasoli,
155103,FJ,5,Vatukoula,
155104,FJ,1,Kalambo,
