locId,country,region,city,postcode
155225,FR,,,
155226,FR,B9,Lyon,
155227,FR,A9,Montpellier,
155228,FR,A8,Romainville,
155229,FR,A8,Paris,
155230,FR,97,Cestas,
155231,FR,A8,Issy-les-moulineaux,
155232,FR,B9,Perret,
155233,FR,A3,Maurepas,
155234,FR,B3,Toulouse,
155235,FR,A8,Puteaux,
155236,FR,B4,Lomme,
155237,FR,A8,Rueil,
155238,FR,B4,Lille,
155239,FR,A8,Sucy,
155240,FR,A8,Palaiseau,
155241,FR,97,Bordeaux,
155242,FR,A8,Malakoff,
155243,FR,B4,Lys-lès-lannoy,
155244,FR,A8,Cergy,
155245,FR,B4,Douai,
155246,FR,A8,Charenton-le-pont,
155247,FR,A7,Aubergenville,
155248,FR,A1,Villefranche,
155249,FR,B6,Amiens,
155250,FR,A8,Villacoublay,
155251,FR,A8,Le Bourget,
155252,FR,B9,Crolles,
155253,FR,A8,Neuilly-sur-seine,
155254,FR,B8,Valbonne,
155255,FR,A3,Étampes,
155256,FR,B9,Villeurbanne,
155257,FR,A6,Chèvremont,
155258,FR,C1,Strasbourg,
155259,FR,A8,Nanterre,
155260,FR,B3,Boulogne,
155261,FR,B1,Robert,
155262,FR,99,Flers,
155263,FR,B2,Ludres,
155264,FR,A3,Orléans,
155265,FR,A8,Levallois,
155266,FR,B9,Bron,
155267,FR,A8,Morsang,
155268,FR,A1,Neuilly,
155269,FR,B8,Berre,
155270,FR,B9,Saint Médard,
155271,FR,B2,Metz,
155272,FR,A6,Besançon,
155273,FR,97,Mérignac,
155274,FR,A8,Lognes,
155275,FR,A3,Avaray,
155276,FR,B2,Nancy,
155277,FR,B7,La Couronne,
155278,FR,B8,Nice,
155279,FR,A8,Coubron,
155280,FR,A8,Versailles,
155281,FR,A8,Goussainville,
155282,FR,C1,Algolsheim,
155283,FR,A1,Ivry,
155284,FR,A8,Boulogne-billancourt,
155285,FR,A8,Créteil,
155286,FR,A8,Saint-denis,
155287,FR,99,Cormelles,
155288,FR,A3,Tours,
155289,FR,A8,Le Raincy,
155290,FR,A8,Combles,
155291,FR,A7,Rouen,
155292,FR,C1,Lutterbach,
155293,FR,B7,Thorigny,
155294,FR,A3,Saint-maur,
155295,FR,A8,Chilly-mazarin,
155296,FR,A9,Quillan,
155297,FR,B3,Fonsorbes,
155298,FR,B8,Néoules,
155299,FR,B8,Aubagne,
155300,FR,B8,Antibes,
155301,FR,B2,Ennery,
155302,FR,A3,Gilles,
155303,FR,A1,Bresse,
155304,FR,98,Clermont-ferrand,
155305,FR,A2,Rennes,
155306,FR,B8,Marseille,
155307,FR,B9,Villaz,
155308,FR,A1,Saint Malo,
155309,FR,A1,Villeneuve,
155310,FR,B9,Grenoble,
155311,FR,A8,Gennevilliers,
155312,FR,B9,Saint Just,
155313,FR,A8,Roissy,
155314,FR,B7,La Vallée,
155315,FR,B3,Tarbes,
155316,FR,A2,Taden,
155317,FR,B9,Chalon,
155318,FR,A3,Plaisir,
155319,FR,A8,Toussus,
155320,FR,A9,Nîmes,
155321,FR,A3,La Haye,
155322,FR,A8,Herblay,
155323,FR,B7,Saint Martin,
155324,FR,B5,Cholet,
155325,FR,98,Pierre,
155326,FR,A1,Chemin,
155327,FR,A3,Marseilles,
155328,FR,A8,Clichy,
155329,FR,A8,Courbevoie,
155330,FR,B8,La Gaude,
155331,FR,B2,Vezin,
155332,FR,B6,Clermont,
155333,FR,B9,Meylan,
155334,FR,B2,Charleville,
155335,FR,A8,Montévrain,
155336,FR,B4,Marais,
155337,FR,A8,Billancourt,
155338,FR,A8,Groslay,
155339,FR,B9,La Ville,
155340,FR,A7,Le Vaudreuil,
155341,FR,B3,Muret,
155342,FR,A2,Brest,
155343,FR,A5,Corte,
155344,FR,B5,Rezé,
155345,FR,A8,Vélizy,
155346,FR,B3,Montauban,
155347,FR,A5,Bastia,
155348,FR,B9,Plan,
155349,FR,B5,Nantes,
155350,FR,B6,Compiègne,
155351,FR,A3,Canada,
155352,FR,B9,Seynod,
155353,FR,B7,Bois,
155354,FR,97,Gradignan,
155355,FR,A6,Belfort,
155356,FR,A8,Évry,
155357,FR,A7,Le Havre,
155358,FR,A8,Les Lilas,
155359,FR,B8,Libre,
155360,FR,B9,Limonest,
155361,FR,B3,Mane,
155362,FR,A2,Tremblay,
155363,FR,B7,Thorigné,
155364,FR,B5,Angers,
155365,FR,A6,Apremont,
