locId,country,region,city,postcode
213950,GD,,,
213951,GD,3,Saint George,
213952,GD,3,Mount Moritz Land Settlement,
213953,GD,3,Saint George's,
213954,GD,3,Granton,
213955,GD,1,Grenville,
213956,GD,3,Boca,
213957,GD,4,Gouyave,
213958,GD,5,Victoria,
213959,GD,4,Concord,
213960,GD,1,Castaigne,
213961,GD,2,Saint David's,
213962,GD,3,Grand Anse,
213963,GD,3,Frequente,
213964,GD,1,Saint John,
213965,GD,6,Sauteurs,
213966,GD,3,True Blue,
213967,GD,6,Hillsborough,
213968,GD,3,Lance Aux Épines,
213969,GD,3,Petit Calivigny,
213970,GD,3,Morne Rouge,
213971,GD,3,Saint Paul's,
213972,GD,3,Springs,
213973,GD,3,Calivigny,
213974,GD,2,Maulti,
213975,GD,2,Thebaide,
213976,GD,3,Calliste,
213977,GD,3,Westerhall Point,
213978,GD,1,Pearls,
213979,GD,3,Grenada City,
213980,GD,2,Belle Isle,
213981,GD,1,Tivoli,
213982,GD,3,Westerhall,
213983,GD,2,Perdmontemps,
213984,GD,3,Café,
213985,GD,3,Hermitage,
213986,GD,3,Happy Hill,
213987,GD,3,Marian,
213988,GD,1,Conference,
213989,GD,3,Grand Ance,
213990,GD,1,Saint Margaret,
213991,GD,3,Belmont,
213992,GD,3,Paddock,
213993,GD,2,Providence,
213994,GD,3,Tempe,
213995,GD,1,Marquis,
213996,GD,3,Port Louis,
213997,GD,3,New Hampshire,
213998,GD,1,Birch Grove,
213999,GD,2,Corinth,
214000,GD,3,Georgetown,
214001,GD,1,Grand Bras,
214002,GD,1,Morne Jaloux,
214003,GD,1,Richmond,
214004,GD,3,La Mode,
214005,GD,1,Post Royal,
214006,GD,1,La Poterie,
214007,GD,3,Willis,
214008,GD,1,La Digue,
214009,GD,1,Paradise,
214010,GD,4,Grand Roy,
214011,GD,2,Beaton,
214012,GD,1,Morne Longue,
214013,GD,3,Richmond Hill,
214014,GD,1,Simon,
214015,GD,6,Mount Rich,
214016,GD,6,Carriere,
214017,GD,2,Vincennes,
214018,GD,3,Fort Royal,
214019,GD,3,Woburn,
214020,GD,3,D'arbeau,
214021,GD,3,Mardigras,
214022,GD,4,Florida,
214023,GD,3,Fontenoy,
214024,GD,2,Windsor Forest,
214025,GD,2,Petit Étang,
214026,GD,5,Belmont,
214027,GD,6,Rose Hill,
214028,GD,1,Soubise,
214029,GD,4,Mon Plaisir,
214030,GD,3,Parade,
214031,GD,3,Grand Mal,
214032,GD,6,River Sallee,
214033,GD,1,Battle Hill,
214034,GD,3,Molinière,
214035,GD,5,Saint Mark,
214036,GD,4,Gouave,
214037,GD,5,Saint Marks,
