locId,country,region,city,postcode
214038,GE,,,
214039,GE,19,Tbilisi,
214040,GE,22,Rustavi,
214041,GE,22,Gori,
214042,GE,62,Zugdidi,
214043,GE,28,Khashuri,
214044,GE,19,Marneuli,
214045,GE,22,Bolnisi,
214046,GE,47,Samtredia,
214047,GE,26,Kaspi,
214048,GE,38,Vake,
214049,GE,19,Gldani,
214050,GE,5,Akhalgori,
214051,GE,22,Kvemo-ikorta,
214052,GE,28,Surami,
214053,GE,16,Sameba,
214054,GE,25,Kornisi,
214055,GE,25,Agara,
214056,GE,13,Bakuriani,
214057,GE,61,Shorapani,
214058,GE,13,Borjomi,
214059,GE,15,Chkhorotsku,
214060,GE,58,Tsalka,
214061,GE,43,Kvareli,
214062,GE,31,Gurjaani,
214063,GE,31,Lagodekhi,
214064,GE,8,Sagarejo,
214065,GE,17,Tsnori,
214066,GE,8,Gardabani,
214067,GE,19,Gamarjveba,
214068,GE,4,Bat'umi,
214069,GE,61,Zestafoni,
214070,GE,59,K'ut'aisi,
214071,GE,48,Senaki,
214072,GE,38,Ninotsminda,
214073,GE,59,Tskhaltubo,
214074,GE,56,Achara,
214075,GE,22,Akhalkalak,
214076,GE,59,Tskaltubo,
214077,GE,2,Sukhum,
214078,GE,59,Kutais,
214079,GE,1,Abasha,
214080,GE,22,Nigoza,
214081,GE,26,Kavt'iskhevi,
214082,GE,4,Batum,
214083,GE,19,Karatagla,
214084,GE,24,Ninia,
214085,GE,59,Kutaissi,
214086,GE,8,Rusiani,
214087,GE,58,Iraga,
214088,GE,19,Natakhtari,
214089,GE,8,Georgitsminda,
214090,GE,13,Tba,
214091,GE,19,Zahesi,
214092,GE,38,Mashavera,
214093,GE,58,Gedakliri,
214094,GE,8,Akhmeta,
214095,GE,19,Varketili,
214096,GE,45,Nigvzara,
214097,GE,58,Dmanisi,
214098,GE,40,Ozurget'i,
214099,GE,22,Doesi,
214100,GE,19,Sovkhoz Varketili,
214101,GE,60,Vani,
214102,GE,59,Gumbra,
214103,GE,19,Koda,
214104,GE,55,Tkibuli,
214105,GE,51,T'elavi,
214106,GE,7,Achalziche,
214107,GE,19,Mtskhera,
214108,GE,54,T'ianet'i,
214109,GE,64,Khoni,
214110,GE,19,Vazisubani,
214111,GE,55,Okhomira,
214112,GE,29,P'ot'i,
214113,GE,19,Duscheti,
214114,GE,40,Macharadse,
214115,GE,52,Terdzhola,
214116,GE,14,Chiat'ura,
214117,GE,4,K'obulet'i,
214118,GE,8,Sartashali,
214119,GE,4,Bako,
214120,GE,19,Tiflis,
214121,GE,19,Tbilsi,
214122,GE,10,Aspindza,
214123,GE,19,Digomi,
214124,GE,9,Ambrolauri,
214125,GE,19,Tblisi,
214126,GE,19,T'bilisi,
