locId,country,region,city,postcode
214160,GG,,,
214161,GG,,,
214162,GG,0,Saint Peter Port,
214163,GG,0,Albècq,
214164,GG,0,Saint Sampson,
214165,GG,0,Le Picquerel,
214166,GG,0,La Passèe,
214167,GG,0,Les Camps Du Moulin,
214168,GG,0,Les Nouettes,
214169,GG,0,Saint Anne,
214170,GG,0,Saint Saviour,
214171,GG,0,Torteval,
214172,GG,0,Bouet,
214173,GG,0,Côbo,
214174,GG,0,Saint Sampson's,
214175,GG,0,La Villiaze,
214176,GG,0,Jerbourg,
214177,GG,0,Le Pont,
214178,GG,0,Saint Annes,
214179,GG,0,La Donnellerie,
214180,GG,0,Vazon,
214181,GG,0,Le Preel,
214182,GG,0,Grandes Rocques,
214183,GG,0,Richmond,
214184,GG,0,Hougues Magues,
214185,GG,0,Coutanchez,
214186,GG,0,Saint Andrew,
214187,GG,0,Les Vardes,
214188,GG,0,L'islet,
214189,GG,0,La Tonelle,
214190,GG,0,Village De Putron,
214191,GG,0,St. Andrew,
214192,GG,0,Houmets,
214193,GG,0,St. Saviour,
214194,GG,0,Baugy,
214195,GG,0,Houmet,
214196,GG,0,La Tour,
214197,GG,0,Les Jaonnets,
214198,GG,0,Les Baissieres,
214199,GG,0,La Vrangue,
214200,GG,0,Ville Au Roi,
214201,GG,0,La Colombelle,
214202,GG,0,La Moye,
214203,GG,0,La Lague,
214204,GG,0,Braye Du Val,
214205,GG,0,Les Varendes,
214206,GG,0,Saint George,
214207,GG,0,Le Manoir,
214208,GG,0,Le Villocq,
214209,GG,0,Les Adams,
214210,GG,0,Girouette,
214211,GG,0,Les Rouvets,
214212,GG,0,La Rochelle,
214213,GG,0,La Fosse,
214214,GG,0,Pleinheaume,
214215,GG,0,Le Bourg,
214216,GG,0,Braye,
214217,GG,0,La Collinette,
214218,GG,0,Le Bordage,
214219,GG,0,L'ancresse,
214220,GG,0,Bordeaux,
