locId,country,region,city,postcode
214221,GH,,,
214222,GH,8,Tema,
214223,GH,2,Kumasi,
214224,GH,9,Takoradi,
214225,GH,1,Accra,
214226,GH,9,Site,
214227,GH,6,Tamale,
214228,GH,8,Akosombo,
214229,GH,8,Achimota,
214230,GH,8,Home,
214231,GH,8,Ridge,
214232,GH,9,Tarkwa,
214233,GH,8,Ashanti,
214234,GH,2,Kenyase,
214235,GH,9,Bogoso,
214236,GH,11,Tumu,
214237,GH,8,Nsuta,
214238,GH,2,Tafo,
214239,GH,8,Dodowa,
214240,GH,3,Kintampo,
214241,GH,8,Akropong,
214242,GH,4,Mumford,
214243,GH,5,Koforidua,
214244,GH,8,Tekpanya,
214245,GH,8,Teshie,
214246,GH,8,Legon,
214247,GH,8,Aburi,
214248,GH,4,Winneba,
214249,GH,9,Swedru,
214250,GH,2,Mpraeso,
214251,GH,2,Abetifi,
214252,GH,9,Asamankese,
214253,GH,10,Bawku,
214254,GH,2,Nkwatia,
214255,GH,8,Dakpa,
214256,GH,3,Wenchi,
214257,GH,3,Sunyani,
214258,GH,8,Madina,
214259,GH,4,Cape Coast,
214260,GH,8,Akuse,
214261,GH,8,Nsawam,
214262,GH,8,Somanya,
214263,GH,2,Obuasi,
214264,GH,9,Sekondi,
214265,GH,10,Bolgatanga,
214266,GH,8,Worawora,
214267,GH,9,Chirano,
214268,GH,8,Ashaiman,
214269,GH,8,Tesano,
214270,GH,8,Abeka,
214271,GH,3,Bechem,
214272,GH,3,Techiman,
214273,GH,2,Mampong,
214274,GH,8,Asafo,
214275,GH,9,Prestea,
214276,GH,8,Sakumono,
214277,GH,2,Bekwai,
214278,GH,8,Adidome,
214279,GH,2,Aduamoa,
214280,GH,8,Agbozume,
214281,GH,4,Adisadel,
214282,GH,3,Nsoatre,
214283,GH,11,Base,
214284,GH,8,Dome,
214285,GH,9,Bibiani,
214286,GH,9,Dunkwa,
214287,GH,2,Kumase,
214288,GH,9,Agona Swedru,
214289,GH,9,Akim,
214290,GH,3,Wamfie,
214291,GH,8,Berekuso,
