locId,country,region,city,postcode
214295,GL,,,
214296,GL,3,Nuuk,
214297,GL,3,Qeqertarsuaq,
214298,GL,3,Uummannaq,
214299,GL,3,Upernavik,
214300,GL,2,Tasiilaq,
214301,GL,3,Sisimiut,
214302,GL,3,Arsuk,
214303,GL,3,Aasiaat,
214304,GL,1,Kangerlussuaq,
214305,GL,3,Qaqortoq,
214306,GL,3,Nuussuaq,
214307,GL,1,Qaanaaq,
214308,GL,2,Ittoqqortoormiit,
214309,GL,3,Ivittuut,
214310,GL,3,Ilulissat,
214311,GL,3,Qasigianguit,
214312,GL,3,Maniitsoq,
214313,GL,3,Narsarsuaq,
214314,GL,3,Paamiut,
214315,GL,1,Thule,
214316,GL,1,Narsaq,
214317,GL,3,Nanortalik,
214318,GL,3,Kangaatsiaq,
214319,GL,3,Godthaab,
214320,GL,2,Kuummiut,
214321,GL,3,Qasigiannguit,
214322,GL,2,Kulusuk,
214323,GL,2,Illoqqortoormiut,
214324,GL,3,Godhavn,
214325,GL,3,Alluitsup Paa,
214326,GL,3,Grønnedal,
214327,GL,3,Qaarsut,
214328,GL,3,Akunnaaq,
214329,GL,3,Kapisillit,
214330,GL,3,Saattut,
214331,GL,3,Niaqornaarsuk,
214332,GL,3,Atammik,
214333,GL,3,Kangaamiut,
214334,GL,3,Qeqertarssuaq,
214335,GL,3,Dundas,
214336,GL,3,Ikerasak,
214337,GL,3,Julianehåb,
214338,GL,3,Narsaq,
214339,GL,3,Thule,
214340,GL,3,Frederikshaab,
