locId,country,region,city,postcode
214341,GM,,,
214342,GM,1,Banjul,
214343,GM,5,Fajara,
214344,GM,5,Serekunda,
214345,GM,5,Kololi,
214346,GM,5,Bakau,
214347,GM,5,Sukuta,
214348,GM,5,Sanyang,
214349,GM,5,Serrekunda,
214350,GM,5,Kanifing,
214351,GM,5,Bakoteh,
214352,GM,5,Brikama,
214353,GM,5,Banjul Nding,
214354,GM,5,Yundum,
214355,GM,4,Basse,
214356,GM,5,Dippa Kunda,
214357,GM,5,Little Banjul,
214358,GM,5,Bijilo,
214359,GM,5,Sere Kunda,
214360,GM,5,Tabokoto,
214361,GM,5,Kantong Kunda,
214362,GM,5,Brufut,
