locId,country,region,city,postcode
214363,GN,,,
214364,GN,4,Conakry,
214365,GN,7,Téma,
214366,GN,3,Kamsar,
214367,GN,34,Labé,
214368,GN,36,Lola,
214369,GN,4,Camayenne,
214370,GN,32,Kankan,
214371,GN,3,Sangarédi,
214372,GN,38,Nzérékoré,
214373,GN,23,Mamou,
214374,GN,6,Dalaba,
214375,GN,3,Boké,
214376,GN,18,Koundara,
214377,GN,1,Beyla,
214378,GN,17,Kissidougou,
214379,GN,16,Kindia,
214380,GN,34,Mamou,
214381,GN,16,Forécariah,
214382,GN,32,Dabola,
214383,GN,12,Kalia,
214384,GN,25,Pita,
214385,GN,31,Dubréka,
