locId,country,region,city,postcode
214386,GP,,,
214387,GP,0,Marigot,
214388,GP,0,Jarry,
214389,GP,0,Lamentin,
214390,GP,0,Le Gosier,
214391,GP,0,Le Moule,
214392,GP,0,Petit-bourg,
214393,GP,0,Les Abymes,
214394,GP,0,Sainte-anne,
214395,GP,0,Capesterre-belle-eau,
214396,GP,0,Bouillante,
214397,GP,0,Saint-françois,
214398,GP,0,Sainte-rose,
214399,GP,0,Basse-terre,
214400,GP,0,La Grande Anse,
214401,GP,0,Baie Mahault,
214402,GP,0,Saint-claude,
214403,GP,0,Baie-mahault,
214404,GP,0,Pointe-à-pitre,
214405,GP,0,Le Galet,
214406,GP,0,Petit-canal,
214407,GP,0,Boricaud,
214408,GP,0,Trois-rivières,
214409,GP,0,Belcourt,
214410,GP,0,Deshaies,
214411,GP,0,Baillif,
214412,GP,0,Saint-louis,
214413,GP,0,Goyave,
214414,GP,0,Chazeau,
214415,GP,0,Pointe-noire,
214416,GP,0,Morne-à-l'eau,
214417,GP,0,Gourbeyre,
214418,GP,0,Vieux-habitants,
214419,GP,0,Grand-bourg,
214420,GP,0,Capesterre,
214421,GP,0,Gustavia,
214422,GP,0,Port-louis,
214423,GP,0,Saint-james,
214424,GP,0,Vieux-fort,
214425,GP,0,Bas Du Fort,
214426,GP,0,Anse-bertrand,
214427,GP,0,Terre-de-bas,
214428,GP,0,Terre-de-haut,
214429,GP,0,Hameau Du Pont,
214430,GP,0,Orléans,
214431,GP,0,Cul De Sac,
214432,GP,0,Colombier,
214433,GP,0,Quartier D'orléans,
214434,GP,0,Boyer,
214435,GP,0,Port Louis,
214436,GP,0,La Coulée,
214437,GP,0,Douville,
214438,GP,0,Grand Case,
214439,GP,0,Mare Gaillard,
214440,GP,0,Les Mangles,
214441,GP,0,Grand Bois,
214442,GP,0,Sainte-claire,
214443,GP,0,Bouliqui,
214444,GP,0,Deshauteurs,
214445,GP,0,Satgé,
214446,GP,0,Trianon,
214447,GP,0,La Chapelle,
214448,GP,0,Village,
214449,GP,0,Marc Gaillard,
214450,GP,0,Ravine Chaude,
214451,GP,0,Sainte-marie,
214452,GP,0,Ménard,
214453,GP,0,Saint-jean,
214454,GP,0,Petites Mamelles,
214455,GP,0,Émilien,
214456,GP,0,Cambrai,
214457,GP,0,Vieux Bourg,
214458,GP,0,Grands Fonds,
214459,GP,0,Vernou,
214460,GP,0,Bellevue,
214461,GP,0,Neuf-château,
214462,GP,0,Grande Rivière,
214463,GP,0,Poirier,
214464,GP,0,Bois Debout,
214465,GP,0,De Pombiray,
214466,GP,0,Bénard,
214467,GP,0,Brion,
214468,GP,0,Belle Place,
214469,GP,0,Budan,
214470,GP,0,Fouché,
214471,GP,0,Pigeon,
214472,GP,0,Morne Rouge,
214473,GP,0,Besnard,
214474,GP,0,Lacroix,
214475,GP,0,Montalègre,
214476,GP,0,Nogent,
214477,GP,0,Grippon,
214478,GP,0,Saint-pierre,
214479,GP,0,Abymes,
214480,GP,0,Gosier,
214481,GP,0,Moule,
214482,GP,0,Champfleury,
214483,GP,0,Rambaud,
214484,GP,0,Prise D'eau,
214485,GP,0,Ducos,
