locId,country,region,city,postcode
214494,GR,,,
214495,GR,35,Athens,
214496,GR,35,Piraeus,
214497,GR,21,Lárissa,
214498,GR,13,Thessaloníki,
214499,GR,2,Komotiní,
214500,GR,22,Péfki,
214501,GR,14,Kavála,
214502,GR,50,Chíos,
214503,GR,1,Alexandroúpolis,
214504,GR,35,Pallíni,
214505,GR,22,Tríkala,
214506,GR,47,Líndos,
214507,GR,35,Kallithéa,
214508,GR,35,Athína,
214509,GR,40,Miaoúli,
214510,GR,38,Pátra,
214511,GR,25,Ágios Stéfanos,
214512,GR,45,Heraklion,
214513,GR,43,Chaniá,
214514,GR,38,Patras,
214515,GR,36,Árgos,
214516,GR,35,Holargos,
214517,GR,22,Paraskeví,
214518,GR,17,Ioánnina,
214519,GR,29,Lamía,
214520,GR,11,Kozáni,
214521,GR,37,Corinth,
214522,GR,35,Psychiko,
214523,GR,49,Syros,
214524,GR,40,Kalamáta,
214525,GR,25,Corfu,
214526,GR,10,Dímitra,
214527,GR,35,Aigáleo,
214528,GR,6,Gríva,
214529,GR,35,Kifisiá,
214530,GR,47,Ródos,
214531,GR,12,Náousa,
214532,GR,20,Stournári,
214533,GR,42,Sína,
214534,GR,13,Vasiliká,
214535,GR,6,Peristéri,
214536,GR,47,Kálymnos,
214537,GR,44,Alfá,
214538,GR,10,Váris,
214539,GR,23,Kryonéri,
214540,GR,17,Krýa,
214541,GR,41,Trípoli,
214542,GR,16,Katerina,
214543,GR,17,Trápeza,
214544,GR,3,Xánthi,
214545,GR,21,Lárisa,
214546,GR,23,Metamórfosi,
214547,GR,20,Árta,
214548,GR,35,Dekeleia,
214549,GR,35,Athénes,
214550,GR,2,Glifáda,
214551,GR,37,Iráklio,
214552,GR,35,Markópoulo,
214553,GR,35,Gavalás,
214554,GR,35,Néa Ionía,
214555,GR,50,Xíos,
214556,GR,35,Glyfáda,
214557,GR,35,Pikérmi,
214558,GR,35,Asprópirgos,
214559,GR,35,Távros,
214560,GR,24,Vólos,
214561,GR,24,Skíathos,
214562,GR,6,Akrítas,
214563,GR,23,Krionéri,
214564,GR,40,Kalamatas,
214565,GR,35,Kifissia,
214566,GR,39,Pýrgos,
214567,GR,35,Skaramangá,
214568,GR,35,Galátsi,
214569,GR,40,Pýlos,
214570,GR,23,Moscháto,
214571,GR,17,Ellinikó,
214572,GR,9,Kastoriá,
214573,GR,48,Sámos,
214574,GR,35,Koropí,
214575,GR,16,Kateríni,
214576,GR,37,Isthmía,
214577,GR,42,Stéfanos,
214578,GR,35,Voúla,
214579,GR,25,Kérkyra,
214580,GR,35,Pérama,
214581,GR,13,Salonica,
214582,GR,35,Paianía,
214583,GR,35,Elefsína,
214584,GR,37,Kórinthos,
214585,GR,48,Mesógeion,
214586,GR,35,Vári,
214587,GR,35,Aígina,
214588,GR,4,Dráma,
214589,GR,22,Kalampáka,
214590,GR,5,Sérres,
214591,GR,19,Préveza,
214592,GR,20,Pétrou,
214593,GR,1,Alexandroúpoli,
214594,GR,15,Polýgyros,
214595,GR,35,Kalamáki,
214596,GR,39,Pírgos,
214597,GR,23,Kardítsa,
214598,GR,26,Lefkáda,
214599,GR,18,Igoumenítsa,
214600,GR,27,Argostóli,
214601,GR,32,Ámfissa,
214602,GR,42,Spárti,
214603,GR,35,Kaisarianí,
214604,GR,22,Valtinón,
214605,GR,25,Dáfni,
214606,GR,47,Emporia,
214607,GR,46,Neápoli,
214608,GR,25,Kérkira,
214609,GR,36,Náfplio,
214610,GR,43,Alikianós,
214611,GR,17,Plataniá,
214612,GR,42,Néos Kósmos,
214613,GR,11,Pelekános,
214614,GR,44,Anógeia,
214615,GR,41,Louká,
214616,GR,45,Pezá,
214617,GR,31,Agrínio,
214618,GR,49,Mýkonos,
214619,GR,49,Ermoúpoli,
214620,GR,35,Attikí,
214621,GR,45,Minós,
214622,GR,39,Amaliás,
214623,GR,35,Lykovrisi,
214624,GR,35,Níkaia,
214625,GR,45,Irákleio,
214626,GR,35,Áno Liósia,
214627,GR,35,Papágou,
214628,GR,6,Livádia,
214629,GR,35,Magoúla,
214630,GR,13,Salonika,
214631,GR,13,Thérmi,
214632,GR,46,Eloúnda,
214633,GR,12,Vergína,
214634,GR,41,Trípolis,
214635,GR,44,Réthymno,
214636,GR,8,Flórina,
214637,GR,10,Grevená,
214638,GR,33,Thíva,
214639,GR,17,Amfithéa,
214640,GR,45,Loutráki,
214641,GR,20,Drosiá,
214642,GR,14,Karamanlí,
214643,GR,18,Elefthériou,
