locId,country,region,city,postcode
215869,GT,,,
215870,GT,7,Guatemala City,
215871,GT,8,El Salvador,
215872,GT,22,Reforma,
215873,GT,6,San José,
215874,GT,9,Puerto Barrios,
215875,GT,17,La Reforma,
215876,GT,12,Central,
215877,GT,7,Lomas,
215878,GT,7,Ciudad De Guatemala,
215879,GT,18,Las Margaritas,
215880,GT,3,Aurora,
215881,GT,7,El Limón,
215882,GT,7,Mixco,
215883,GT,12,Tikal,
215884,GT,13,Quetzaltenango,
215885,GT,14,Chiché,
215886,GT,3,Comalapa,
215887,GT,7,San Pedro Sacatepéquez,
215888,GT,19,Panajachel,
215889,GT,7,Villa Nueva,
215890,GT,3,San Andrés Itzapa,
215891,GT,18,Chiquimulilla,
215892,GT,7,San Pedro Ayampuc,
215893,GT,19,San Lucas Tolimán,
215894,GT,19,San José Chacayá,
215895,GT,16,Pastores,
215896,GT,16,Santo Domingo Xenacoj,
215897,GT,19,San Antonio Palopó,
215898,GT,7,Fraijanes,
215899,GT,7,Palencia,
215900,GT,14,Patzité,
215901,GT,3,Tecpán Guatemala,
215902,GT,10,Mataquescuintla,
215903,GT,16,Sumpango,
215904,GT,3,Chimaltenango,
215905,GT,3,Patzicía,
215906,GT,3,Pochuta,
215907,GT,19,Sololá,
215908,GT,2,El Chol,
215909,GT,22,Usumatlán,
215910,GT,5,El Jícaro,
215911,GT,19,Santa Lucía Utatlán,
215912,GT,3,Santa Apolonia,
215913,GT,3,San José Poaquil,
215914,GT,7,Villa Canales,
215915,GT,3,Acatenango,
215916,GT,16,San Bartolomé Milpas Altas,
215917,GT,13,San Mateo,
215918,GT,10,Jalapa,
215919,GT,16,Santa Lucía Milpas Altas,
215920,GT,7,San Juan Sacatepéquez,
215921,GT,3,San Martín Jilotepeque,
215922,GT,14,Chichicastenango,
215923,GT,3,Santa Cruz Balanyá,
215924,GT,3,El Tejar,
215925,GT,16,Alotenango,
215926,GT,3,Yepocapa,
215927,GT,3,Patzún,
215928,GT,16,San Lucas Sacatepéquez,
215929,GT,16,Santiago Sacatepéquez,
215930,GT,13,Salcajá,
215931,GT,21,Totonicapán,
215932,GT,13,San Carlos Sija,
215933,GT,5,Guastatoya,
215934,GT,5,Sansare,
215935,GT,4,Chiquimula,
215936,GT,5,Morazán,
215937,GT,19,Concepción,
215938,GT,5,San Cristóbal Acasaguastlán,
215939,GT,2,San Jerónimo,
215940,GT,5,San Agustín Acasaguastlán,
215941,GT,19,San Andrés Semetabaj,
215942,GT,8,Huehuetenango,
215943,GT,22,San Diego,
215944,GT,2,San Miguel Chicaj,
215945,GT,6,Escuintla,
215946,GT,7,San José Pinula,
215947,GT,16,Magdalena Milpas Altas,
215948,GT,5,Sanarate,
215949,GT,7,Santa Catarina Pinula,
215950,GT,16,Ciudad Vieja,
215951,GT,19,Santa María Visitación,
215952,GT,18,Santa Cruz Naranjo,
215953,GT,16,Antigua Guatemala,
215954,GT,7,Petapa,
215955,GT,22,Zacapa,
215956,GT,1,Tucurú,
215957,GT,10,San Pedro Pinula,
215958,GT,11,San Cristóbal,
215959,GT,14,Joyabaj,
215960,GT,13,El Palmar,
215961,GT,3,Parramos,
215962,GT,16,Jocotenango,
215963,GT,18,Casillas,
215964,GT,16,Santa María De Jesús,
215965,GT,7,Amatitlán,
215966,GT,21,San Francisco El Alto,
215967,GT,13,Ostuncalco,
215968,GT,2,Granados,
215969,GT,9,Izabal,
215970,GT,13,Sibilia,
215971,GT,14,San Antonio Ilotenango,
215972,GT,15,Retalhuleu,
215973,GT,7,Puerta Parada,
215974,GT,20,Mazatenango,
215975,GT,11,Jutiapa,
215976,GT,1,Panzós,
215977,GT,20,Chicacao,
215978,GT,4,Esquipulas,
215979,GT,18,Barberena,
215980,GT,13,San Martín Sacatepéquez,
215981,GT,2,Salamá,
215982,GT,7,Petén,
215983,GT,22,Cabañas,
215984,GT,17,San Pedro Sacatepéquez,
215985,GT,11,Comapa,
215986,GT,1,Cobán,
215987,GT,11,Jalpatagua,
215988,GT,18,Coatepeque,
215989,GT,16,Santa Catarina Barahona,
215990,GT,6,Siquinalá,
215991,GT,18,Cuilapa,
215992,GT,11,El Progreso,
215993,GT,1,San Cristóbal Verapaz,
215994,GT,6,Santa Lucía Cotzumalguapa,
215995,GT,20,Patulul,
215996,GT,19,Santiago Atitlán,
215997,GT,1,San Pedro Carchá,
215998,GT,17,San Marcos,
215999,GT,6,Palín,
216000,GT,9,Los Amates,
216001,GT,22,Gualán,
216002,GT,13,Cabricán,
216003,GT,16,Santo Tomás Milpas Altas,
216004,GT,1,Chisec,
216005,GT,7,Don Justo,
216006,GT,14,Santa Cruz Del Quiché,
216007,GT,17,Malacatán,
216008,GT,2,Rabinal,
216009,GT,11,Asunción Mita,
216010,GT,13,Coatepeque,
216011,GT,8,Malacatancito,
216012,GT,13,Flores Costa Cuca,
216013,GT,22,Teculután,
216014,GT,15,San Felipe,
216015,GT,1,Tamahú,
216016,GT,20,San Francisco Zapotitlán,
216017,GT,12,Flores,
216018,GT,11,San Miguel,
216019,GT,11,Los Órganos,
216020,GT,9,York,
216021,GT,9,Morales,
216022,GT,12,Melchor De Mencos,
216023,GT,20,San Bernardino,
216024,GT,21,Momostenango,
216025,GT,18,Taxisco,
216026,GT,4,Quezaltepeque,
216027,GT,8,Jacaltenango,
216028,GT,12,Poptún,
216029,GT,20,Santo Domingo Suchitepéquez,
216030,GT,15,Champerico,
216031,GT,17,Sipacapa,
216032,GT,19,San Pedro La Laguna,
216033,GT,20,San Antonio Suchitepéquez,
216034,GT,2,Cubulco,
216035,GT,22,Santa Elena,
216036,GT,11,San Juan,
216037,GT,6,La Democracia,
216038,GT,7,Lourdes,
216039,GT,17,San Antonio Sacatepéquez,
216040,GT,8,Aguacatán,
216041,GT,22,Río Hondo,
216042,GT,11,Santa Rosa,
216043,GT,1,Tactic,
216044,GT,6,Tiquisate,
216045,GT,17,Ayutla,
216046,GT,16,Antigua,
216047,GT,12,Florida,
