locId,country,region,city,postcode
216150,GY,,,
216151,GY,12,Georgetown,
216152,GY,12,Alberttown,
216153,GY,18,Wismar,
216154,GY,18,Mackenzie,
216155,GY,18,Linden,
216156,GY,11,Bartica,
216157,GY,13,New Amsterdam,
216158,GY,12,Plaisance,
216159,GY,12,Beterverwagting,
216160,GY,12,Bourda,
216161,GY,12,Lodge,
216162,GY,12,Kitty,
216163,GY,12,Buxton,
216164,GY,16,Queenstown,
216165,GY,12,Prashad Nagar,
216166,GY,12,Kingston,
216167,GY,12,Diamond,
216168,GY,14,Enterprise,
216169,GY,12,Cane Grove,
216170,GY,13,Rose Hall,
216171,GY,12,Great Diamond,
216172,GY,12,Belfield,
216173,GY,14,Vreed En Hoop,
216174,GY,15,Hopetown,
216175,GY,12,Enmore,
216176,GY,12,Bel Air,
216177,GY,15,Mahaica Village,
216178,GY,15,Gordon Table,
216179,GY,13,Canefield,
216180,GY,13,Rose Hall Village,
216181,GY,14,Patentia,
216182,GY,14,Wales,
216183,GY,13,Skeldon,
216184,GY,15,Mahaicony,
216185,GY,12,Lamaha Gardens,
216186,GY,13,Stanleytown,
216187,GY,15,Blairmont,
216188,GY,14,Berebisibali,
216189,GY,12,Demerara,
