locId,country,region,city,postcode
216700,HN,,,
216701,HN,18,Morazán,
216702,HN,8,Tegucigalpa,
216703,HN,6,San Pedro Sula,
216704,HN,7,El Paraíso,
216705,HN,1,La Ceiba,
216706,HN,8,Cortes,
216707,HN,18,Yoro,
216708,HN,5,San Pedro,
216709,HN,6,La Guama,
216710,HN,8,Cerro Grande,
216711,HN,1,Esparta,
216712,HN,6,Choloma,
216713,HN,18,El Progreso,
216714,HN,6,Villanueva,
216715,HN,6,La Jutosa,
216716,HN,7,Teupasenti,
216717,HN,8,Villa De San Francisco,
216718,HN,2,Choluteca,
216719,HN,8,Valle De Ángeles,
216720,HN,8,Santa Lucía,
216721,HN,7,Morocelí,
216722,HN,6,Nuevo Chamelecón,
216723,HN,6,San José Del Boquerón,
216724,HN,4,Comayagua,
216725,HN,1,Tela,
216726,HN,1,Piedras Amarillas,
216727,HN,3,Río Esteban,
216728,HN,1,Toloa Adentro,
216729,HN,8,Santa Ana,
216730,HN,8,Zambrano,
216731,HN,6,San Manuel,
216732,HN,8,El Porvenir,
216733,HN,11,Roatán,
216734,HN,18,Ocote Paulino,
216735,HN,6,Puerto Cortés,
216736,HN,4,Flores,
216737,HN,6,La Lima,
216738,HN,16,El Mochito,
216739,HN,16,San Luis,
216740,HN,4,El Higuero,
216741,HN,8,El Tizatillo,
216742,HN,5,La Entrada,
216743,HN,8,Talanga,
216744,HN,15,Catacamas,
216745,HN,7,Danlí,
216746,HN,8,El Terrero,
216747,HN,4,Siguatepeque,
216748,HN,1,El Porvenir,
216749,HN,6,Chivana,
216750,HN,3,Utilá,
216751,HN,16,Laguna Verde,
216752,HN,3,Prieta,
216753,HN,3,Tocoa,
216754,HN,16,San Nicolás,
216755,HN,5,Santa Rosa De Copán,
216756,HN,1,Mezapa,
216757,HN,18,Coyoles Central,
216758,HN,8,El Durazno,
216759,HN,8,Vallecillo,
216760,HN,8,Sabanagrande,
216761,HN,6,Omoa,
216762,HN,6,El Zapote,
216763,HN,4,Valle De Ángeles,
216764,HN,4,San Luis,
216765,HN,6,Cofradía,
216766,HN,8,Trinidad De Quebradas,
216767,HN,4,Las Lajas,
216768,HN,12,La Paz,
216769,HN,8,Támara,
216770,HN,5,Copán,
216771,HN,16,Santa Bárbara,
216772,HN,5,San José,
216773,HN,18,Olanchito,
216774,HN,16,Petoa,
216775,HN,13,Gracias,
216776,HN,6,La Sabana,
216777,HN,4,El Buen Pastor,
216778,HN,4,Lamaní,
216779,HN,6,La Bueso,
216780,HN,6,El Rancho,
216781,HN,8,Villa Nueva,
216782,HN,8,El Tablón,
216783,HN,18,Guaymitas,
216784,HN,1,Tornabé,
216785,HN,6,El Milagro,
216786,HN,6,Chotepe,
216787,HN,16,Trinidad,
216788,HN,15,Arimís,
216789,HN,16,Atima,
216790,HN,16,El Níspero,
216791,HN,7,Los Andes,
216792,HN,10,Intibucá,
216793,HN,11,West End,
216794,HN,15,Mangulile,
216795,HN,18,Victoria,
216796,HN,16,Peñas Blancas,
216797,HN,4,San José De Comayagua,
216798,HN,13,La Unión,
216799,HN,5,Cucuyagua,
216800,HN,6,El Marañón,
216801,HN,1,Nueva Armenia,
216802,HN,6,San Antonio De Cortés,
216803,HN,18,Mojimán,
216804,HN,15,Juticalpa,
216805,HN,1,Jutiapa,
216806,HN,17,San Lorenzo,
216807,HN,1,Hicaque,
216808,HN,7,Santa Rosa,
216809,HN,1,San Antonio,
216810,HN,6,Cañaveral,
216811,HN,6,Santa Cruz De Yojoa,
216812,HN,8,Lepaterique,
216813,HN,1,Suyapa De Lean,
216814,HN,10,La Esperanza,
216815,HN,16,Valle,
216816,HN,9,Puerto Lempira,
216817,HN,16,Colón,
216818,HN,16,Sula,
216819,HN,1,La Masica,
216820,HN,11,Guanaja,
216821,HN,14,Ocotepeque,
216822,HN,3,Trujillo,
216823,HN,5,Florida,
216824,HN,13,Achiotal,
216825,HN,13,La Virtud,
216826,HN,14,San Marcos,
216827,HN,8,Los Robles,
216828,HN,7,Santa Cruz,
216829,HN,10,Jesús De Otoro,
216830,HN,4,Villa De San Antonio,
216831,HN,17,Amapala,
216832,HN,16,San José De Colinas,
216833,HN,3,Sonaguera,
216834,HN,8,Comayagüela,
216835,HN,15,Campamento,
216836,HN,8,Guaimaca,
216837,HN,17,Nacaome,
216838,HN,6,Pimienta,
216839,HN,12,Marcala,
216840,HN,3,Sabá,
216841,HN,15,San Francisco De La Paz,
216842,HN,16,Salvador,
216843,HN,18,El Negrito,
216844,HN,16,Quimistán,
216845,HN,16,New York,
216846,HN,6,Río Lindo,
216847,HN,4,Taulabé,
216848,HN,6,Búfalo,
216849,HN,11,French Harbor,
216850,HN,4,Potrerillos,
216851,HN,18,Los Ángeles,
216852,HN,6,Potrerillos,
216853,HN,6,San Francisco De Yojoa,
216854,HN,11,Brick Bay,
216855,HN,7,Managua,
216856,HN,6,Peña Blanca,
216857,HN,8,San Juan De Flores,
216858,HN,13,Lepaera,
216859,HN,4,Potrero Grande,
216860,HN,4,La Libertad,
216861,HN,6,Baracoa,
216862,HN,8,América,
216863,HN,8,Chapulin,
216864,HN,16,Azacualpa,
216865,HN,16,Las Vegas,
216866,HN,8,Los Potrerillos,
216867,HN,7,Barrio,
216868,HN,2,San Marcos De Colón,
216869,HN,14,Piedra Quemada,
216870,HN,16,Pinalejo,
216871,HN,4,San Sebastián,
216872,HN,10,Yamaranguila,
216873,HN,6,Puerto Cortez,
216874,HN,1,San Cristóbal,
216875,HN,15,Gualaco,
216876,HN,8,Moras,
216877,HN,16,Macuelizo,
216878,HN,14,Santa Fe,
216879,HN,4,El Rosario,
216880,HN,8,El Prado,
216881,HN,10,Hacienda,
216882,HN,18,Progreso,
216883,HN,1,Ceiba,
216884,HN,7,El Paso,
216885,HN,18,Santa Rita,
216886,HN,11,Coxen Hole,
216887,HN,6,Cortez,
216888,HN,11,Jonesville,
216889,HN,7,Centro,
216890,HN,11,French Harbour,
216891,HN,5,Dulce Nombre,
216892,HN,6,Los Naranjos,
