locId,country,region,city,postcode
216893,HR,,,
216894,HR,21,Zagreb,
216895,HR,15,Split,
216896,HR,12,Rijeka,
216897,HR,3,Dubrovnik,
216898,HR,4,Porec,
216899,HR,5,Svetice,
216900,HR,12,Kras,
216901,HR,20,Zadar,
216902,HR,9,Cakovec,
216903,HR,5,Karlovac,
216904,HR,4,Mali Losinj,
216905,HR,4,Pazin,
216906,HR,5,Jastrebarsko,
216907,HR,21,Gornji Stupnik,
216908,HR,16,Varazdin,
216909,HR,12,Stinica,
216910,HR,10,Osijek,
216911,HR,4,Pula,
216912,HR,6,Koprivnica,
216913,HR,15,Solin,
216914,HR,7,Prigorje Brdovecko,
216915,HR,15,Kastel Stari,
216916,HR,4,Brtonigla,
216917,HR,4,Buzet,
216918,HR,15,Kastel Sucurac,
216919,HR,12,Crikvenica,
216920,HR,12,Punat,
216921,HR,12,Kastav,
216922,HR,14,Sisak,
216923,HR,21,Samobor,
216924,HR,4,Umag,
216925,HR,11,Pozega,
216926,HR,12,Baska,
216927,HR,16,Ivanec,
216928,HR,15,Trogir,
216929,HR,14,Stupnik,
216930,HR,21,Lucko,
216931,HR,21,Sesvete,
216932,HR,12,Opatija,
216933,HR,4,Medulin,
216934,HR,7,Hum Na Sutli,
216935,HR,14,Plitvicka Jezera,
216936,HR,4,Lindar,
216937,HR,21,Rakitje,
216938,HR,1,Garesnica,
216939,HR,8,Donje Selo,
216940,HR,4,Rovinj,
216941,HR,2,Slavonski Brod,
216942,HR,20,Sukosan,
216943,HR,21,Sveta Nedelja,
216944,HR,21,Zapresic,
216945,HR,7,Kupljenovo,
216946,HR,12,Borik,
216947,HR,11,Djakovo,
216948,HR,4,Buje,
216949,HR,15,Kamen,
216950,HR,20,Kuce,
216951,HR,7,Zabok,
216952,HR,12,Benkovac,
216953,HR,10,Belisce,
216954,HR,4,Okreti,
216955,HR,4,Lupoglav,
216956,HR,12,Kukuljanovo,
216957,HR,12,Novi,
216958,HR,15,Stobrec,
216959,HR,21,Sveta Nedjelja,
216960,HR,20,Velika Gorica,
216961,HR,3,Vrgorac,
216962,HR,3,Cavtat,
216963,HR,20,Vrbovec,
216964,HR,3,Cilipi,
216965,HR,18,Vinkovci,
216966,HR,12,Kraljevica,
216967,HR,15,Hvar,
216968,HR,13,Sibenik,
216969,HR,12,Matulji,
216970,HR,1,Bjelovar,
216971,HR,21,Kraljevac,
216972,HR,17,Nasice,
216973,HR,5,Brod,
216974,HR,7,Donja Stubica,
216975,HR,14,Kutina,
216976,HR,6,Majur,
216977,HR,21,Kerestinec,
216978,HR,11,Lipik,
216979,HR,4,Potpican,
216980,HR,15,Omis,
216981,HR,8,Popovaca,
216982,HR,4,Maric,
216983,HR,4,Rasa,
216984,HR,16,Kneginec,
216985,HR,12,Blizanci,
216986,HR,21,Jankomir,
216987,HR,15,Dugopolje,
216988,HR,14,Petrinja,
216989,HR,16,Trnovec,
216990,HR,17,Slatina,
216991,HR,18,Zupanja,
216992,HR,21,Nedjelja,
216993,HR,12,Tomic,
216994,HR,3,Ploce,
216995,HR,4,Savudrija,
216996,HR,21,Hrvatski Leskovac,
216997,HR,8,Podstrana,
216998,HR,18,Vukovar,
216999,HR,21,Strmec Samoborski,
217000,HR,1,Nova,
217001,HR,14,Core,
217002,HR,15,Strozanac,
217003,HR,21,Mikulici,
217004,HR,12,Novi Vinodolski,
217005,HR,13,Tvornica,
217006,HR,20,Sale,
217007,HR,12,Pago,
217008,HR,5,Lucica,
217009,HR,3,Makarska,
217010,HR,7,Klanjec,
217011,HR,20,Zara,
217012,HR,3,Vodice,
217013,HR,7,Mihovljan,
217014,HR,9,Prelog,
217015,HR,3,Marinici,
217016,HR,7,Sveti Kriz,
217017,HR,4,Koromacno,
217018,HR,15,Stari,
217019,HR,16,Breznicki Hum,
217020,HR,12,Dabar,
217021,HR,4,Cerovlje,
217022,HR,3,Zovko,
217023,HR,12,Pag,
217024,HR,9,Nedelisce,
217025,HR,14,Lijevo Zeljezno,
217026,HR,20,Klostar Ivanic,
217027,HR,7,Krapina,
217028,HR,6,Krizevci,
217029,HR,7,Donja Selnica,
217030,HR,7,Ervenik,
217031,HR,16,Slanje,
217032,HR,7,Gornja Stubica,
217033,HR,7,Bedekovcina,
217034,HR,7,Dubravica,
217035,HR,7,Bedekovcina Donja,
217036,HR,12,Ogulin,
217037,HR,21,Bobovica,
217038,HR,4,Novigrad,
217039,HR,8,Senj,
217040,HR,12,Krk,
217041,HR,12,Rab,
217042,HR,4,Labin,
217043,HR,12,Mala Ucka,
217044,HR,3,Metkovic,
217045,HR,3,Ploca,
217046,HR,3,Trnovica,
