locId,country,region,city,postcode
218417,HT,,,
218418,HT,11,Port-au-prince,
218419,HT,11,Prince,
218420,HT,11,Delmas,
218421,HT,11,Carrefour,
218422,HT,11,Croix Des Bouquets,
218423,HT,11,Petit Goâve,
218424,HT,11,Trou Mantegue,
218425,HT,9,Cap-haïtien,
218426,HT,6,Dessalines,
218427,HT,7,Bourdon,
218428,HT,11,Vigni,
218429,HT,6,Saint-marc,
218430,HT,6,Verrettes,
218431,HT,7,Lascahobas,
218432,HT,12,Les Cayes,
218433,HT,6,Gonaïves,
218434,HT,11,Pétionville,
218435,HT,7,Principe,
218436,HT,11,Kenscoff,
218437,HT,13,Jacmel,
218438,HT,12,Marc,
218439,HT,9,Limbé,
218440,HT,11,Bon Repos,
218441,HT,11,Tabarre,
218442,HT,3,Port-de-paix,
218443,HT,6,Calvaire,
218444,HT,11,Fermathe,
218445,HT,11,Fort,
218446,HT,11,Cabaret,
218447,HT,6,Montagne Noire,
218448,HT,11,Mariani,
218449,HT,11,Habitation,
218450,HT,6,Villard,
218451,HT,11,Port Royal,
218452,HT,11,Port Leogane,
218453,HT,11,Lottore,
218454,HT,11,Grande Saline,
218455,HT,6,Hamel,
218456,HT,6,Sterlin,
218457,HT,6,Saint Michel,
218458,HT,13,Morne Saint Laurent,
218459,HT,11,Anse à Galets,
218460,HT,11,Archaie,
218461,HT,11,Papio,
218462,HT,11,Montrouis,
218463,HT,7,Hinche,
218464,HT,11,Pernier,
218465,HT,11,Delmar,
218466,HT,13,Poco,
218467,HT,13,La Vallée De Jacmel,
218468,HT,13,Bois Capable,
218469,HT,11,Papette,
218470,HT,6,Bois,
218471,HT,11,Martissant,
218472,HT,11,Petit Bois,
218473,HT,11,Turgeau,
218474,HT,8,Jeremie,
218475,HT,11,Peguy Ville,
218476,HT,11,Pointe à Pierrot,
218477,HT,11,Caradeux,
218478,HT,11,Memadon,
218479,HT,13,Péguy,
218480,HT,7,Édouard,
218481,HT,11,Canapé Vert,
