locId,country,region,city,postcode
218482,HU,,,
218483,HU,5,Budapest,
218484,HU,23,Pula,
218485,HU,16,Budaörs,
218486,HU,8,Székesfehérvár,
218487,HU,19,Szeged,
218488,HU,7,Debrecen,
218489,HU,16,Szigetszentmiklós,
218490,HU,4,Center,
218491,HU,5,Óbuda,
218492,HU,15,Pécs,
218493,HU,6,Donát,
218494,HU,17,Zamárdi,
218495,HU,8,Szabadegyháza,
218496,HU,12,Tatabánya,
218497,HU,16,Püspökszilágy,
218498,HU,25,Gyor,
218499,HU,16,Herceghalom,
218500,HU,17,Kaposvár,
218501,HU,9,Sopron,
218502,HU,21,Szekszárd,
218503,HU,3,Békéscsaba,
218504,HU,11,Füzesabony,
218505,HU,21,Paks,
218506,HU,13,Miskolc,
218507,HU,4,Tiszaújváros,
218508,HU,16,Százhalombatta,
218509,HU,11,Eger,
218510,HU,20,Jászberény,
218511,HU,11,Visonta,
218512,HU,8,Dunaújváros,
218513,HU,21,Tamási,
218514,HU,18,Nyíregyháza,
218515,HU,16,Nagykáta,
218516,HU,16,Godollo,
218517,HU,16,Délegyháza,
218518,HU,16,Dunaharaszti,
218519,HU,23,Veszprém,
218520,HU,20,Szolnok,
218521,HU,24,Zalaegerszeg,
218522,HU,4,Sátoraljaújhely,
218523,HU,14,Salgótarján,
218524,HU,3,Szarvas,
218525,HU,7,Bánk,
218526,HU,23,Pápa,
218527,HU,18,Záhony,
218528,HU,14,Balassagyarmat,
218529,HU,5,Pest,
218530,HU,23,Keszthely,
218531,HU,18,Major,
218532,HU,22,Szombathely,
218533,HU,18,Vásárosnamény,
218534,HU,3,Orosháza,
218535,HU,11,Balaton,
218536,HU,2,Sellye,
218537,HU,2,Szentlorinc,
218538,HU,2,Szigetvár,
218539,HU,1,Kiskunfélegyháza,
218540,HU,4,Abaújszántó,
218541,HU,4,Kazincbarcika,
218542,HU,4,Mezocsat,
218543,HU,4,Putnok,
218544,HU,8,Seregélyes,
218545,HU,10,Balmazújváros,
218546,HU,10,Hajdúböszörmény,
218547,HU,10,Polgár,
218548,HU,10,Püspökladány,
218549,HU,11,Lorinci,
218550,HU,11,Pétervására,
218551,HU,12,Kisbér,
218552,HU,12,Oroszlány,
218553,HU,16,Nagykoros,
218554,HU,16,Pilisvörösvár,
218555,HU,16,Szentendre,
218556,HU,17,Csurgó,
218557,HU,18,Baktalórántháza,
218558,HU,18,Demecser,
218559,HU,18,Fehérgyarmat,
218560,HU,18,Ibrány,
218561,HU,18,Nagykálló,
218562,HU,20,Túrkeve,
218563,HU,21,Bátaszék,
218564,HU,21,Dombóvár,
218565,HU,21,Gyönk,
218566,HU,21,Lengyel,
218567,HU,2,Bóly,
218568,HU,12,Tata,
218569,HU,17,Marcali,
218570,HU,17,Nagyatád,
218571,HU,20,Kenderes,
218572,HU,11,Tarnaors,
218573,HU,18,Nyírbátor,
218574,HU,18,Nyírmada,
218575,HU,6,Csanádalberti,
218576,HU,6,Árpádhalom,
218577,HU,6,Nagymágocs,
218578,HU,2,Mágocs,
218579,HU,2,Villány,
218580,HU,6,Csongrád,
218581,HU,6,Hodmezovasarhely,
218582,HU,23,Fuzfogyartelep,
218583,HU,23,Várpalota,
218584,HU,20,Jászapáti,
218585,HU,20,Jászárokszállás,
218586,HU,16,Szob,
218587,HU,12,Esztergom,
218588,HU,12,Dorog,
218589,HU,20,Jaszfelsoszentgyorgy,
218590,HU,1,Baja,
218591,HU,1,Kiskunhalas,
218592,HU,1,Kiskunmajsa,
218593,HU,14,Pásztó,
218594,HU,14,Szécsény,
218595,HU,14,Alsótold,
218596,HU,14,Egyházasgerge,
218597,HU,22,Celldömölk,
218598,HU,22,Sárvár,
218599,HU,22,Egyházashetye,
218600,HU,22,Hegyfalu,
218601,HU,22,Ostffyasszonyfa,
218602,HU,22,Pecöl,
218603,HU,22,Rábapaty,
218604,HU,22,Sótony,
218605,HU,22,Szeleste,
218606,HU,3,Battonya,
218607,HU,3,Mezohegyes,
218608,HU,3,Mezokovacshaza,
218609,HU,3,Tótkomlós,
218610,HU,3,Békés,
218611,HU,3,Gyomaendrod,
218612,HU,3,Gyula,
218613,HU,3,Sarkad,
218614,HU,3,Szeghalom,
218615,HU,2,Somogyapáti,
218616,HU,24,Csömödér,
218617,HU,8,Füle,
218618,HU,9,Himod,
218619,HU,9,Bogyoszló,
218620,HU,9,Rábacsanak,
218621,HU,9,Sopronhorpács,
218622,HU,9,Rábacsécsény,
218623,HU,22,Kápolna,
218624,HU,11,Aldebro,
218625,HU,11,Gyöngyöspata,
218626,HU,12,Kerékteleki,
218627,HU,4,Borsodnádasd,
218628,HU,4,Ricse,
218629,HU,23,Kapolcs,
218630,HU,24,Zalabaksa,
218631,HU,24,Bánokszentgyörgy,
218632,HU,24,Nagyrada,
218633,HU,1,Kunszentmiklós,
218634,HU,8,Enying,
218635,HU,16,Biatorbágy,
218636,HU,11,Kútvölgy,
218637,HU,2,Beremend,
218638,HU,11,Vámosgyörk,
218639,HU,11,Atkár,
218640,HU,11,Rózsaszentmárton,
218641,HU,11,Gyöngyöstarján,
218642,HU,10,Hajdúszoboszló,
218643,HU,20,Kunmadaras,
218644,HU,18,Nagyhalász,
218645,HU,6,Nagyrév,
218646,HU,10,Nyíradony,
218647,HU,18,Nyírkércs,
218648,HU,24,Csapi,
218649,HU,24,Eszteregnye,
218650,HU,24,Felsorajk,
218651,HU,24,Kisgorbo,
218652,HU,24,Miháld,
218653,HU,22,Mihályfa,
218654,HU,24,Nagykapornak,
218655,HU,24,Pusztamagyaród,
218656,HU,24,Sümegcsehi,
218657,HU,24,Tótszerdahely,
218658,HU,24,Zalabér,
218659,HU,24,Zalaszentbalázs,
218660,HU,2,Nagyharsány,
218661,HU,24,Csesztreg,
218662,HU,3,Füzesgyarmat,
218663,HU,3,Dévaványa,
218664,HU,10,Hajdúnánás,
218665,HU,17,Balatonlelle,
218666,HU,24,Tófej,
218667,HU,22,Horvátzsidány,
218668,HU,2,Kaposszekcso,
218669,HU,4,Baksa,
218670,HU,2,Kétújfalu,
218671,HU,2,Mindszentgodisa,
218672,HU,2,Egyházasharaszti,
218673,HU,2,Szalánta,
218674,HU,2,Egyházaskozár,
218675,HU,2,Nagydobsza,
218676,HU,9,Bosarkany,
218677,HU,17,Balatonföldvár,
218678,HU,17,Kaposfo,
218679,HU,17,Látrány,
218680,HU,17,Somogyvár,
218681,HU,17,Balatonszentgyörgy,
218682,HU,17,Nagyberki,
218683,HU,17,Mernye,
218684,HU,17,Balatonszárszó,
218685,HU,1,Kutas,
218686,HU,17,Darány,
218687,HU,24,Lenti,
218688,HU,22,Nádasd,
218689,HU,22,Oriszentpeter,
218690,HU,22,Torony,
218691,HU,22,Répcelak,
218692,HU,23,Bakonyszentkirály,
218693,HU,24,Gellénháza,
218694,HU,24,Zalaapáti,
218695,HU,24,Egervár,
218696,HU,3,Magyarbánhegyes,
218697,HU,3,Tarhos,
218698,HU,4,Hejokeresztur,
218699,HU,4,Bódvaszilas,
218700,HU,4,Felsodobsza,
218701,HU,4,Hidasnémeti,
218702,HU,4,Pálháza,
218703,HU,18,Vizsoly,
218704,HU,4,Homrogd,
218705,HU,4,Parasznya,
218706,HU,4,Felsonyarad,
218707,HU,11,Tarnalelesz,
218708,HU,11,Egercsehi,
218709,HU,18,Tiszabercel,
218710,HU,18,Szakoly,
218711,HU,18,Jánkmajtis,
218712,HU,18,Nyírtelek,
218713,HU,18,Kölcse,
218714,HU,18,Tiszabecs,
218715,HU,18,Kisar,
218716,HU,18,Nyírbogdány,
218717,HU,18,Rakamaz,
218718,HU,18,Nyírbogát,
218719,HU,10,Vámospércs,
218720,HU,24,Teskánd,
218721,HU,4,Baktakék,
218722,HU,4,Girincs,
218723,HU,4,Erdohorvati,
218724,HU,4,Gelej,
218725,HU,2,Mikóháza,
218726,HU,9,Mezoors,
218727,HU,10,Darvas,
218728,HU,10,Kokad,
218729,HU,10,Mezosas,
218730,HU,17,Lakócsa,
218731,HU,18,Napkor,
218732,HU,18,Tiszakóród,
218733,HU,18,Nyírparasznya,
218734,HU,18,Nyirlovo,
218735,HU,18,Csaholc,
218736,HU,18,Gemzse,
218737,HU,18,Túristvándi,
218738,HU,18,Besenyod,
218739,HU,18,Apagy,
218740,HU,18,Csengersima,
218741,HU,18,Nagyszekeres,
218742,HU,18,Milota,
218743,HU,18,Terem,
218744,HU,20,Tomajmonostora,
218745,HU,22,Egervölgy,
218746,HU,22,Magyarlak,
218747,HU,22,Oszkó,
218748,HU,22,Apátistvánfalva,
218749,HU,22,Gyorvar,
218750,HU,22,Gersekarát,
218751,HU,23,Káptalanfa,
218752,HU,12,Máriahalom,
