locId,country,region,city,postcode
221670,ID,,,
221671,ID,6,Jakarta,
221672,ID,16,Timur,
221673,ID,25,Riau,
221674,ID,1,Kuning,
221675,ID,17,Mataram,
221676,ID,30,Tangerang,
221677,ID,5,Jambi,
221678,ID,7,Semarang,
221679,ID,6,Bogor,
221680,ID,6,Bali,
221681,ID,25,Banten,
221682,ID,21,Barat,
221683,ID,6,Cikini,
221684,ID,24,Padang,
221685,ID,30,Jawa,
221686,ID,8,Surabaya,
221687,ID,25,Kelapa,
221688,ID,8,Blitar,
221689,ID,8,Malang,
221690,ID,8,Jember,
221691,ID,10,Yogyakarta,
221692,ID,10,Jogjakarta,
221693,ID,11,Kalimantan,
221694,ID,7,Salatiga,
221695,ID,7,Surakarta,
221696,ID,19,Pekanbaru,
221697,ID,30,Bandung,
221698,ID,9,Kiat,
221699,ID,30,Utama,
221700,ID,20,Melle,
221701,ID,2,Bukit,
221702,ID,7,Largo,
221703,ID,30,Cimahi,
221704,ID,7,Pura,
221705,ID,7,Solo,
221706,ID,2,Denpasar,
221707,ID,26,Medan,
221708,ID,1,Banda Aceh,
221709,ID,6,Bekasi,
221710,ID,7,Punten,
221711,ID,30,Cakung,
221712,ID,4,Cengkareng,
221713,ID,6,Karawang,
221714,ID,30,Perdana,
221715,ID,6,Kuningan,
221716,ID,1,Raya,
221717,ID,22,Indo,
221718,ID,18,Kupang,
221719,ID,11,Pontianak,
221720,ID,13,Lampung,
221721,ID,20,Makassar,
221722,ID,30,Cibubur,
221723,ID,7,Magelang,
221724,ID,6,Matraman,
221725,ID,6,Manggadua,
221726,ID,6,Slipi,
221727,ID,6,Purwakarta,
221728,ID,31,Abadi,
221729,ID,30,Nusa,
221730,ID,20,Makasar,
221731,ID,20,Nusantara,
221732,ID,30,Karawaci,
221733,ID,25,Merapi,
221734,ID,10,Jogyakarta,
221735,ID,6,Cilegon,
221736,ID,30,Depok,
221737,ID,7,Purwokerto,
221738,ID,30,Kebalen,
221739,ID,8,Kediri,
221740,ID,8,Pandaän,
221741,ID,8,Madiun,
221742,ID,8,Mojokerto,
221743,ID,12,Banjarmasin,
221744,ID,8,Dalung,
221745,ID,13,Agung,
221746,ID,20,Anggrek,
221747,ID,22,Watu,
221748,ID,20,Nusaindah,
221749,ID,2,Kuta,
221750,ID,31,Sejahtera,
221751,ID,30,Cikarang,
221752,ID,7,Banteng,
221753,ID,14,Samarinda,
221754,ID,26,Tanjungpura,
221755,ID,11,Siantan,
221756,ID,14,Balikpapan,
221757,ID,25,Besar,
221758,ID,7,Toso,
221759,ID,8,Mandala,
221760,ID,2,Negara,
221761,ID,30,Cibitung,
221762,ID,1,Calang,
221763,ID,6,Cikampek,
221764,ID,9,Jayapura,
221765,ID,30,Kalibata,
221766,ID,7,Tegal,
221767,ID,7,Lemahabang,
221768,ID,25,Gedung,
221769,ID,6,Pancoran,
221770,ID,30,Cimanggis,
221771,ID,11,Ketapang,
221772,ID,7,Taman,
221773,ID,6,Serang,
221774,ID,14,Bontang,
221775,ID,18,Kota,
221776,ID,7,Gadjah,
221777,ID,7,Plasa,
221778,ID,7,Colo,
221779,ID,13,Sampit,
221780,ID,2,Lembongan,
221781,ID,2,Mengwi,
