locId,country,region,city,postcode
223491,IE,,,
223492,IE,7,Dublin,
223493,IE,4,Cork,
223494,IE,6,Donegal,
223495,IE,20,Mayo,
223496,IE,20,Ballyhaunis,
223497,IE,27,Waterford,
223498,IE,30,Wexford,
223499,IE,31,Wicklow,
223500,IE,7,Swords,
223501,IE,11,Listowel,
223502,IE,3,Clare,
223503,IE,19,Louth,
223504,IE,10,Abbey,
223505,IE,10,Galway,
223506,IE,16,Limerick,
223507,IE,12,Kildare,
223508,IE,10,Gaillimh,
223509,IE,11,Killorglin,
223510,IE,16,Hospital,
223511,IE,31,Bray,
223512,IE,12,Athy,
223513,IE,18,Longford,
223514,IE,29,Athlone,
223515,IE,25,Sligo,
223516,IE,1,Carlow,
223517,IE,11,Tralee,
223518,IE,7,Clondalkin,
223519,IE,11,Camp,
223520,IE,21,Kells,
223521,IE,12,Naas,
223522,IE,26,Tipperary,
223523,IE,27,Cross,
223524,IE,24,Newton,
223525,IE,3,Shannon,
223526,IE,23,Tullamore,
223527,IE,7,Rathmines,
223528,IE,7,Monkstown,
223529,IE,2,Cavan,
223530,IE,21,Navan,
223531,IE,24,Roscommon,
223532,IE,13,Kilkenny,
223533,IE,30,Park,
223534,IE,31,Greystones,
223535,IE,19,Drogheda,
223536,IE,20,Castlebar,
223537,IE,7,Ballymount,
223538,IE,7,Ballsbridge,
223539,IE,19,Dundalk,
223540,IE,7,Santry,
223541,IE,30,New Ross,
223542,IE,7,Tallaght,
223543,IE,10,Kylemore,
223544,IE,26,Golden,
223545,IE,12,Thornton,
223546,IE,7,Coolock,
223547,IE,4,Tower,
223548,IE,27,Ring,
223549,IE,12,Monasterevin,
223550,IE,10,Tuam,
223551,IE,4,Cobh,
223552,IE,3,Connolly,
223553,IE,13,Johnswell,
223554,IE,29,Castlepollard,
223555,IE,7,Dundrum,
223556,IE,22,Monaghan,
223557,IE,3,Ennis,
223558,IE,23,Tara,
223559,IE,1,Glynn,
223560,IE,7,Ringsend,
223561,IE,29,Mullingar,
223562,IE,26,Bansha,
223563,IE,11,Brandon,
223564,IE,10,An Spidéal,
223565,IE,3,Quinn,
223566,IE,30,Inish,
223567,IE,15,Mountrath,
223568,IE,15,Abbeyleix,
223569,IE,7,Blackrock,
223570,IE,24,America,
223571,IE,19,Port,
223572,IE,30,Enniscorthy,
223573,IE,6,Burton,
